index;origin;destination;slots;max_length;osnr_limit;pchC;pchL;pchS
1;10;1;4;1000;16;0.0005;0.0005;0.0005
2;16;1;4;1000;16;0.0005;0.0005;0.0005
3;16;9;4;1000;16;0.0005;0.0005;0.0005
4;17;13;3;500;22;0.000375;0.000375;0.000375
5;2;17;4;1000;16;0.0005;0.0005;0.0005
6;2;7;4;1000;16;0.0005;0.0005;0.0005
7;4;13;4;1000;16;0.0005;0.0005;0.0005
8;4;13;4;1000;16;0.0005;0.0005;0.0005
9;6;7;3;500;22;0.000375;0.000375;0.000375
10;13;14;3;500;22;0.000375;0.000375;0.000375
11;9;12;4;1000;16;0.0005;0.0005;0.0005
12;14;15;3;500;22;0.000375;0.000375;0.000375
13;13;2;4;1000;16;0.0005;0.0005;0.0005
14;16;4;4;1000;16;0.0005;0.0005;0.0005
15;11;6;4;1000;16;0.0005;0.0005;0.0005
16;10;5;3;500;22;0.000375;0.000375;0.000375
17;15;11;4;1000;16;0.0005;0.0005;0.0005
18;16;1;4;1000;16;0.0005;0.0005;0.0005
19;17;3;4;1000;16;0.0005;0.0005;0.0005
20;11;2;4;1000;16;0.0005;0.0005;0.0005
