index;origin;destination;slots;max_length;osnr_limit;pchC;pchL;pchS
1;1;2;3;5000;13;0.000375;0.000375;0.000375
2;10;5;3;5000;13;0.000375;0.000375;0.000375
3;4;2;4;1000;16;0.0005;0.0005;0.0005
4;10;12;3;5000;13;0.000375;0.000375;0.000375
5;9;4;3;5000;13;0.000375;0.000375;0.000375
6;6;3;3;5000;13;0.000375;0.000375;0.000375
7;8;1;3;5000;13;0.000375;0.000375;0.000375
8;10;13;3;5000;13;0.000375;0.000375;0.000375
9;12;7;3;5000;13;0.000375;0.000375;0.000375
10;4;1;3;5000;13;0.000375;0.000375;0.000375
11;6;3;3;5000;13;0.000375;0.000375;0.000375
12;10;8;3;5000;13;0.000375;0.000375;0.000375
13;7;5;4;1000;16;0.0005;0.0005;0.0005
14;4;10;3;5000;13;0.000375;0.000375;0.000375
15;7;14;3;5000;13;0.000375;0.000375;0.000375
16;13;11;3;5000;13;0.000375;0.000375;0.000375
17;3;5;3;5000;13;0.000375;0.000375;0.000375
18;7;11;3;5000;13;0.000375;0.000375;0.000375
19;7;13;3;5000;13;0.000375;0.000375;0.000375
20;4;6;3;5000;13;0.000375;0.000375;0.000375
21;10;11;3;5000;13;0.000375;0.000375;0.000375
22;11;1;3;5000;13;0.000375;0.000375;0.000375
23;8;14;3;5000;13;0.000375;0.000375;0.000375
24;3;13;3;5000;13;0.000375;0.000375;0.000375
25;11;14;4;1000;16;0.0005;0.0005;0.0005
26;1;12;3;5000;13;0.000375;0.000375;0.000375
27;5;8;3;5000;13;0.000375;0.000375;0.000375
28;11;6;3;5000;13;0.000375;0.000375;0.000375
29;2;8;3;5000;13;0.000375;0.000375;0.000375
30;7;4;3;5000;13;0.000375;0.000375;0.000375
31;4;6;3;5000;13;0.000375;0.000375;0.000375
32;14;6;3;5000;13;0.000375;0.000375;0.000375
33;11;5;3;5000;13;0.000375;0.000375;0.000375
34;5;4;4;1000;16;0.0005;0.0005;0.0005
35;10;5;3;5000;13;0.000375;0.000375;0.000375
36;5;4;4;1000;16;0.0005;0.0005;0.0005
37;1;13;3;5000;13;0.000375;0.000375;0.000375
38;5;6;3;5000;13;0.000375;0.000375;0.000375
39;6;1;3;5000;13;0.000375;0.000375;0.000375
40;14;1;3;5000;13;0.000375;0.000375;0.000375
41;7;6;3;5000;13;0.000375;0.000375;0.000375
42;3;7;3;5000;13;0.000375;0.000375;0.000375
43;12;9;3;500;22;0.000375;0.000375;0.000375
44;1;12;3;5000;13;0.000375;0.000375;0.000375
45;3;6;3;5000;13;0.000375;0.000375;0.000375
46;2;11;3;5000;13;0.000375;0.000375;0.000375
47;9;2;3;5000;13;0.000375;0.000375;0.000375
48;4;3;3;5000;13;0.000375;0.000375;0.000375
49;12;14;4;1000;16;0.0005;0.0005;0.0005
50;6;2;3;5000;13;0.000375;0.000375;0.000375
51;8;14;3;5000;13;0.000375;0.000375;0.000375
52;13;5;3;5000;13;0.000375;0.000375;0.000375
53;11;6;3;5000;13;0.000375;0.000375;0.000375
54;8;7;4;1000;16;0.0005;0.0005;0.0005
55;10;8;3;5000;13;0.000375;0.000375;0.000375
56;13;5;3;5000;13;0.000375;0.000375;0.000375
57;5;6;3;5000;13;0.000375;0.000375;0.000375
58;1;12;3;5000;13;0.000375;0.000375;0.000375
59;3;9;3;5000;13;0.000375;0.000375;0.000375
60;7;6;3;5000;13;0.000375;0.000375;0.000375
61;2;10;3;5000;13;0.000375;0.000375;0.000375
62;1;10;3;5000;13;0.000375;0.000375;0.000375
63;2;3;4;1000;16;0.0005;0.0005;0.0005
64;9;12;3;500;22;0.000375;0.000375;0.000375
65;11;2;3;5000;13;0.000375;0.000375;0.000375
66;14;13;3;500;22;0.000375;0.000375;0.000375
67;11;5;3;5000;13;0.000375;0.000375;0.000375
68;3;5;3;5000;13;0.000375;0.000375;0.000375
69;4;7;3;5000;13;0.000375;0.000375;0.000375
70;14;8;3;5000;13;0.000375;0.000375;0.000375
71;7;2;3;5000;13;0.000375;0.000375;0.000375
72;10;8;3;5000;13;0.000375;0.000375;0.000375
73;9;2;3;5000;13;0.000375;0.000375;0.000375
74;8;6;3;5000;13;0.000375;0.000375;0.000375
75;4;5;4;1000;16;0.0005;0.0005;0.0005
76;1;3;3;5000;13;0.000375;0.000375;0.000375
77;4;13;3;5000;13;0.000375;0.000375;0.000375
78;10;12;3;5000;13;0.000375;0.000375;0.000375
79;2;6;3;5000;13;0.000375;0.000375;0.000375
80;14;10;3;5000;13;0.000375;0.000375;0.000375
81;4;5;4;1000;16;0.0005;0.0005;0.0005
82;3;4;3;5000;13;0.000375;0.000375;0.000375
83;10;14;3;5000;13;0.000375;0.000375;0.000375
84;4;8;3;5000;13;0.000375;0.000375;0.000375
85;6;13;3;5000;13;0.000375;0.000375;0.000375
86;2;11;3;5000;13;0.000375;0.000375;0.000375
87;11;4;3;5000;13;0.000375;0.000375;0.000375
88;11;6;3;5000;13;0.000375;0.000375;0.000375
89;13;9;4;1000;16;0.0005;0.0005;0.0005
90;10;9;4;1000;16;0.0005;0.0005;0.0005
91;8;5;3;5000;13;0.000375;0.000375;0.000375
92;3;1;3;5000;13;0.000375;0.000375;0.000375
93;12;9;3;500;22;0.000375;0.000375;0.000375
94;2;1;3;5000;13;0.000375;0.000375;0.000375
95;14;11;4;1000;16;0.0005;0.0005;0.0005
96;2;11;3;5000;13;0.000375;0.000375;0.000375
97;12;10;3;5000;13;0.000375;0.000375;0.000375
98;12;13;3;500;22;0.000375;0.000375;0.000375
99;10;1;3;5000;13;0.000375;0.000375;0.000375
100;5;10;3;5000;13;0.000375;0.000375;0.000375
101;4;13;3;5000;13;0.000375;0.000375;0.000375
102;7;13;3;5000;13;0.000375;0.000375;0.000375
103;9;1;3;5000;13;0.000375;0.000375;0.000375
104;8;13;3;5000;13;0.000375;0.000375;0.000375
105;3;9;3;5000;13;0.000375;0.000375;0.000375
106;14;6;3;5000;13;0.000375;0.000375;0.000375
107;3;12;3;5000;13;0.000375;0.000375;0.000375
108;14;11;4;1000;16;0.0005;0.0005;0.0005
109;3;6;3;5000;13;0.000375;0.000375;0.000375
110;13;8;3;5000;13;0.000375;0.000375;0.000375
111;9;4;3;5000;13;0.000375;0.000375;0.000375
112;10;2;3;5000;13;0.000375;0.000375;0.000375
113;11;7;3;5000;13;0.000375;0.000375;0.000375
114;10;3;3;5000;13;0.000375;0.000375;0.000375
115;9;6;3;5000;13;0.000375;0.000375;0.000375
116;11;1;3;5000;13;0.000375;0.000375;0.000375
117;2;13;3;5000;13;0.000375;0.000375;0.000375
118;3;5;3;5000;13;0.000375;0.000375;0.000375
119;9;6;3;5000;13;0.000375;0.000375;0.000375
120;7;6;3;5000;13;0.000375;0.000375;0.000375
