index;origin;destination;slots;max_length;osnr_limit;pchC;pchL;pchS
1;4;3;3;500;22;0.000375;0.000375;0.000375
2;4;5;4;1000;16;0.0005;0.0005;0.0005
3;2;4;4;1000;16;0.0005;0.0005;0.0005
4;4;2;4;1000;16;0.0005;0.0005;0.0005
5;2;4;4;1000;16;0.0005;0.0005;0.0005
6;4;5;4;1000;16;0.0005;0.0005;0.0005
7;1;2;3;500;22;0.000375;0.000375;0.000375
8;5;4;4;1000;16;0.0005;0.0005;0.0005
9;4;5;4;1000;16;0.0005;0.0005;0.0005
10;4;2;4;1000;16;0.0005;0.0005;0.0005
11;3;1;3;500;22;0.000375;0.000375;0.000375
12;1;4;3;500;22;0.000375;0.000375;0.000375
13;3;2;3;500;22;0.000375;0.000375;0.000375
14;5;4;4;1000;16;0.0005;0.0005;0.0005
15;4;2;4;1000;16;0.0005;0.0005;0.0005
16;5;1;3;500;22;0.000375;0.000375;0.000375
17;2;5;3;500;22;0.000375;0.000375;0.000375
18;2;1;3;500;22;0.000375;0.000375;0.000375
19;4;1;3;500;22;0.000375;0.000375;0.000375
20;5;2;3;500;22;0.000375;0.000375;0.000375
21;5;4;4;1000;16;0.0005;0.0005;0.0005
22;2;1;3;500;22;0.000375;0.000375;0.000375
23;3;1;3;500;22;0.000375;0.000375;0.000375
24;1;2;3;500;22;0.000375;0.000375;0.000375
25;3;1;3;500;22;0.000375;0.000375;0.000375
26;4;3;3;500;22;0.000375;0.000375;0.000375
27;1;2;3;500;22;0.000375;0.000375;0.000375
28;1;3;3;500;22;0.000375;0.000375;0.000375
29;1;2;3;500;22;0.000375;0.000375;0.000375
30;5;2;3;500;22;0.000375;0.000375;0.000375
31;4;3;3;500;22;0.000375;0.000375;0.000375
32;5;4;4;1000;16;0.0005;0.0005;0.0005
33;4;3;3;500;22;0.000375;0.000375;0.000375
34;4;2;4;1000;16;0.0005;0.0005;0.0005
35;1;5;3;500;22;0.000375;0.000375;0.000375
36;2;1;3;500;22;0.000375;0.000375;0.000375
37;1;5;3;500;22;0.000375;0.000375;0.000375
38;4;2;4;1000;16;0.0005;0.0005;0.0005
39;3;1;3;500;22;0.000375;0.000375;0.000375
40;1;3;3;500;22;0.000375;0.000375;0.000375
41;5;4;4;1000;16;0.0005;0.0005;0.0005
42;5;1;3;500;22;0.000375;0.000375;0.000375
43;4;5;4;1000;16;0.0005;0.0005;0.0005
44;4;5;4;1000;16;0.0005;0.0005;0.0005
45;3;4;3;500;22;0.000375;0.000375;0.000375
46;1;5;3;500;22;0.000375;0.000375;0.000375
47;2;5;3;500;22;0.000375;0.000375;0.000375
48;5;2;3;500;22;0.000375;0.000375;0.000375
49;2;5;3;500;22;0.000375;0.000375;0.000375
50;5;4;4;1000;16;0.0005;0.0005;0.0005
