index;origin;destination;slots;max_length;osnr_limit;pchC;pchL;pchS
1;2;6;3;2000;15;0.000375;0.000375;0.000375
2;6;1;6;2500;16;0.00075;0.00075;0.00075
3;4;1;3;2000;15;0.000375;0.000375;0.000375
4;5;6;6;1000;24;0.00075;0.00075;0.00075
5;2;5;3;5000;13;0.000375;0.000375;0.000375
6;2;5;6;2000;21;0.00075;0.00075;0.00075
7;5;1;3;5000;13;0.000375;0.000375;0.000375
8;4;5;3;2000;15;0.000375;0.000375;0.000375
9;3;1;4;1000;16;0.0005;0.0005;0.0005
10;6;4;6;1000;24;0.00075;0.00075;0.00075
11;1;2;6;2000;21;0.00075;0.00075;0.00075
12;1;4;6;2500;16;0.00075;0.00075;0.00075
13;5;1;6;2500;16;0.00075;0.00075;0.00075
14;4;2;3;5000;13;0.000375;0.000375;0.000375
15;2;3;3;5000;13;0.000375;0.000375;0.000375
16;3;1;3;500;22;0.000375;0.000375;0.000375
17;6;3;6;2500;16;0.00075;0.00075;0.00075
18;2;5;3;2000;15;0.000375;0.000375;0.000375
19;4;1;3;2000;15;0.000375;0.000375;0.000375
20;3;5;4;1000;16;0.0005;0.0005;0.0005
21;3;4;6;1000;24;0.00075;0.00075;0.00075
22;6;2;6;2000;21;0.00075;0.00075;0.00075
23;4;5;6;2000;21;0.00075;0.00075;0.00075
24;2;6;4;1000;16;0.0005;0.0005;0.0005
25;4;1;4;1000;16;0.0005;0.0005;0.0005
26;3;5;4;1000;16;0.0005;0.0005;0.0005
27;1;3;4;1000;16;0.0005;0.0005;0.0005
28;4;2;3;5000;13;0.000375;0.000375;0.000375
29;5;1;4;1000;16;0.0005;0.0005;0.0005
30;1;3;6;2500;16;0.00075;0.00075;0.00075
