index;origin;destination;slotsC;max_cdC;osnr_limitC;TranpCId;slotsL;max_cdL;osnr_limitL;TranspLId;Gbits/s;pchC;pchL;pchS
1;2;4;6;20000;24;7;6;20000;24;7;400;0.00075;0.00075;0.00075
2;3;2;3;40000;15;1;3;40000;15;1;100;0.000375;0.000375;0.000375
3;3;5;6;20000;24;7;6;20000;24;7;400;0.00075;0.00075;0.00075
4;5;3;3;10000;22;4;3;10000;22;4;200;0.000375;0.000375;0.000375
5;6;2;3;40000;15;1;3;40000;15;1;100;0.000375;0.000375;0.000375
6;5;4;3;40000;15;1;3;40000;15;1;100;0.000375;0.000375;0.000375
7;1;2;6;40000;21;6;6;40000;21;6;300;0.00075;0.00075;0.00075
8;1;5;6;20000;24;7;0;0;0;0;400;0.00075;0.00075;0.00075
9;6;4;6;20000;24;7;6;20000;24;7;400;0.00075;0.00075;0.00075
10;4;5;3;10000;22;4;3;10000;22;4;200;0.000375;0.000375;0.000375
11;4;3;3;10000;22;4;4;20000;16;3;200;0.000375;0.000375;0.000375
12;3;4;3;10000;22;4;4;20000;16;3;200;0.000375;0.000375;0.000375
13;5;3;3;10000;22;4;3;10000;22;4;200;0.000375;0.000375;0.000375
14;3;5;3;40000;15;1;3;40000;15;1;100;0.000375;0.000375;0.000375
15;4;3;3;10000;22;4;4;20000;16;3;200;0.000375;0.000375;0.000375
16;3;6;6;40000;21;6;6;40000;21;6;300;0.00075;0.00075;0.00075
17;5;2;3;40000;15;1;3;40000;15;1;100;0.000375;0.000375;0.000375
18;5;2;6;40000;21;6;6;40000;21;6;300;0.00075;0.00075;0.00075
19;2;4;3;40000;15;1;3;40000;15;1;100;0.000375;0.000375;0.000375
20;6;5;3;40000;15;1;3;40000;15;1;100;0.000375;0.000375;0.000375
21;4;5;6;20000;24;7;6;20000;24;7;400;0.00075;0.00075;0.00075
22;1;6;6;40000;21;6;6;40000;21;6;300;0.00075;0.00075;0.00075
