index;origin;destination;slots;max_length;osnr_limit;pchC;pchL;pchS
1;4;12;3;500;22;0.000375;0.000375;0.000375
2;11;3;6;1000;24;0.00075;0.00075;0.00075
3;1;10;4;1000;16;0.0005;0.0005;0.0005
4;6;9;4;1000;16;0.0005;0.0005;0.0005
5;10;11;3;2000;15;0.000375;0.000375;0.000375
6;11;6;3;500;22;0.000375;0.000375;0.000375
7;7;4;6;2500;16;0.00075;0.00075;0.00075
8;2;11;3;500;22;0.000375;0.000375;0.000375
9;12;8;3;2000;15;0.000375;0.000375;0.000375
10;12;9;3;2000;15;0.000375;0.000375;0.000375
11;4;7;3;5000;13;0.000375;0.000375;0.000375
12;6;12;6;2500;16;0.00075;0.00075;0.00075
13;10;6;6;1000;24;0.00075;0.00075;0.00075
14;1;5;6;2000;21;0.00075;0.00075;0.00075
15;2;11;6;1000;24;0.00075;0.00075;0.00075
16;11;6;3;5000;13;0.000375;0.000375;0.000375
17;5;8;4;1000;16;0.0005;0.0005;0.0005
18;7;8;6;2000;21;0.00075;0.00075;0.00075
19;8;9;6;1000;24;0.00075;0.00075;0.00075
20;11;5;6;1000;24;0.00075;0.00075;0.00075
21;2;1;6;2000;21;0.00075;0.00075;0.00075
22;10;4;3;2000;15;0.000375;0.000375;0.000375
23;6;7;6;1000;24;0.00075;0.00075;0.00075
24;5;12;4;1000;16;0.0005;0.0005;0.0005
25;5;6;6;2000;21;0.00075;0.00075;0.00075
26;11;4;6;2500;16;0.00075;0.00075;0.00075
27;6;2;6;2000;21;0.00075;0.00075;0.00075
28;8;5;6;1000;24;0.00075;0.00075;0.00075
29;10;4;3;500;22;0.000375;0.000375;0.000375
30;8;3;3;2000;15;0.000375;0.000375;0.000375
31;8;5;6;2000;21;0.00075;0.00075;0.00075
32;8;12;3;2000;15;0.000375;0.000375;0.000375
33;6;3;6;2500;16;0.00075;0.00075;0.00075
34;7;2;4;1000;16;0.0005;0.0005;0.0005
35;6;5;3;5000;13;0.000375;0.000375;0.000375
36;9;4;6;2000;21;0.00075;0.00075;0.00075
37;2;4;3;500;22;0.000375;0.000375;0.000375
38;7;6;3;2000;15;0.000375;0.000375;0.000375
39;10;11;6;1000;24;0.00075;0.00075;0.00075
40;10;3;3;500;22;0.000375;0.000375;0.000375
41;4;1;4;1000;16;0.0005;0.0005;0.0005
42;8;5;4;1000;16;0.0005;0.0005;0.0005
43;12;3;3;5000;13;0.000375;0.000375;0.000375
44;5;11;6;1000;24;0.00075;0.00075;0.00075
45;12;2;6;1000;24;0.00075;0.00075;0.00075
46;12;5;6;2500;16;0.00075;0.00075;0.00075
47;6;7;4;1000;16;0.0005;0.0005;0.0005
48;5;2;3;2000;15;0.000375;0.000375;0.000375
49;12;8;6;2500;16;0.00075;0.00075;0.00075
50;3;4;6;1000;24;0.00075;0.00075;0.00075
