index;origin;destination;slotsC;max_cdC;osnr_limitC;TranpCId;slotsL;max_cdL;osnr_limitL;TranspLId;Gbits/s;pchC;pchL;pchS
1;9;2;3;40000;15;1;3;40000;15;1;100;0.000375;0.000375;0.000375
2;17;15;4;20000;16;3;4;20000;16;3;200;0.0005;0.0005;0.0005
3;2;18;4;20000;16;3;4;20000;16;3;200;0.0005;0.0005;0.0005
4;9;11;3;40000;15;1;3;40000;15;1;100;0.000375;0.000375;0.000375
5;18;3;6;20000;24;7;0;0;0;0;400;0.00075;0.00075;0.00075
6;18;8;4;20000;16;3;6;50000;16;5;200;0.0005;0.0005;0.0005
7;17;5;3;40000;15;1;3;40000;15;1;100;0.000375;0.000375;0.000375
8;2;4;3;40000;15;1;3;40000;15;1;100;0.000375;0.000375;0.000375
9;12;18;3;100000;13;2;3;100000;13;2;100;0.000375;0.000375;0.000375
10;6;2;6;40000;21;6;0;0;0;0;300;0.00075;0.00075;0.00075
11;6;4;6;50000;16;5;6;50000;16;5;200;0.00075;0.00075;0.00075
12;14;7;3;100000;13;2;3;100000;13;2;100;0.000375;0.000375;0.000375
13;5;7;6;50000;16;5;6;50000;16;5;200;0.00075;0.00075;0.00075
14;18;6;6;40000;21;6;6;40000;21;6;300;0.00075;0.00075;0.00075
15;12;9;3;40000;15;1;3;40000;15;1;100;0.000375;0.000375;0.000375
16;16;9;3;10000;22;4;4;20000;16;3;200;0.000375;0.000375;0.000375
17;18;4;3;40000;15;1;3;40000;15;1;100;0.000375;0.000375;0.000375
18;2;5;6;20000;24;7;6;20000;24;7;400;0.00075;0.00075;0.00075
19;1;14;3;40000;15;1;3;40000;15;1;100;0.000375;0.000375;0.000375
20;18;4;4;20000;16;3;6;50000;16;5;200;0.0005;0.0005;0.0005
21;13;16;6;50000;16;5;6;50000;16;5;200;0.00075;0.00075;0.00075
22;5;12;6;50000;16;5;6;50000;16;5;200;0.00075;0.00075;0.00075
23;2;6;3;40000;15;1;3;40000;15;1;100;0.000375;0.000375;0.000375
24;18;17;6;40000;21;6;6;40000;21;6;300;0.00075;0.00075;0.00075
25;1;12;3;40000;15;1;3;100000;13;2;100;0.000375;0.000375;0.000375
26;3;17;3;40000;15;1;3;40000;15;1;100;0.000375;0.000375;0.000375
27;1;7;3;40000;15;1;3;40000;15;1;100;0.000375;0.000375;0.000375
28;11;9;6;50000;16;5;6;50000;16;5;200;0.00075;0.00075;0.00075
29;13;6;6;50000;16;5;0;0;0;0;200;0.00075;0.00075;0.00075
30;15;4;4;20000;16;3;4;20000;16;3;200;0.0005;0.0005;0.0005
31;17;7;6;50000;16;5;6;50000;16;5;200;0.00075;0.00075;0.00075
32;16;18;3;40000;15;1;3;40000;15;1;100;0.000375;0.000375;0.000375
33;16;12;3;40000;15;1;3;40000;15;1;100;0.000375;0.000375;0.000375
34;3;16;6;50000;16;5;6;50000;16;5;200;0.00075;0.00075;0.00075
35;3;16;6;50000;16;5;6;50000;16;5;200;0.00075;0.00075;0.00075
36;8;18;4;20000;16;3;6;50000;16;5;200;0.0005;0.0005;0.0005
37;1;5;6;20000;24;7;6;20000;24;7;400;0.00075;0.00075;0.00075
38;10;3;6;40000;21;6;6;40000;21;6;300;0.00075;0.00075;0.00075
39;13;7;3;40000;15;1;3;40000;15;1;100;0.000375;0.000375;0.000375
40;3;13;3;40000;15;1;3;100000;13;2;100;0.000375;0.000375;0.000375
41;8;5;6;40000;21;6;6;40000;21;6;300;0.00075;0.00075;0.00075
42;3;1;3;40000;15;1;3;40000;15;1;100;0.000375;0.000375;0.000375
43;4;13;4;20000;16;3;6;50000;16;5;200;0.0005;0.0005;0.0005
44;3;8;6;40000;21;6;0;0;0;0;300;0.00075;0.00075;0.00075
45;7;14;3;100000;13;2;3;100000;13;2;100;0.000375;0.000375;0.000375
46;14;11;6;50000;16;5;0;0;0;0;200;0.00075;0.00075;0.00075
47;8;2;3;40000;15;1;3;40000;15;1;100;0.000375;0.000375;0.000375
48;7;2;6;40000;21;6;6;40000;21;6;300;0.00075;0.00075;0.00075
49;11;17;6;50000;16;5;6;50000;16;5;200;0.00075;0.00075;0.00075
50;8;17;6;40000;21;6;6;40000;21;6;300;0.00075;0.00075;0.00075
