index;origin;destination;slots;max_length;osnr_limit;pchC;pchL;pchS
1;6;11;6;2000;21;0.00075;0.00075;0.00075
2;18;9;4;1000;16;0.0005;0.0005;0.0005
3;2;3;6;2500;16;0.00075;0.00075;0.00075
4;1;9;3;2000;15;0.000375;0.000375;0.000375
5;17;4;3;5000;13;0.000375;0.000375;0.000375
6;8;1;6;2500;16;0.00075;0.00075;0.00075
7;11;8;3;5000;13;0.000375;0.000375;0.000375
8;3;18;6;1000;24;0.00075;0.00075;0.00075
9;2;1;6;2000;21;0.00075;0.00075;0.00075
10;10;1;6;2500;16;0.00075;0.00075;0.00075
11;3;4;3;5000;13;0.000375;0.000375;0.000375
12;4;10;6;2000;21;0.00075;0.00075;0.00075
13;12;1;3;5000;13;0.000375;0.000375;0.000375
14;17;4;3;2000;15;0.000375;0.000375;0.000375
15;9;12;6;2500;16;0.00075;0.00075;0.00075
16;6;5;6;2000;21;0.00075;0.00075;0.00075
17;14;18;6;2000;21;0.00075;0.00075;0.00075
18;3;8;3;2000;15;0.000375;0.000375;0.000375
19;4;15;6;2000;21;0.00075;0.00075;0.00075
20;13;2;6;2000;21;0.00075;0.00075;0.00075
21;16;11;6;2000;21;0.00075;0.00075;0.00075
22;14;15;3;2000;15;0.000375;0.000375;0.000375
23;3;7;3;5000;13;0.000375;0.000375;0.000375
24;3;5;6;2500;16;0.00075;0.00075;0.00075
25;3;17;6;2000;21;0.00075;0.00075;0.00075
26;1;10;3;5000;13;0.000375;0.000375;0.000375
27;4;17;3;5000;13;0.000375;0.000375;0.000375
28;4;7;6;2500;16;0.00075;0.00075;0.00075
29;3;12;3;5000;13;0.000375;0.000375;0.000375
30;6;4;3;5000;13;0.000375;0.000375;0.000375
31;3;14;6;2500;16;0.00075;0.00075;0.00075
32;15;18;6;2500;16;0.00075;0.00075;0.00075
33;8;17;6;2000;21;0.00075;0.00075;0.00075
34;11;10;6;2500;16;0.00075;0.00075;0.00075
35;9;11;3;2000;15;0.000375;0.000375;0.000375
36;11;16;6;2000;21;0.00075;0.00075;0.00075
37;11;8;3;5000;13;0.000375;0.000375;0.000375
38;17;16;6;2000;21;0.00075;0.00075;0.00075
39;18;17;3;5000;13;0.000375;0.000375;0.000375
40;8;15;3;500;22;0.000375;0.000375;0.000375
41;2;11;6;2000;21;0.00075;0.00075;0.00075
42;1;5;3;2000;15;0.000375;0.000375;0.000375
43;4;16;4;1000;16;0.0005;0.0005;0.0005
44;9;18;3;2000;15;0.000375;0.000375;0.000375
45;10;2;6;1000;24;0.00075;0.00075;0.00075
46;7;2;3;2000;15;0.000375;0.000375;0.000375
47;4;9;3;5000;13;0.000375;0.000375;0.000375
48;5;9;3;5000;13;0.000375;0.000375;0.000375
49;5;10;6;2500;16;0.00075;0.00075;0.00075
50;17;10;3;5000;13;0.000375;0.000375;0.000375
51;14;17;6;2500;16;0.00075;0.00075;0.00075
52;14;4;3;5000;13;0.000375;0.000375;0.000375
53;15;14;3;5000;13;0.000375;0.000375;0.000375
54;17;15;4;1000;16;0.0005;0.0005;0.0005
55;4;6;3;2000;15;0.000375;0.000375;0.000375
56;10;3;6;2000;21;0.00075;0.00075;0.00075
57;5;2;6;1000;24;0.00075;0.00075;0.00075
58;9;4;3;500;22;0.000375;0.000375;0.000375
59;2;14;3;5000;13;0.000375;0.000375;0.000375
60;11;3;3;2000;15;0.000375;0.000375;0.000375
