index;origin;destination;slotsC;max_cdC;osnr_limitC;TranpCId;slotsL;max_cdL;osnr_limitL;TranspLId;Gbits/s;pchC;pchL;pchS
1;13;4;6;40000;21;6;6;40000;21;6;300;0.00075;0.00075;0.00075
2;2;11;6;50000;16;5;6;50000;16;5;200;0.00075;0.00075;0.00075
3;17;2;4;20000;16;3;6;50000;16;5;200;0.0005;0.0005;0.0005
4;14;4;3;40000;15;1;3;100000;13;2;100;0.000375;0.000375;0.000375
5;13;1;6;50000;16;5;6;50000;16;5;200;0.00075;0.00075;0.00075
6;12;18;3;100000;13;2;3;100000;13;2;100;0.000375;0.000375;0.000375
7;8;11;3;40000;15;1;3;40000;15;1;100;0.000375;0.000375;0.000375
8;17;18;3;10000;22;4;4;20000;16;3;200;0.000375;0.000375;0.000375
9;18;1;3;10000;22;4;3;10000;22;4;200;0.000375;0.000375;0.000375
10;10;14;6;50000;16;5;6;50000;16;5;200;0.00075;0.00075;0.00075
11;12;9;6;40000;21;6;0;0;0;0;300;0.00075;0.00075;0.00075
12;11;13;6;50000;16;5;0;0;0;0;200;0.00075;0.00075;0.00075
13;10;3;3;40000;15;1;3;40000;15;1;100;0.000375;0.000375;0.000375
14;4;3;6;50000;16;5;6;50000;16;5;200;0.00075;0.00075;0.00075
15;3;16;6;40000;21;6;6;40000;21;6;300;0.00075;0.00075;0.00075
16;16;3;3;40000;15;1;3;40000;15;1;100;0.000375;0.000375;0.000375
17;7;11;6;40000;21;6;6;40000;21;6;300;0.00075;0.00075;0.00075
18;18;10;6;20000;24;7;0;0;0;0;400;0.00075;0.00075;0.00075
19;16;7;6;20000;24;7;6;20000;24;7;400;0.00075;0.00075;0.00075
20;8;18;6;40000;21;6;6;40000;21;6;300;0.00075;0.00075;0.00075
21;11;17;6;50000;16;5;6;50000;16;5;200;0.00075;0.00075;0.00075
22;8;3;6;40000;21;6;0;0;0;0;300;0.00075;0.00075;0.00075
23;16;3;3;40000;15;1;3;40000;15;1;100;0.000375;0.000375;0.000375
24;14;10;3;40000;15;1;3;100000;13;2;100;0.000375;0.000375;0.000375
25;18;4;4;20000;16;3;6;50000;16;5;200;0.0005;0.0005;0.0005
26;10;13;6;40000;21;6;0;0;0;0;300;0.00075;0.00075;0.00075
27;9;2;6;20000;24;7;6;20000;24;7;400;0.00075;0.00075;0.00075
28;14;11;6;50000;16;5;0;0;0;0;200;0.00075;0.00075;0.00075
29;18;4;3;40000;15;1;3;40000;15;1;100;0.000375;0.000375;0.000375
30;6;15;6;50000;16;5;6;50000;16;5;200;0.00075;0.00075;0.00075
31;4;1;3;40000;15;1;3;40000;15;1;100;0.000375;0.000375;0.000375
32;2;7;4;20000;16;3;4;20000;16;3;200;0.0005;0.0005;0.0005
33;18;8;3;40000;15;1;3;40000;15;1;100;0.000375;0.000375;0.000375
34;6;9;6;40000;21;6;0;0;0;0;300;0.00075;0.00075;0.00075
35;13;3;6;50000;16;5;6;50000;16;5;200;0.00075;0.00075;0.00075
36;3;2;3;40000;15;1;3;40000;15;1;100;0.000375;0.000375;0.000375
37;2;12;6;50000;16;5;6;50000;16;5;200;0.00075;0.00075;0.00075
38;14;1;6;40000;21;6;6;40000;21;6;300;0.00075;0.00075;0.00075
39;9;1;4;20000;16;3;4;20000;16;3;200;0.0005;0.0005;0.0005
40;6;18;3;40000;15;1;3;40000;15;1;100;0.000375;0.000375;0.000375
41;15;17;3;40000;15;1;3;40000;15;1;100;0.000375;0.000375;0.000375
42;16;4;6;20000;24;7;6;20000;24;7;400;0.00075;0.00075;0.00075
43;4;7;3;40000;15;1;3;40000;15;1;100;0.000375;0.000375;0.000375
44;14;4;6;50000;16;5;6;50000;16;5;200;0.00075;0.00075;0.00075
45;18;15;6;20000;24;7;0;0;0;0;400;0.00075;0.00075;0.00075
46;13;1;6;40000;21;6;0;0;0;0;300;0.00075;0.00075;0.00075
47;4;13;4;20000;16;3;6;50000;16;5;200;0.0005;0.0005;0.0005
48;4;2;6;40000;21;6;6;40000;21;6;300;0.00075;0.00075;0.00075
49;11;7;6;50000;16;5;6;50000;16;5;200;0.00075;0.00075;0.00075
50;17;16;3;40000;15;1;3;40000;15;1;100;0.000375;0.000375;0.000375
51;1;5;6;40000;21;6;6;40000;21;6;300;0.00075;0.00075;0.00075
52;2;4;3;40000;15;1;3;40000;15;1;100;0.000375;0.000375;0.000375
53;7;18;6;50000;16;5;6;50000;16;5;200;0.00075;0.00075;0.00075
54;8;5;3;40000;15;1;3;40000;15;1;100;0.000375;0.000375;0.000375
55;12;1;6;50000;16;5;6;50000;16;5;200;0.00075;0.00075;0.00075
56;9;12;6;40000;21;6;0;0;0;0;300;0.00075;0.00075;0.00075
57;5;15;6;40000;21;6;6;40000;21;6;300;0.00075;0.00075;0.00075
58;18;14;3;40000;15;1;3;40000;15;1;100;0.000375;0.000375;0.000375
59;13;10;6;40000;21;6;0;0;0;0;300;0.00075;0.00075;0.00075
60;17;12;3;40000;15;1;3;100000;13;2;100;0.000375;0.000375;0.000375
