index;origin;destination;slots;max_length;osnr_limit;pchC;pchL;pchS
1;12;11;6;2500;16;0.00075;0.00075;0.00075
2;9;17;6;2000;21;0.00075;0.00075;0.00075
3;16;7;4;1000;16;0.0005;0.0005;0.0005
4;10;12;6;2500;16;0.00075;0.00075;0.00075
5;9;10;4;1000;16;0.0005;0.0005;0.0005
6;12;7;3;5000;13;0.000375;0.000375;0.000375
7;8;14;6;1000;24;0.00075;0.00075;0.00075
8;14;10;6;2500;16;0.00075;0.00075;0.00075
9;13;8;6;2500;16;0.00075;0.00075;0.00075
10;4;2;4;1000;16;0.0005;0.0005;0.0005
11;11;17;3;2000;15;0.000375;0.000375;0.000375
12;3;1;3;5000;13;0.000375;0.000375;0.000375
13;6;4;6;2000;21;0.00075;0.00075;0.00075
14;17;12;6;2500;16;0.00075;0.00075;0.00075
15;11;2;3;5000;13;0.000375;0.000375;0.000375
16;16;17;6;2500;16;0.00075;0.00075;0.00075
17;4;3;3;2000;15;0.000375;0.000375;0.000375
18;11;17;6;1000;24;0.00075;0.00075;0.00075
19;2;15;6;2000;21;0.00075;0.00075;0.00075
20;13;6;4;1000;16;0.0005;0.0005;0.0005
