index;origin;destination;slotsC;max_cdC;osnr_limitC;TranpCId;slotsL;max_cdL;osnr_limitL;TranspLId;Gbits/s;pchC;pchL;pchS
1;12;2;3;40000;15;1;3;40000;15;1;100;0.000375;0.000375;0.000375
2;14;17;6;40000;21;6;6;40000;21;6;300;0.00075;0.00075;0.00075
3;9;4;6;20000;24;7;6;20000;24;7;400;0.00075;0.00075;0.00075
4;11;15;6;40000;21;6;6;40000;21;6;300;0.00075;0.00075;0.00075
5;17;2;6;40000;21;6;6;40000;21;6;300;0.00075;0.00075;0.00075
6;6;15;6;40000;21;6;6;40000;21;6;300;0.00075;0.00075;0.00075
7;16;5;6;40000;21;6;6;40000;21;6;300;0.00075;0.00075;0.00075
8;16;9;4;20000;16;3;4;20000;16;3;200;0.0005;0.0005;0.0005
9;8;14;3;40000;15;1;3;40000;15;1;100;0.000375;0.000375;0.000375
10;4;12;3;40000;15;1;3;40000;15;1;100;0.000375;0.000375;0.000375
11;2;12;4;20000;16;3;4;20000;16;3;200;0.0005;0.0005;0.0005
12;6;17;3;40000;15;1;3;40000;15;1;100;0.000375;0.000375;0.000375
13;16;6;6;40000;21;6;6;40000;21;6;300;0.00075;0.00075;0.00075
14;2;3;6;40000;21;6;6;40000;21;6;300;0.00075;0.00075;0.00075
15;7;3;3;40000;15;1;3;40000;15;1;100;0.000375;0.000375;0.000375
16;14;11;3;10000;22;4;3;10000;22;4;200;0.000375;0.000375;0.000375
17;6;1;6;20000;24;7;6;20000;24;7;400;0.00075;0.00075;0.00075
18;8;14;6;40000;21;6;6;40000;21;6;300;0.00075;0.00075;0.00075
19;15;3;4;20000;16;3;4;20000;16;3;200;0.0005;0.0005;0.0005
20;7;15;6;40000;21;6;6;40000;21;6;300;0.00075;0.00075;0.00075
21;9;7;3;10000;22;4;3;10000;22;4;200;0.000375;0.000375;0.000375
22;1;5;6;40000;21;6;6;40000;21;6;300;0.00075;0.00075;0.00075
23;7;5;6;40000;21;6;6;40000;21;6;300;0.00075;0.00075;0.00075
24;17;14;3;40000;15;1;3;40000;15;1;100;0.000375;0.000375;0.000375
25;17;6;6;40000;21;6;6;40000;21;6;300;0.00075;0.00075;0.00075
26;2;6;6;20000;24;7;6;20000;24;7;400;0.00075;0.00075;0.00075
27;10;9;6;20000;24;7;6;20000;24;7;400;0.00075;0.00075;0.00075
28;6;11;3;10000;22;4;3;10000;22;4;200;0.000375;0.000375;0.000375
29;12;13;6;40000;21;6;6;40000;21;6;300;0.00075;0.00075;0.00075
30;5;12;6;20000;24;7;6;20000;24;7;400;0.00075;0.00075;0.00075
