index;origin;destination;slots;max_length;osnr_limit;pchC;pchL;pchS
1;14;16;4;1000;16;0.0005;0.0005;0.0005
2;13;5;3;2000;15;0.000375;0.000375;0.000375
3;6;15;6;2000;21;0.00075;0.00075;0.00075
4;12;2;3;2000;15;0.000375;0.000375;0.000375
5;15;2;6;2500;16;0.00075;0.00075;0.00075
6;15;14;6;2500;16;0.00075;0.00075;0.00075
7;6;10;3;5000;13;0.000375;0.000375;0.000375
8;16;10;3;2000;15;0.000375;0.000375;0.000375
9;3;15;3;5000;13;0.000375;0.000375;0.000375
10;11;7;4;1000;16;0.0005;0.0005;0.0005
11;13;1;6;2500;16;0.00075;0.00075;0.00075
12;2;7;3;2000;15;0.000375;0.000375;0.000375
13;2;13;3;2000;15;0.000375;0.000375;0.000375
14;3;16;3;5000;13;0.000375;0.000375;0.000375
15;12;14;3;500;22;0.000375;0.000375;0.000375
16;12;11;6;1000;24;0.00075;0.00075;0.00075
17;10;15;3;5000;13;0.000375;0.000375;0.000375
18;7;11;6;2500;16;0.00075;0.00075;0.00075
19;10;14;6;2000;21;0.00075;0.00075;0.00075
20;8;15;3;2000;15;0.000375;0.000375;0.000375
21;6;8;4;1000;16;0.0005;0.0005;0.0005
22;6;2;6;2500;16;0.00075;0.00075;0.00075
23;16;17;6;2000;21;0.00075;0.00075;0.00075
24;12;9;3;5000;13;0.000375;0.000375;0.000375
25;6;12;3;5000;13;0.000375;0.000375;0.000375
26;14;5;6;2000;21;0.00075;0.00075;0.00075
27;14;7;3;5000;13;0.000375;0.000375;0.000375
28;9;16;6;2000;21;0.00075;0.00075;0.00075
29;11;4;6;2000;21;0.00075;0.00075;0.00075
30;8;9;4;1000;16;0.0005;0.0005;0.0005
31;5;4;3;5000;13;0.000375;0.000375;0.000375
32;5;12;6;2000;21;0.00075;0.00075;0.00075
33;16;15;6;2500;16;0.00075;0.00075;0.00075
34;10;5;6;1000;24;0.00075;0.00075;0.00075
35;6;7;3;500;22;0.000375;0.000375;0.000375
36;14;8;6;2000;21;0.00075;0.00075;0.00075
37;2;5;3;500;22;0.000375;0.000375;0.000375
38;2;16;6;2500;16;0.00075;0.00075;0.00075
39;11;13;3;5000;13;0.000375;0.000375;0.000375
40;15;11;6;2500;16;0.00075;0.00075;0.00075
