index;origin;destination;slots;max_length;osnr_limit;pchC;pchL;pchS
1;12;15;3;5000;13;0.000375;0.000375;0.000375
2;5;11;6;2500;16;0.00075;0.00075;0.00075
3;8;7;4;1000;16;0.0005;0.0005;0.0005
4;12;2;3;5000;13;0.000375;0.000375;0.000375
5;15;3;3;5000;13;0.000375;0.000375;0.000375
6;4;1;4;1000;16;0.0005;0.0005;0.0005
7;7;5;3;2000;15;0.000375;0.000375;0.000375
8;10;8;6;2000;21;0.00075;0.00075;0.00075
9;3;5;6;2000;21;0.00075;0.00075;0.00075
10;14;17;4;1000;16;0.0005;0.0005;0.0005
11;6;3;6;2000;21;0.00075;0.00075;0.00075
12;2;15;6;2000;21;0.00075;0.00075;0.00075
13;10;6;6;1000;24;0.00075;0.00075;0.00075
14;16;10;6;2000;21;0.00075;0.00075;0.00075
15;3;9;3;500;22;0.000375;0.000375;0.000375
16;6;9;3;500;22;0.000375;0.000375;0.000375
17;10;17;6;2500;16;0.00075;0.00075;0.00075
18;15;1;6;2000;21;0.00075;0.00075;0.00075
19;13;2;6;2000;21;0.00075;0.00075;0.00075
20;3;1;6;1000;24;0.00075;0.00075;0.00075
21;15;2;6;2500;16;0.00075;0.00075;0.00075
22;15;14;3;5000;13;0.000375;0.000375;0.000375
23;2;17;6;2500;16;0.00075;0.00075;0.00075
24;6;11;6;2000;21;0.00075;0.00075;0.00075
25;11;15;6;2000;21;0.00075;0.00075;0.00075
26;16;1;3;2000;15;0.000375;0.000375;0.000375
27;7;13;4;1000;16;0.0005;0.0005;0.0005
28;11;10;6;1000;24;0.00075;0.00075;0.00075
29;6;11;6;2000;21;0.00075;0.00075;0.00075
30;17;5;6;2000;21;0.00075;0.00075;0.00075
31;8;5;3;2000;15;0.000375;0.000375;0.000375
32;13;15;6;1000;24;0.00075;0.00075;0.00075
33;15;5;4;1000;16;0.0005;0.0005;0.0005
34;4;8;4;1000;16;0.0005;0.0005;0.0005
35;16;10;6;2000;21;0.00075;0.00075;0.00075
36;2;11;3;2000;15;0.000375;0.000375;0.000375
37;4;17;6;2000;21;0.00075;0.00075;0.00075
38;2;16;6;2000;21;0.00075;0.00075;0.00075
39;7;5;3;5000;13;0.000375;0.000375;0.000375
40;14;6;6;2000;21;0.00075;0.00075;0.00075
41;8;14;6;2000;21;0.00075;0.00075;0.00075
42;15;17;6;2500;16;0.00075;0.00075;0.00075
43;3;8;6;1000;24;0.00075;0.00075;0.00075
44;16;8;6;2000;21;0.00075;0.00075;0.00075
45;12;16;3;2000;15;0.000375;0.000375;0.000375
46;16;6;3;2000;15;0.000375;0.000375;0.000375
47;17;5;3;2000;15;0.000375;0.000375;0.000375
48;1;5;3;500;22;0.000375;0.000375;0.000375
49;12;8;6;2000;21;0.00075;0.00075;0.00075
50;8;15;3;2000;15;0.000375;0.000375;0.000375
51;3;5;3;2000;15;0.000375;0.000375;0.000375
52;11;3;3;2000;15;0.000375;0.000375;0.000375
53;6;14;3;2000;15;0.000375;0.000375;0.000375
54;13;3;3;5000;13;0.000375;0.000375;0.000375
55;5;8;4;1000;16;0.0005;0.0005;0.0005
56;10;5;3;500;22;0.000375;0.000375;0.000375
57;11;17;3;500;22;0.000375;0.000375;0.000375
58;14;5;3;5000;13;0.000375;0.000375;0.000375
59;3;7;6;2000;21;0.00075;0.00075;0.00075
60;10;9;3;500;22;0.000375;0.000375;0.000375
