index;origin;destination;slotsC;max_cdC;osnr_limitC;slotsL;max_cdL;osnr_limitL;Gbits/s;pchC;pchL;pchS
1;16;1;3;40000;15;3;100000;13;100;0.000375;0.000375;0.000375
2;11;6;6;20000;24;6;20000;24;400;0.00075;0.00075;0.00075
3;8;6;3;10000;22;3;10000;22;200;0.000375;0.000375;0.000375
4;12;14;6;40000;21;6;40000;21;300;0.00075;0.00075;0.00075
5;8;4;3;40000;15;3;100000;13;100;0.000375;0.000375;0.000375
6;9;12;3;40000;15;3;100000;13;100;0.000375;0.000375;0.000375
7;4;15;4;20000;16;4;20000;16;200;0.0005;0.0005;0.0005
8;5;9;3;10000;22;3;10000;22;200;0.000375;0.000375;0.000375
9;3;11;3;40000;15;3;100000;13;100;0.000375;0.000375;0.000375
10;13;10;6;20000;24;6;20000;24;400;0.00075;0.00075;0.00075
11;4;8;4;20000;16;4;20000;16;200;0.0005;0.0005;0.0005
12;8;14;6;20000;24;0;0;0;400;0.00075;0.00075;0.00075
13;4;3;6;40000;21;6;40000;21;300;0.00075;0.00075;0.00075
14;17;3;6;40000;21;6;40000;21;300;0.00075;0.00075;0.00075
15;6;16;4;20000;16;4;20000;16;200;0.0005;0.0005;0.0005
16;7;9;3;40000;15;3;100000;13;100;0.000375;0.000375;0.000375
17;12;14;3;40000;15;3;100000;13;100;0.000375;0.000375;0.000375
18;12;16;3;40000;15;3;100000;13;100;0.000375;0.000375;0.000375
19;7;17;6;40000;21;6;40000;21;300;0.00075;0.00075;0.00075
20;14;7;6;40000;21;6;40000;21;300;0.00075;0.00075;0.00075
21;7;10;6;40000;21;6;40000;21;300;0.00075;0.00075;0.00075
22;6;10;6;20000;24;0;0;0;400;0.00075;0.00075;0.00075
23;9;3;6;20000;24;6;20000;24;400;0.00075;0.00075;0.00075
24;16;8;3;40000;15;3;100000;13;100;0.000375;0.000375;0.000375
25;14;7;6;40000;21;6;40000;21;300;0.00075;0.00075;0.00075
26;14;4;3;40000;15;3;100000;13;100;0.000375;0.000375;0.000375
27;6;9;3;10000;22;3;10000;22;200;0.000375;0.000375;0.000375
28;16;17;3;40000;15;3;100000;13;100;0.000375;0.000375;0.000375
29;14;17;6;40000;21;6;40000;21;300;0.00075;0.00075;0.00075
30;8;3;3;40000;15;3;100000;13;100;0.000375;0.000375;0.000375
31;4;14;4;20000;16;4;20000;16;200;0.0005;0.0005;0.0005
32;13;12;6;40000;21;6;40000;21;300;0.00075;0.00075;0.00075
33;11;8;3;40000;15;3;100000;13;100;0.000375;0.000375;0.000375
34;10;12;6;20000;24;0;0;0;400;0.00075;0.00075;0.00075
35;14;7;4;20000;16;4;20000;16;200;0.0005;0.0005;0.0005
36;7;1;4;20000;16;4;20000;16;200;0.0005;0.0005;0.0005
37;10;3;6;20000;24;6;20000;24;400;0.00075;0.00075;0.00075
38;8;9;3;10000;22;3;10000;22;200;0.000375;0.000375;0.000375
39;6;1;6;40000;21;6;40000;21;300;0.00075;0.00075;0.00075
40;16;10;6;40000;21;6;40000;21;300;0.00075;0.00075;0.00075
41;7;9;3;10000;22;3;10000;22;200;0.000375;0.000375;0.000375
42;13;8;3;40000;15;3;100000;13;100;0.000375;0.000375;0.000375
43;3;6;6;20000;24;6;20000;24;400;0.00075;0.00075;0.00075
44;12;7;3;40000;15;3;100000;13;100;0.000375;0.000375;0.000375
45;11;13;3;40000;15;3;100000;13;100;0.000375;0.000375;0.000375
46;14;3;3;40000;15;3;100000;13;100;0.000375;0.000375;0.000375
47;16;8;3;40000;15;3;100000;13;100;0.000375;0.000375;0.000375
48;12;5;6;40000;21;6;40000;21;300;0.00075;0.00075;0.00075
49;12;14;3;10000;22;3;10000;22;200;0.000375;0.000375;0.000375
50;12;8;6;40000;21;6;40000;21;300;0.00075;0.00075;0.00075
51;15;17;6;40000;21;6;40000;21;300;0.00075;0.00075;0.00075
52;2;10;6;20000;24;6;20000;24;400;0.00075;0.00075;0.00075
53;4;5;3;10000;22;3;10000;22;200;0.000375;0.000375;0.000375
54;14;6;6;40000;21;6;40000;21;300;0.00075;0.00075;0.00075
55;1;15;4;20000;16;4;20000;16;200;0.0005;0.0005;0.0005
56;9;5;6;40000;21;6;40000;21;300;0.00075;0.00075;0.00075
57;12;15;6;20000;24;6;20000;24;400;0.00075;0.00075;0.00075
58;15;6;4;20000;16;4;20000;16;200;0.0005;0.0005;0.0005
59;7;12;3;40000;15;3;100000;13;100;0.000375;0.000375;0.000375
60;16;7;4;20000;16;4;20000;16;200;0.0005;0.0005;0.0005
61;9;14;3;40000;15;3;100000;13;100;0.000375;0.000375;0.000375
62;17;9;3;40000;15;3;100000;13;100;0.000375;0.000375;0.000375
63;4;9;4;20000;16;4;20000;16;200;0.0005;0.0005;0.0005
64;2;6;3;40000;15;3;100000;13;100;0.000375;0.000375;0.000375
65;2;16;3;40000;15;3;100000;13;100;0.000375;0.000375;0.000375
66;5;1;6;40000;21;6;40000;21;300;0.00075;0.00075;0.00075
