index;origin;destination;slots;max_length;osnr_limit;pchC;pchL;pchS
1;5;8;3;5000;13;0.000375;0.000375;0.000375
2;6;7;3;5000;13;0.000375;0.000375;0.000375
3;8;1;3;5000;13;0.000375;0.000375;0.000375
4;2;14;3;5000;13;0.000375;0.000375;0.000375
5;9;10;6;2000;21;0.00075;0.00075;0.00075
6;11;12;6;2000;21;0.00075;0.00075;0.00075
7;11;1;3;5000;13;0.000375;0.000375;0.000375
8;10;8;6;2500;16;0.00075;0.00075;0.00075
9;9;1;3;5000;13;0.000375;0.000375;0.000375
10;4;13;3;5000;13;0.000375;0.000375;0.000375
11;4;5;4;1000;16;0.0005;0.0005;0.0005
12;1;14;3;5000;13;0.000375;0.000375;0.000375
13;2;13;3;5000;13;0.000375;0.000375;0.000375
14;11;4;3;5000;13;0.000375;0.000375;0.000375
15;14;4;3;5000;13;0.000375;0.000375;0.000375
16;13;3;3;5000;13;0.000375;0.000375;0.000375
17;4;2;4;1000;16;0.0005;0.0005;0.0005
18;13;10;6;2500;16;0.00075;0.00075;0.00075
19;6;11;3;5000;13;0.000375;0.000375;0.000375
20;3;12;3;5000;13;0.000375;0.000375;0.000375
21;7;12;3;2000;15;0.000375;0.000375;0.000375
22;1;6;3;5000;13;0.000375;0.000375;0.000375
23;11;4;3;5000;13;0.000375;0.000375;0.000375
24;14;2;3;5000;13;0.000375;0.000375;0.000375
25;7;5;6;2500;16;0.00075;0.00075;0.00075
26;4;11;3;5000;13;0.000375;0.000375;0.000375
27;9;3;3;5000;13;0.000375;0.000375;0.000375
28;13;8;3;2000;15;0.000375;0.000375;0.000375
29;6;2;3;5000;13;0.000375;0.000375;0.000375
30;3;10;3;5000;13;0.000375;0.000375;0.000375
31;3;6;3;5000;13;0.000375;0.000375;0.000375
32;3;7;3;5000;13;0.000375;0.000375;0.000375
33;13;2;3;5000;13;0.000375;0.000375;0.000375
34;7;5;4;1000;16;0.0005;0.0005;0.0005
35;7;8;6;2500;16;0.00075;0.00075;0.00075
36;11;6;3;5000;13;0.000375;0.000375;0.000375
37;12;8;3;2000;15;0.000375;0.000375;0.000375
38;10;13;3;2000;15;0.000375;0.000375;0.000375
39;8;9;6;2000;21;0.00075;0.00075;0.00075
40;3;9;3;5000;13;0.000375;0.000375;0.000375
