index;origin;destination;slots;max_length;osnr_limit;pchC;pchL;pchS
1;10;12;6;2000;21;0.00075;0.00075;0.00075
2;14;9;4;1000;16;0.0005;0.0005;0.0005
3;9;8;4;1000;16;0.0005;0.0005;0.0005
4;7;2;6;2500;16;0.00075;0.00075;0.00075
5;5;9;6;2500;16;0.00075;0.00075;0.00075
6;11;7;3;5000;13;0.000375;0.000375;0.000375
7;1;10;3;5000;13;0.000375;0.000375;0.000375
8;5;2;6;2000;21;0.00075;0.00075;0.00075
9;13;9;4;1000;16;0.0005;0.0005;0.0005
10;11;13;6;2000;21;0.00075;0.00075;0.00075
11;11;9;3;5000;13;0.000375;0.000375;0.000375
12;11;1;3;5000;13;0.000375;0.000375;0.000375
13;12;5;3;5000;13;0.000375;0.000375;0.000375
14;10;12;6;2500;16;0.00075;0.00075;0.00075
15;13;11;6;2000;21;0.00075;0.00075;0.00075
16;4;13;3;5000;13;0.000375;0.000375;0.000375
17;7;12;3;5000;13;0.000375;0.000375;0.000375
18;1;4;3;5000;13;0.000375;0.000375;0.000375
19;2;9;3;5000;13;0.000375;0.000375;0.000375
20;5;6;3;2000;15;0.000375;0.000375;0.000375
21;2;13;3;5000;13;0.000375;0.000375;0.000375
22;2;11;3;5000;13;0.000375;0.000375;0.000375
23;4;1;6;2500;16;0.00075;0.00075;0.00075
24;3;11;3;5000;13;0.000375;0.000375;0.000375
25;3;14;3;5000;13;0.000375;0.000375;0.000375
26;8;10;6;2500;16;0.00075;0.00075;0.00075
27;2;5;6;2500;16;0.00075;0.00075;0.00075
28;1;4;3;5000;13;0.000375;0.000375;0.000375
29;4;8;3;5000;13;0.000375;0.000375;0.000375
30;8;6;3;5000;13;0.000375;0.000375;0.000375
31;3;7;3;5000;13;0.000375;0.000375;0.000375
32;7;4;3;2000;15;0.000375;0.000375;0.000375
33;1;13;3;5000;13;0.000375;0.000375;0.000375
34;11;4;3;5000;13;0.000375;0.000375;0.000375
35;6;3;3;2000;15;0.000375;0.000375;0.000375
36;11;5;3;5000;13;0.000375;0.000375;0.000375
37;1;3;3;2000;15;0.000375;0.000375;0.000375
38;2;3;6;2000;21;0.00075;0.00075;0.00075
39;8;5;6;2000;21;0.00075;0.00075;0.00075
40;9;11;3;2000;15;0.000375;0.000375;0.000375
