index;origin;destination;slots;max_length;osnr_limit;pchC;pchL;pchS
1;1;8;6;1000;24;0.00075;0.00075;0.00075
2;1;7;6;1000;24;0.00075;0.00075;0.00075
3;1;10;6;1000;24;0.00075;0.00075;0.00075
4;2;9;6;1000;24;0.00075;0.00075;0.00075
5;2;6;6;1000;24;0.00075;0.00075;0.00075
6;2;10;6;1000;24;0.00075;0.00075;0.00075
7;3;5;6;1000;24;0.00075;0.00075;0.00075
8;3;3;6;1000;24;0.00075;0.00075;0.00075
9;3;1;6;1000;24;0.00075;0.00075;0.00075
10;4;3;6;1000;24;0.00075;0.00075;0.00075
11;4;2;6;1000;24;0.00075;0.00075;0.00075
12;4;9;6;1000;24;0.00075;0.00075;0.00075
13;5;8;6;1000;24;0.00075;0.00075;0.00075
14;5;5;6;1000;24;0.00075;0.00075;0.00075
15;5;9;6;1000;24;0.00075;0.00075;0.00075
16;6;2;6;1000;24;0.00075;0.00075;0.00075
17;6;1;6;1000;24;0.00075;0.00075;0.00075
18;6;10;6;1000;24;0.00075;0.00075;0.00075
19;7;1;6;1000;24;0.00075;0.00075;0.00075
20;7;5;6;1000;24;0.00075;0.00075;0.00075
21;7;7;6;1000;24;0.00075;0.00075;0.00075
22;8;8;6;1000;24;0.00075;0.00075;0.00075
23;8;2;6;1000;24;0.00075;0.00075;0.00075
24;8;10;6;1000;24;0.00075;0.00075;0.00075
25;9;3;6;1000;24;0.00075;0.00075;0.00075
26;9;5;6;1000;24;0.00075;0.00075;0.00075
27;9;6;6;1000;24;0.00075;0.00075;0.00075
28;10;7;6;1000;24;0.00075;0.00075;0.00075
29;10;8;6;1000;24;0.00075;0.00075;0.00075
30;10;10;6;1000;24;0.00075;0.00075;0.00075
