index;origin;destination;slots;max_length;osnr_limit;pchC;pchL;pchS
1;6;12;3;5000;13;0.000375;0.000375;0.000375
2;4;13;6;2000;21;0.00075;0.00075;0.00075
3;18;9;6;2000;21;0.00075;0.00075;0.00075
4;13;5;6;2500;16;0.00075;0.00075;0.00075
5;14;10;6;2500;16;0.00075;0.00075;0.00075
6;10;13;6;2000;21;0.00075;0.00075;0.00075
7;6;3;6;1000;24;0.00075;0.00075;0.00075
8;13;1;6;2500;16;0.00075;0.00075;0.00075
9;10;15;6;2000;21;0.00075;0.00075;0.00075
10;7;12;6;2500;16;0.00075;0.00075;0.00075
11;16;3;6;2000;21;0.00075;0.00075;0.00075
12;8;12;6;2000;21;0.00075;0.00075;0.00075
13;18;10;6;2000;21;0.00075;0.00075;0.00075
14;7;14;3;5000;13;0.000375;0.000375;0.000375
15;5;6;6;2000;21;0.00075;0.00075;0.00075
16;6;15;6;2500;16;0.00075;0.00075;0.00075
17;18;1;6;1000;24;0.00075;0.00075;0.00075
18;12;13;6;1000;24;0.00075;0.00075;0.00075
19;13;12;6;1000;24;0.00075;0.00075;0.00075
20;1;16;6;2000;21;0.00075;0.00075;0.00075
21;10;12;6;2500;16;0.00075;0.00075;0.00075
22;16;10;6;1000;24;0.00075;0.00075;0.00075
23;15;2;6;1000;24;0.00075;0.00075;0.00075
24;4;13;6;2000;21;0.00075;0.00075;0.00075
25;2;10;6;1000;24;0.00075;0.00075;0.00075
26;6;10;6;2000;21;0.00075;0.00075;0.00075
27;8;17;6;1000;24;0.00075;0.00075;0.00075
28;16;11;6;2000;21;0.00075;0.00075;0.00075
29;6;17;6;2500;16;0.00075;0.00075;0.00075
30;14;11;3;5000;13;0.000375;0.000375;0.000375
31;11;9;6;2000;21;0.00075;0.00075;0.00075
32;10;5;6;1000;24;0.00075;0.00075;0.00075
33;13;5;6;2500;16;0.00075;0.00075;0.00075
34;5;18;6;1000;24;0.00075;0.00075;0.00075
35;15;18;6;2000;21;0.00075;0.00075;0.00075
36;1;18;6;1000;24;0.00075;0.00075;0.00075
37;10;8;6;2000;21;0.00075;0.00075;0.00075
38;3;13;6;2500;16;0.00075;0.00075;0.00075
39;3;4;6;2000;21;0.00075;0.00075;0.00075
40;9;5;6;1000;24;0.00075;0.00075;0.00075
41;10;5;6;1000;24;0.00075;0.00075;0.00075
42;2;6;6;2000;21;0.00075;0.00075;0.00075
43;11;7;6;2000;21;0.00075;0.00075;0.00075
44;7;18;6;2500;16;0.00075;0.00075;0.00075
45;3;4;6;2000;21;0.00075;0.00075;0.00075
46;11;16;6;2000;21;0.00075;0.00075;0.00075
47;15;1;6;1000;24;0.00075;0.00075;0.00075
48;8;16;6;2000;21;0.00075;0.00075;0.00075
49;3;16;6;2000;21;0.00075;0.00075;0.00075
50;7;3;6;2000;21;0.00075;0.00075;0.00075
51;16;13;6;2000;21;0.00075;0.00075;0.00075
52;2;3;6;2000;21;0.00075;0.00075;0.00075
53;6;2;6;2000;21;0.00075;0.00075;0.00075
54;1;13;6;2500;16;0.00075;0.00075;0.00075
55;11;10;6;2000;21;0.00075;0.00075;0.00075
56;18;5;6;1000;24;0.00075;0.00075;0.00075
57;7;4;6;2000;21;0.00075;0.00075;0.00075
58;14;6;3;5000;13;0.000375;0.000375;0.000375
59;18;1;6;1000;24;0.00075;0.00075;0.00075
60;9;12;6;2000;21;0.00075;0.00075;0.00075
61;9;12;6;2000;21;0.00075;0.00075;0.00075
62;2;1;6;2000;21;0.00075;0.00075;0.00075
63;16;3;6;2000;21;0.00075;0.00075;0.00075
64;2;18;6;2000;21;0.00075;0.00075;0.00075
65;16;7;6;1000;24;0.00075;0.00075;0.00075
66;8;16;6;2000;21;0.00075;0.00075;0.00075
67;10;5;6;1000;24;0.00075;0.00075;0.00075
68;14;3;6;2500;16;0.00075;0.00075;0.00075
69;11;18;6;2000;21;0.00075;0.00075;0.00075
70;11;13;3;5000;13;0.000375;0.000375;0.000375
71;12;7;6;2500;16;0.00075;0.00075;0.00075
72;7;10;6;2000;21;0.00075;0.00075;0.00075
73;6;2;6;2000;21;0.00075;0.00075;0.00075
74;16;2;6;1000;24;0.00075;0.00075;0.00075
75;18;1;6;1000;24;0.00075;0.00075;0.00075
76;17;10;6;2000;21;0.00075;0.00075;0.00075
77;14;3;6;2500;16;0.00075;0.00075;0.00075
78;14;6;3;5000;13;0.000375;0.000375;0.000375
79;17;9;6;2000;21;0.00075;0.00075;0.00075
80;11;18;6;2000;21;0.00075;0.00075;0.00075
