index;origin;destination;slotsC;max_cdC;osnr_limitC;slotsL;max_cdL;osnr_limitL;Gbits/s;pchC;pchL;pchS
1;1;9;6;20000;24;6;20000;24;400;0.00075;0.00075;0.00075
2;1;16;6;40000;21;0;0;0;300;0.00075;0.00075;0.00075
3;1;3;6;20000;24;6;20000;24;400;0.00075;0.00075;0.00075
4;1;17;6;40000;21;0;0;0;300;0.00075;0.00075;0.00075
5;2;15;6;40000;21;6;40000;21;300;0.00075;0.00075;0.00075
6;2;7;6;40000;21;6;40000;21;300;0.00075;0.00075;0.00075
7;2;8;6;20000;24;0;0;0;400;0.00075;0.00075;0.00075
8;2;13;6;40000;21;6;40000;21;300;0.00075;0.00075;0.00075
9;3;15;6;40000;21;6;40000;21;300;0.00075;0.00075;0.00075
10;3;13;6;40000;21;6;40000;21;300;0.00075;0.00075;0.00075
11;3;17;6;40000;21;6;40000;21;300;0.00075;0.00075;0.00075
12;3;9;6;20000;24;6;20000;24;400;0.00075;0.00075;0.00075
13;4;13;6;20000;24;6;20000;24;400;0.00075;0.00075;0.00075
14;4;8;6;40000;21;6;40000;21;300;0.00075;0.00075;0.00075
15;4;11;6;20000;24;0;0;0;400;0.00075;0.00075;0.00075
16;4;7;6;40000;21;6;40000;21;300;0.00075;0.00075;0.00075
17;5;1;6;20000;24;6;20000;24;400;0.00075;0.00075;0.00075
18;5;10;6;20000;24;6;20000;24;400;0.00075;0.00075;0.00075
19;5;3;6;20000;24;6;20000;24;400;0.00075;0.00075;0.00075
20;5;6;6;20000;24;6;20000;24;400;0.00075;0.00075;0.00075
21;6;15;6;40000;21;6;40000;21;300;0.00075;0.00075;0.00075
22;6;5;6;20000;24;6;20000;24;400;0.00075;0.00075;0.00075
23;6;7;6;20000;24;6;20000;24;400;0.00075;0.00075;0.00075
24;6;14;6;40000;21;6;40000;21;300;0.00075;0.00075;0.00075
25;7;3;6;40000;21;6;40000;21;300;0.00075;0.00075;0.00075
26;7;1;6;20000;24;0;0;0;400;0.00075;0.00075;0.00075
27;7;10;6;40000;21;6;40000;21;300;0.00075;0.00075;0.00075
28;7;9;6;20000;24;6;20000;24;400;0.00075;0.00075;0.00075
29;8;1;6;20000;24;0;0;0;400;0.00075;0.00075;0.00075
30;8;14;6;20000;24;0;0;0;400;0.00075;0.00075;0.00075
31;8;6;6;20000;24;6;20000;24;400;0.00075;0.00075;0.00075
32;8;9;6;20000;24;6;20000;24;400;0.00075;0.00075;0.00075
33;9;5;6;20000;24;6;20000;24;400;0.00075;0.00075;0.00075
34;9;17;6;40000;21;6;40000;21;300;0.00075;0.00075;0.00075
35;9;12;6;20000;24;0;0;0;400;0.00075;0.00075;0.00075
36;9;6;6;20000;24;6;20000;24;400;0.00075;0.00075;0.00075
37;10;2;6;20000;24;6;20000;24;400;0.00075;0.00075;0.00075
38;10;12;6;20000;24;0;0;0;400;0.00075;0.00075;0.00075
39;10;15;6;20000;24;0;0;0;400;0.00075;0.00075;0.00075
40;10;9;6;20000;24;6;20000;24;400;0.00075;0.00075;0.00075
41;11;9;6;20000;24;6;20000;24;400;0.00075;0.00075;0.00075
42;11;6;6;20000;24;6;20000;24;400;0.00075;0.00075;0.00075
43;11;7;6;20000;24;6;20000;24;400;0.00075;0.00075;0.00075
44;11;16;6;40000;21;6;40000;21;300;0.00075;0.00075;0.00075
45;12;17;6;40000;21;6;40000;21;300;0.00075;0.00075;0.00075
46;12;14;6;20000;24;6;20000;24;400;0.00075;0.00075;0.00075
47;12;7;6;20000;24;0;0;0;400;0.00075;0.00075;0.00075
48;12;8;6;20000;24;6;20000;24;400;0.00075;0.00075;0.00075
49;13;11;6;20000;24;6;20000;24;400;0.00075;0.00075;0.00075
50;13;7;6;20000;24;0;0;0;400;0.00075;0.00075;0.00075
51;13;16;6;20000;24;6;20000;24;400;0.00075;0.00075;0.00075
52;13;2;6;40000;21;6;40000;21;300;0.00075;0.00075;0.00075
53;14;13;6;20000;24;6;20000;24;400;0.00075;0.00075;0.00075
54;14;16;6;20000;24;6;20000;24;400;0.00075;0.00075;0.00075
55;14;9;6;40000;21;6;40000;21;300;0.00075;0.00075;0.00075
56;14;3;6;40000;21;6;40000;21;300;0.00075;0.00075;0.00075
57;15;10;6;20000;24;0;0;0;400;0.00075;0.00075;0.00075
58;15;5;6;40000;21;6;40000;21;300;0.00075;0.00075;0.00075
59;15;17;6;20000;24;6;20000;24;400;0.00075;0.00075;0.00075
60;15;13;6;20000;24;6;20000;24;400;0.00075;0.00075;0.00075
61;16;1;6;40000;21;0;0;0;300;0.00075;0.00075;0.00075
62;16;7;6;40000;21;6;40000;21;300;0.00075;0.00075;0.00075
63;16;12;6;20000;24;6;20000;24;400;0.00075;0.00075;0.00075
64;16;13;6;20000;24;6;20000;24;400;0.00075;0.00075;0.00075
65;17;6;6;40000;21;6;40000;21;300;0.00075;0.00075;0.00075
66;17;10;6;20000;24;6;20000;24;400;0.00075;0.00075;0.00075
67;17;16;6;20000;24;6;20000;24;400;0.00075;0.00075;0.00075
68;17;4;6;40000;21;6;40000;21;300;0.00075;0.00075;0.00075
