index;origin;destination;slots;max_length;osnr_limit;pchC;pchL;pchS
1;13;2;3;5000;13;0.000375;0.000375;0.000375
2;2;6;3;5000;13;0.000375;0.000375;0.000375
3;1;4;6;2500;16;0.00075;0.00075;0.00075
4;12;3;3;5000;13;0.000375;0.000375;0.000375
5;12;6;6;2500;16;0.00075;0.00075;0.00075
6;2;1;6;2000;21;0.00075;0.00075;0.00075
7;9;3;3;5000;13;0.000375;0.000375;0.000375
8;2;9;3;5000;13;0.000375;0.000375;0.000375
9;3;2;6;1000;24;0.00075;0.00075;0.00075
10;11;7;3;5000;13;0.000375;0.000375;0.000375
11;6;10;6;2000;21;0.00075;0.00075;0.00075
12;13;2;3;5000;13;0.000375;0.000375;0.000375
13;9;14;6;1000;24;0.00075;0.00075;0.00075
14;11;12;6;2000;21;0.00075;0.00075;0.00075
15;9;12;6;1000;24;0.00075;0.00075;0.00075
16;7;3;3;5000;13;0.000375;0.000375;0.000375
17;14;6;6;2500;16;0.00075;0.00075;0.00075
18;3;5;6;2500;16;0.00075;0.00075;0.00075
19;1;3;6;2000;21;0.00075;0.00075;0.00075
20;4;6;6;2000;21;0.00075;0.00075;0.00075
21;3;8;3;5000;13;0.000375;0.000375;0.000375
22;8;6;3;5000;13;0.000375;0.000375;0.000375
23;1;9;3;5000;13;0.000375;0.000375;0.000375
24;3;8;3;5000;13;0.000375;0.000375;0.000375
25;4;5;6;1000;24;0.00075;0.00075;0.00075
26;10;11;6;2500;16;0.00075;0.00075;0.00075
27;13;2;3;5000;13;0.000375;0.000375;0.000375
28;13;3;3;5000;13;0.000375;0.000375;0.000375
29;6;3;6;2500;16;0.00075;0.00075;0.00075
30;8;3;3;5000;13;0.000375;0.000375;0.000375
31;6;10;6;2000;21;0.00075;0.00075;0.00075
32;3;7;3;5000;13;0.000375;0.000375;0.000375
33;8;1;3;5000;13;0.000375;0.000375;0.000375
34;13;1;3;5000;13;0.000375;0.000375;0.000375
35;9;8;6;1000;24;0.00075;0.00075;0.00075
36;4;5;6;1000;24;0.00075;0.00075;0.00075
37;7;3;3;5000;13;0.000375;0.000375;0.000375
38;5;11;3;5000;13;0.000375;0.000375;0.000375
39;2;9;3;5000;13;0.000375;0.000375;0.000375
40;5;2;6;2000;21;0.00075;0.00075;0.00075
41;1;11;3;5000;13;0.000375;0.000375;0.000375
42;5;1;3;5000;13;0.000375;0.000375;0.000375
43;4;14;3;5000;13;0.000375;0.000375;0.000375
44;11;10;6;2500;16;0.00075;0.00075;0.00075
45;9;12;6;1000;24;0.00075;0.00075;0.00075
46;8;13;6;2000;21;0.00075;0.00075;0.00075
47;9;10;6;2000;21;0.00075;0.00075;0.00075
48;1;11;3;5000;13;0.000375;0.000375;0.000375
49;2;6;3;5000;13;0.000375;0.000375;0.000375
50;14;3;3;5000;13;0.000375;0.000375;0.000375
