index;origin;destination;slots;max_length;osnr_limit;pchC;pchL;pchS
1;4;6;3;500;22;0.000375;0.000375;0.000375
2;3;1;3;500;22;0.000375;0.000375;0.000375
3;4;5;3;500;22;0.000375;0.000375;0.000375
4;6;2;4;1000;16;0.0005;0.0005;0.0005
5;6;1;3;5000;13;0.000375;0.000375;0.000375
6;2;3;3;500;22;0.000375;0.000375;0.000375
7;2;5;4;1000;16;0.0005;0.0005;0.0005
8;5;3;3;500;22;0.000375;0.000375;0.000375
9;5;6;3;500;22;0.000375;0.000375;0.000375
10;1;2;3;500;22;0.000375;0.000375;0.000375
11;3;2;3;500;22;0.000375;0.000375;0.000375
12;2;5;4;1000;16;0.0005;0.0005;0.0005
13;4;3;3;500;22;0.000375;0.000375;0.000375
14;6;3;4;1000;16;0.0005;0.0005;0.0005
15;5;1;4;1000;16;0.0005;0.0005;0.0005
16;1;5;4;1000;16;0.0005;0.0005;0.0005
17;4;6;3;500;22;0.000375;0.000375;0.000375
18;2;4;4;1000;16;0.0005;0.0005;0.0005
19;4;3;3;500;22;0.000375;0.000375;0.000375
20;2;5;4;1000;16;0.0005;0.0005;0.0005
21;4;5;3;500;22;0.000375;0.000375;0.000375
22;3;1;3;500;22;0.000375;0.000375;0.000375
23;1;4;4;1000;16;0.0005;0.0005;0.0005
24;5;2;4;1000;16;0.0005;0.0005;0.0005
25;3;4;3;500;22;0.000375;0.000375;0.000375
26;1;4;4;1000;16;0.0005;0.0005;0.0005
27;3;2;3;500;22;0.000375;0.000375;0.000375
28;1;6;3;5000;13;0.000375;0.000375;0.000375
29;5;2;4;1000;16;0.0005;0.0005;0.0005
30;2;6;4;1000;16;0.0005;0.0005;0.0005
