index;origin;destination;slots;max_length;osnr_limit;pchC;pchL;pchS
1;1;5;4;1000;16;0.0005;0.0005;0.0005
2;6;5;3;500;22;0.000375;0.000375;0.000375
3;1;6;3;5000;13;0.000375;0.000375;0.000375
4;2;6;4;1000;16;0.0005;0.0005;0.0005
5;1;5;4;1000;16;0.0005;0.0005;0.0005
6;3;6;4;1000;16;0.0005;0.0005;0.0005
7;1;4;4;1000;16;0.0005;0.0005;0.0005
8;1;3;3;500;22;0.000375;0.000375;0.000375
9;4;1;4;1000;16;0.0005;0.0005;0.0005
10;4;3;3;500;22;0.000375;0.000375;0.000375
11;6;2;4;1000;16;0.0005;0.0005;0.0005
12;4;5;3;500;22;0.000375;0.000375;0.000375
13;5;4;3;500;22;0.000375;0.000375;0.000375
14;3;5;3;500;22;0.000375;0.000375;0.000375
15;1;4;4;1000;16;0.0005;0.0005;0.0005
16;4;6;3;500;22;0.000375;0.000375;0.000375
17;4;6;3;500;22;0.000375;0.000375;0.000375
18;1;2;3;500;22;0.000375;0.000375;0.000375
19;2;1;3;500;22;0.000375;0.000375;0.000375
20;2;6;4;1000;16;0.0005;0.0005;0.0005
21;6;4;3;500;22;0.000375;0.000375;0.000375
22;6;1;3;5000;13;0.000375;0.000375;0.000375
23;6;5;3;500;22;0.000375;0.000375;0.000375
24;2;4;4;1000;16;0.0005;0.0005;0.0005
25;2;3;3;500;22;0.000375;0.000375;0.000375
26;3;2;3;500;22;0.000375;0.000375;0.000375
27;4;1;4;1000;16;0.0005;0.0005;0.0005
28;6;3;4;1000;16;0.0005;0.0005;0.0005
29;5;1;4;1000;16;0.0005;0.0005;0.0005
30;5;1;4;1000;16;0.0005;0.0005;0.0005
31;5;6;3;500;22;0.000375;0.000375;0.000375
32;1;5;4;1000;16;0.0005;0.0005;0.0005
33;5;6;3;500;22;0.000375;0.000375;0.000375
34;5;1;4;1000;16;0.0005;0.0005;0.0005
35;2;1;3;500;22;0.000375;0.000375;0.000375
36;4;2;4;1000;16;0.0005;0.0005;0.0005
37;3;2;3;500;22;0.000375;0.000375;0.000375
38;2;4;4;1000;16;0.0005;0.0005;0.0005
39;3;6;4;1000;16;0.0005;0.0005;0.0005
40;5;4;3;500;22;0.000375;0.000375;0.000375
41;5;6;3;500;22;0.000375;0.000375;0.000375
42;6;1;3;5000;13;0.000375;0.000375;0.000375
43;6;4;3;500;22;0.000375;0.000375;0.000375
44;1;2;3;500;22;0.000375;0.000375;0.000375
45;3;6;4;1000;16;0.0005;0.0005;0.0005
46;5;4;3;500;22;0.000375;0.000375;0.000375
47;4;5;3;500;22;0.000375;0.000375;0.000375
48;1;6;3;5000;13;0.000375;0.000375;0.000375
49;5;1;4;1000;16;0.0005;0.0005;0.0005
50;2;5;4;1000;16;0.0005;0.0005;0.0005
