index;origin;destination;slots;max_length;osnr_limit;pchC;pchL;pchS
1;8;17;4;1000;16;0.0005;0.0005;0.0005
2;11;2;3;5000;13;0.000375;0.000375;0.000375
3;3;9;4;1000;16;0.0005;0.0005;0.0005
4;10;5;4;1000;16;0.0005;0.0005;0.0005
5;8;14;3;5000;13;0.000375;0.000375;0.000375
6;8;18;3;5000;13;0.000375;0.000375;0.000375
7;2;15;4;1000;16;0.0005;0.0005;0.0005
8;8;13;3;5000;13;0.000375;0.000375;0.000375
9;15;18;4;1000;16;0.0005;0.0005;0.0005
10;13;16;3;5000;13;0.000375;0.000375;0.000375
11;4;10;3;500;22;0.000375;0.000375;0.000375
12;13;18;3;5000;13;0.000375;0.000375;0.000375
13;6;7;3;5000;13;0.000375;0.000375;0.000375
14;1;3;4;1000;16;0.0005;0.0005;0.0005
15;9;10;3;500;22;0.000375;0.000375;0.000375
16;14;2;3;5000;13;0.000375;0.000375;0.000375
17;8;14;3;5000;13;0.000375;0.000375;0.000375
18;17;1;3;500;22;0.000375;0.000375;0.000375
19;18;9;4;1000;16;0.0005;0.0005;0.0005
20;2;11;3;5000;13;0.000375;0.000375;0.000375
21;14;12;3;5000;13;0.000375;0.000375;0.000375
22;13;12;4;1000;16;0.0005;0.0005;0.0005
23;14;8;3;5000;13;0.000375;0.000375;0.000375
24;18;15;4;1000;16;0.0005;0.0005;0.0005
25;9;18;4;1000;16;0.0005;0.0005;0.0005
26;18;12;3;5000;13;0.000375;0.000375;0.000375
27;3;8;3;5000;13;0.000375;0.000375;0.000375
28;18;8;3;5000;13;0.000375;0.000375;0.000375
29;8;13;3;5000;13;0.000375;0.000375;0.000375
30;18;17;4;1000;16;0.0005;0.0005;0.0005
31;5;3;3;500;22;0.000375;0.000375;0.000375
32;12;17;3;5000;13;0.000375;0.000375;0.000375
33;18;17;4;1000;16;0.0005;0.0005;0.0005
34;12;15;3;5000;13;0.000375;0.000375;0.000375
35;6;9;3;5000;13;0.000375;0.000375;0.000375
36;2;14;3;5000;13;0.000375;0.000375;0.000375
37;2;11;3;5000;13;0.000375;0.000375;0.000375
38;10;15;4;1000;16;0.0005;0.0005;0.0005
39;2;3;3;5000;13;0.000375;0.000375;0.000375
40;11;8;3;5000;13;0.000375;0.000375;0.000375
41;5;3;3;500;22;0.000375;0.000375;0.000375
42;10;14;3;5000;13;0.000375;0.000375;0.000375
43;11;13;3;5000;13;0.000375;0.000375;0.000375
44;10;12;3;5000;13;0.000375;0.000375;0.000375
45;15;2;4;1000;16;0.0005;0.0005;0.0005
46;11;15;3;5000;13;0.000375;0.000375;0.000375
47;7;10;4;1000;16;0.0005;0.0005;0.0005
48;14;2;3;5000;13;0.000375;0.000375;0.000375
49;13;6;3;5000;13;0.000375;0.000375;0.000375
50;6;15;3;5000;13;0.000375;0.000375;0.000375
51;18;17;4;1000;16;0.0005;0.0005;0.0005
52;4;10;3;500;22;0.000375;0.000375;0.000375
53;17;8;4;1000;16;0.0005;0.0005;0.0005
54;8;12;3;5000;13;0.000375;0.000375;0.000375
55;9;3;4;1000;16;0.0005;0.0005;0.0005
56;9;3;4;1000;16;0.0005;0.0005;0.0005
57;5;7;3;5000;13;0.000375;0.000375;0.000375
58;8;6;3;5000;13;0.000375;0.000375;0.000375
59;4;9;3;500;22;0.000375;0.000375;0.000375
60;9;1;4;1000;16;0.0005;0.0005;0.0005
61;11;8;3;5000;13;0.000375;0.000375;0.000375
62;17;18;4;1000;16;0.0005;0.0005;0.0005
63;2;6;3;5000;13;0.000375;0.000375;0.000375
64;1;17;3;500;22;0.000375;0.000375;0.000375
65;16;7;3;500;22;0.000375;0.000375;0.000375
66;8;15;3;500;22;0.000375;0.000375;0.000375
67;11;17;3;5000;13;0.000375;0.000375;0.000375
68;1;11;3;5000;13;0.000375;0.000375;0.000375
69;8;1;4;1000;16;0.0005;0.0005;0.0005
70;5;1;4;1000;16;0.0005;0.0005;0.0005
71;9;10;3;500;22;0.000375;0.000375;0.000375
72;5;9;4;1000;16;0.0005;0.0005;0.0005
73;16;6;3;5000;13;0.000375;0.000375;0.000375
74;4;8;4;1000;16;0.0005;0.0005;0.0005
75;15;3;3;5000;13;0.000375;0.000375;0.000375
76;14;18;3;5000;13;0.000375;0.000375;0.000375
77;13;16;3;5000;13;0.000375;0.000375;0.000375
78;4;14;3;5000;13;0.000375;0.000375;0.000375
79;15;5;4;1000;16;0.0005;0.0005;0.0005
80;17;8;4;1000;16;0.0005;0.0005;0.0005
81;7;18;3;5000;13;0.000375;0.000375;0.000375
82;15;8;3;500;22;0.000375;0.000375;0.000375
83;13;1;3;5000;13;0.000375;0.000375;0.000375
84;11;4;3;5000;13;0.000375;0.000375;0.000375
85;14;17;3;5000;13;0.000375;0.000375;0.000375
86;13;10;3;5000;13;0.000375;0.000375;0.000375
87;4;16;3;500;22;0.000375;0.000375;0.000375
88;16;9;4;1000;16;0.0005;0.0005;0.0005
89;5;10;4;1000;16;0.0005;0.0005;0.0005
90;13;6;3;5000;13;0.000375;0.000375;0.000375
91;11;7;3;5000;13;0.000375;0.000375;0.000375
92;16;1;3;5000;13;0.000375;0.000375;0.000375
93;8;12;3;5000;13;0.000375;0.000375;0.000375
94;2;15;4;1000;16;0.0005;0.0005;0.0005
95;8;6;3;5000;13;0.000375;0.000375;0.000375
96;10;8;4;1000;16;0.0005;0.0005;0.0005
97;17;10;3;5000;13;0.000375;0.000375;0.000375
98;10;7;4;1000;16;0.0005;0.0005;0.0005
99;10;4;3;500;22;0.000375;0.000375;0.000375
100;8;16;3;5000;13;0.000375;0.000375;0.000375
101;18;15;4;1000;16;0.0005;0.0005;0.0005
102;1;16;3;5000;13;0.000375;0.000375;0.000375
103;16;14;3;5000;13;0.000375;0.000375;0.000375
104;13;18;3;5000;13;0.000375;0.000375;0.000375
105;3;7;3;5000;13;0.000375;0.000375;0.000375
106;6;8;3;5000;13;0.000375;0.000375;0.000375
107;1;13;3;5000;13;0.000375;0.000375;0.000375
108;10;3;4;1000;16;0.0005;0.0005;0.0005
109;14;17;3;5000;13;0.000375;0.000375;0.000375
110;2;6;3;5000;13;0.000375;0.000375;0.000375
111;17;1;3;500;22;0.000375;0.000375;0.000375
112;15;6;3;5000;13;0.000375;0.000375;0.000375
113;6;5;4;1000;16;0.0005;0.0005;0.0005
114;8;16;3;5000;13;0.000375;0.000375;0.000375
115;9;12;3;5000;13;0.000375;0.000375;0.000375
116;8;12;3;5000;13;0.000375;0.000375;0.000375
117;14;1;3;5000;13;0.000375;0.000375;0.000375
118;4;8;4;1000;16;0.0005;0.0005;0.0005
119;7;11;3;5000;13;0.000375;0.000375;0.000375
120;1;10;3;5000;13;0.000375;0.000375;0.000375
