index;origin;destination;slots;max_length;osnr_limit;pchC;pchL;pchS
1;11;1;3;5000;13;0.000375;0.000375;0.000375
2;8;3;3;5000;13;0.000375;0.000375;0.000375
3;11;14;3;5000;13;0.000375;0.000375;0.000375
4;13;1;3;5000;13;0.000375;0.000375;0.000375
5;16;12;3;5000;13;0.000375;0.000375;0.000375
6;11;17;3;5000;13;0.000375;0.000375;0.000375
7;18;7;3;5000;13;0.000375;0.000375;0.000375
8;5;10;4;1000;16;0.0005;0.0005;0.0005
9;15;11;3;5000;13;0.000375;0.000375;0.000375
10;15;7;3;5000;13;0.000375;0.000375;0.000375
11;8;15;3;500;22;0.000375;0.000375;0.000375
12;2;12;3;5000;13;0.000375;0.000375;0.000375
13;14;2;3;5000;13;0.000375;0.000375;0.000375
14;11;10;3;5000;13;0.000375;0.000375;0.000375
15;10;8;4;1000;16;0.0005;0.0005;0.0005
16;1;13;3;5000;13;0.000375;0.000375;0.000375
17;9;13;3;5000;13;0.000375;0.000375;0.000375
18;6;16;3;5000;13;0.000375;0.000375;0.000375
19;5;15;4;1000;16;0.0005;0.0005;0.0005
20;16;6;3;5000;13;0.000375;0.000375;0.000375
