index;origin;destination;slots;max_length;osnr_limit;pchC;pchL;pchS
1;7;5;3;5000;13;0.000375;0.000375;0.000375
2;16;4;3;500;22;0.000375;0.000375;0.000375
3;15;3;3;5000;13;0.000375;0.000375;0.000375
4;3;14;3;5000;13;0.000375;0.000375;0.000375
5;10;6;3;5000;13;0.000375;0.000375;0.000375
6;6;2;3;5000;13;0.000375;0.000375;0.000375
7;18;3;4;1000;16;0.0005;0.0005;0.0005
8;5;8;3;5000;13;0.000375;0.000375;0.000375
9;16;7;3;500;22;0.000375;0.000375;0.000375
10;2;1;3;5000;13;0.000375;0.000375;0.000375
11;14;17;3;5000;13;0.000375;0.000375;0.000375
12;13;8;3;5000;13;0.000375;0.000375;0.000375
13;11;10;3;5000;13;0.000375;0.000375;0.000375
14;8;4;4;1000;16;0.0005;0.0005;0.0005
15;5;18;3;500;22;0.000375;0.000375;0.000375
16;4;5;4;1000;16;0.0005;0.0005;0.0005
17;18;16;3;5000;13;0.000375;0.000375;0.000375
18;14;6;3;5000;13;0.000375;0.000375;0.000375
19;6;3;4;1000;16;0.0005;0.0005;0.0005
20;9;8;4;1000;16;0.0005;0.0005;0.0005
21;17;5;4;1000;16;0.0005;0.0005;0.0005
22;4;15;4;1000;16;0.0005;0.0005;0.0005
23;11;5;4;1000;16;0.0005;0.0005;0.0005
24;8;9;4;1000;16;0.0005;0.0005;0.0005
25;11;12;3;5000;13;0.000375;0.000375;0.000375
26;8;7;3;5000;13;0.000375;0.000375;0.000375
27;14;2;3;5000;13;0.000375;0.000375;0.000375
28;2;3;3;5000;13;0.000375;0.000375;0.000375
29;14;9;3;5000;13;0.000375;0.000375;0.000375
30;15;11;3;5000;13;0.000375;0.000375;0.000375
31;17;5;4;1000;16;0.0005;0.0005;0.0005
32;7;15;3;5000;13;0.000375;0.000375;0.000375
33;5;4;4;1000;16;0.0005;0.0005;0.0005
34;1;14;3;5000;13;0.000375;0.000375;0.000375
35;18;13;3;5000;13;0.000375;0.000375;0.000375
36;18;6;3;5000;13;0.000375;0.000375;0.000375
37;7;8;3;5000;13;0.000375;0.000375;0.000375
38;15;1;4;1000;16;0.0005;0.0005;0.0005
39;7;14;3;5000;13;0.000375;0.000375;0.000375
40;2;16;3;500;22;0.000375;0.000375;0.000375
41;10;7;4;1000;16;0.0005;0.0005;0.0005
42;3;18;4;1000;16;0.0005;0.0005;0.0005
43;18;3;4;1000;16;0.0005;0.0005;0.0005
44;4;17;3;5000;13;0.000375;0.000375;0.000375
45;10;15;4;1000;16;0.0005;0.0005;0.0005
46;4;18;3;5000;13;0.000375;0.000375;0.000375
47;15;11;3;5000;13;0.000375;0.000375;0.000375
48;2;17;3;5000;13;0.000375;0.000375;0.000375
49;14;17;3;5000;13;0.000375;0.000375;0.000375
50;7;18;3;5000;13;0.000375;0.000375;0.000375
