index;origin;destination;slots;max_length;osnr_limit;pchC;pchL;pchS
1;9;3;3;500;22;0.000375;0.000375;0.000375
2;16;5;4;1000;16;0.0005;0.0005;0.0005
3;14;11;3;500;22;0.000375;0.000375;0.000375
4;4;3;3;500;22;0.000375;0.000375;0.000375
5;14;13;3;500;22;0.000375;0.000375;0.000375
6;15;13;3;500;22;0.000375;0.000375;0.000375
7;10;14;4;1000;16;0.0005;0.0005;0.0005
8;15;6;4;1000;16;0.0005;0.0005;0.0005
9;13;12;3;500;22;0.000375;0.000375;0.000375
10;16;14;3;500;22;0.000375;0.000375;0.000375
11;4;6;4;1000;16;0.0005;0.0005;0.0005
12;14;1;4;1000;16;0.0005;0.0005;0.0005
13;7;4;4;1000;16;0.0005;0.0005;0.0005
14;9;6;3;500;22;0.000375;0.000375;0.000375
15;14;15;3;500;22;0.000375;0.000375;0.000375
16;13;7;4;1000;16;0.0005;0.0005;0.0005
17;4;5;3;500;22;0.000375;0.000375;0.000375
18;8;16;4;1000;16;0.0005;0.0005;0.0005
19;5;1;3;500;22;0.000375;0.000375;0.000375
20;10;3;3;500;22;0.000375;0.000375;0.000375
21;8;11;3;500;22;0.000375;0.000375;0.000375
22;4;11;4;1000;16;0.0005;0.0005;0.0005
23;7;10;4;1000;16;0.0005;0.0005;0.0005
24;9;12;4;1000;16;0.0005;0.0005;0.0005
25;11;6;4;1000;16;0.0005;0.0005;0.0005
26;14;7;4;1000;16;0.0005;0.0005;0.0005
27;12;4;4;1000;16;0.0005;0.0005;0.0005
28;6;16;4;1000;16;0.0005;0.0005;0.0005
29;6;12;4;1000;16;0.0005;0.0005;0.0005
30;3;8;4;1000;16;0.0005;0.0005;0.0005
31;1;16;4;1000;16;0.0005;0.0005;0.0005
32;9;17;4;1000;16;0.0005;0.0005;0.0005
33;9;12;4;1000;16;0.0005;0.0005;0.0005
34;8;12;3;500;22;0.000375;0.000375;0.000375
35;13;3;4;1000;16;0.0005;0.0005;0.0005
36;15;12;3;500;22;0.000375;0.000375;0.000375
37;7;1;4;1000;16;0.0005;0.0005;0.0005
38;2;3;3;500;22;0.000375;0.000375;0.000375
39;10;1;4;1000;16;0.0005;0.0005;0.0005
40;2;15;4;1000;16;0.0005;0.0005;0.0005
41;12;15;3;500;22;0.000375;0.000375;0.000375
42;8;2;4;1000;16;0.0005;0.0005;0.0005
43;6;7;3;500;22;0.000375;0.000375;0.000375
44;13;9;4;1000;16;0.0005;0.0005;0.0005
45;4;12;4;1000;16;0.0005;0.0005;0.0005
46;2;13;4;1000;16;0.0005;0.0005;0.0005
47;3;12;4;1000;16;0.0005;0.0005;0.0005
48;10;1;4;1000;16;0.0005;0.0005;0.0005
