index;origin;destination;slots;max_length;osnr_limit;pchC;pchL;pchS
1;16;7;4;1000;16;0.0005;0.0005;0.0005
2;11;2;4;1000;16;0.0005;0.0005;0.0005
3;4;9;4;1000;16;0.0005;0.0005;0.0005
4;4;6;4;1000;16;0.0005;0.0005;0.0005
5;14;9;4;1000;16;0.0005;0.0005;0.0005
6;15;4;4;1000;16;0.0005;0.0005;0.0005
7;6;11;4;1000;16;0.0005;0.0005;0.0005
8;10;2;4;1000;16;0.0005;0.0005;0.0005
9;10;14;4;1000;16;0.0005;0.0005;0.0005
10;4;13;4;1000;16;0.0005;0.0005;0.0005
11;17;2;4;1000;16;0.0005;0.0005;0.0005
12;10;7;4;1000;16;0.0005;0.0005;0.0005
13;5;6;3;500;22;0.000375;0.000375;0.000375
14;9;13;4;1000;16;0.0005;0.0005;0.0005
15;5;13;4;1000;16;0.0005;0.0005;0.0005
16;7;8;3;500;22;0.000375;0.000375;0.000375
17;6;17;4;1000;16;0.0005;0.0005;0.0005
18;2;14;4;1000;16;0.0005;0.0005;0.0005
19;12;13;3;500;22;0.000375;0.000375;0.000375
20;7;2;4;1000;16;0.0005;0.0005;0.0005
21;8;16;4;1000;16;0.0005;0.0005;0.0005
22;1;9;3;500;22;0.000375;0.000375;0.000375
23;2;13;4;1000;16;0.0005;0.0005;0.0005
24;10;16;4;1000;16;0.0005;0.0005;0.0005
25;6;16;4;1000;16;0.0005;0.0005;0.0005
26;12;5;4;1000;16;0.0005;0.0005;0.0005
27;10;5;3;500;22;0.000375;0.000375;0.000375
28;15;12;3;500;22;0.000375;0.000375;0.000375
29;10;17;3;500;22;0.000375;0.000375;0.000375
30;13;1;4;1000;16;0.0005;0.0005;0.0005
31;17;8;4;1000;16;0.0005;0.0005;0.0005
32;13;6;4;1000;16;0.0005;0.0005;0.0005
33;12;8;3;500;22;0.000375;0.000375;0.000375
34;4;7;4;1000;16;0.0005;0.0005;0.0005
35;2;3;3;500;22;0.000375;0.000375;0.000375
36;6;4;4;1000;16;0.0005;0.0005;0.0005
37;1;7;4;1000;16;0.0005;0.0005;0.0005
38;16;10;4;1000;16;0.0005;0.0005;0.0005
39;4;6;4;1000;16;0.0005;0.0005;0.0005
40;16;2;4;1000;16;0.0005;0.0005;0.0005
41;8;10;4;1000;16;0.0005;0.0005;0.0005
42;16;4;4;1000;16;0.0005;0.0005;0.0005
43;16;13;3;500;22;0.000375;0.000375;0.000375
44;15;10;4;1000;16;0.0005;0.0005;0.0005
45;2;15;4;1000;16;0.0005;0.0005;0.0005
46;2;5;3;500;22;0.000375;0.000375;0.000375
47;14;5;4;1000;16;0.0005;0.0005;0.0005
48;6;3;4;1000;16;0.0005;0.0005;0.0005
49;16;5;4;1000;16;0.0005;0.0005;0.0005
50;9;14;4;1000;16;0.0005;0.0005;0.0005
51;16;5;4;1000;16;0.0005;0.0005;0.0005
52;11;5;3;500;22;0.000375;0.000375;0.000375
53;8;15;4;1000;16;0.0005;0.0005;0.0005
54;13;5;4;1000;16;0.0005;0.0005;0.0005
55;10;5;3;500;22;0.000375;0.000375;0.000375
56;3;17;4;1000;16;0.0005;0.0005;0.0005
57;9;13;4;1000;16;0.0005;0.0005;0.0005
58;17;11;3;500;22;0.000375;0.000375;0.000375
59;3;5;3;500;22;0.000375;0.000375;0.000375
60;7;13;4;1000;16;0.0005;0.0005;0.0005
61;8;3;4;1000;16;0.0005;0.0005;0.0005
62;7;8;3;500;22;0.000375;0.000375;0.000375
63;4;10;3;500;22;0.000375;0.000375;0.000375
64;16;12;4;1000;16;0.0005;0.0005;0.0005
65;2;1;3;500;22;0.000375;0.000375;0.000375
66;2;12;4;1000;16;0.0005;0.0005;0.0005
67;17;11;3;500;22;0.000375;0.000375;0.000375
68;9;8;3;500;22;0.000375;0.000375;0.000375
69;7;4;4;1000;16;0.0005;0.0005;0.0005
70;6;16;4;1000;16;0.0005;0.0005;0.0005
71;5;4;3;500;22;0.000375;0.000375;0.000375
72;12;11;3;500;22;0.000375;0.000375;0.000375
73;14;1;4;1000;16;0.0005;0.0005;0.0005
74;7;12;4;1000;16;0.0005;0.0005;0.0005
75;7;3;4;1000;16;0.0005;0.0005;0.0005
76;8;11;3;500;22;0.000375;0.000375;0.000375
77;1;5;3;500;22;0.000375;0.000375;0.000375
78;16;1;4;1000;16;0.0005;0.0005;0.0005
79;8;13;4;1000;16;0.0005;0.0005;0.0005
80;3;7;4;1000;16;0.0005;0.0005;0.0005
