index;origin;destination;slots;max_length;osnr_limit;pchC;pchL;pchS
1;1;7;4;1000;16;0.0005;0.0005;0.0005
2;1;8;3;5000;13;0.000375;0.000375;0.000375
3;1;5;4;1000;16;0.0005;0.0005;0.0005
4;1;1;3;500;22;0.000375;0.000375;0.000375
5;1;2;3;500;22;0.000375;0.000375;0.000375
6;2;7;3;5000;13;0.000375;0.000375;0.000375
7;2;1;3;500;22;0.000375;0.000375;0.000375
8;2;5;4;1000;16;0.0005;0.0005;0.0005
9;2;8;3;5000;13;0.000375;0.000375;0.000375
10;2;9;3;5000;13;0.000375;0.000375;0.000375
11;3;4;4;1000;16;0.0005;0.0005;0.0005
12;3;6;3;5000;13;0.000375;0.000375;0.000375
13;3;3;3;500;22;0.000375;0.000375;0.000375
14;3;1;3;500;22;0.000375;0.000375;0.000375
15;3;9;3;5000;13;0.000375;0.000375;0.000375
16;4;2;4;1000;16;0.0005;0.0005;0.0005
17;4;9;4;1000;16;0.0005;0.0005;0.0005
18;4;6;3;500;22;0.000375;0.000375;0.000375
19;4;8;4;1000;16;0.0005;0.0005;0.0005
20;4;5;3;500;22;0.000375;0.000375;0.000375
21;5;6;4;1000;16;0.0005;0.0005;0.0005
22;5;9;4;1000;16;0.0005;0.0005;0.0005
23;5;5;3;500;22;0.000375;0.000375;0.000375
24;5;2;4;1000;16;0.0005;0.0005;0.0005
25;5;8;4;1000;16;0.0005;0.0005;0.0005
26;6;8;3;500;22;0.000375;0.000375;0.000375
27;6;5;4;1000;16;0.0005;0.0005;0.0005
28;6;9;3;500;22;0.000375;0.000375;0.000375
29;6;6;3;500;22;0.000375;0.000375;0.000375
30;6;1;3;5000;13;0.000375;0.000375;0.000375
31;7;1;4;1000;16;0.0005;0.0005;0.0005
32;7;4;4;1000;16;0.0005;0.0005;0.0005
33;7;2;3;5000;13;0.000375;0.000375;0.000375
34;7;3;4;1000;16;0.0005;0.0005;0.0005
35;7;5;3;500;22;0.000375;0.000375;0.000375
36;8;7;3;500;22;0.000375;0.000375;0.000375
37;8;9;3;500;22;0.000375;0.000375;0.000375
38;8;8;3;500;22;0.000375;0.000375;0.000375
39;8;1;3;5000;13;0.000375;0.000375;0.000375
40;8;4;4;1000;16;0.0005;0.0005;0.0005
41;9;5;4;1000;16;0.0005;0.0005;0.0005
42;9;7;3;500;22;0.000375;0.000375;0.000375
43;9;3;3;5000;13;0.000375;0.000375;0.000375
44;9;6;3;500;22;0.000375;0.000375;0.000375
45;9;1;3;5000;13;0.000375;0.000375;0.000375
