index;origin;destination;slots;max_length;osnr_limit;pchC;pchL;pchS
1;7;6;6;1000;24;0.00075;0.00075;0.00075
2;2;10;6;2000;21;0.00075;0.00075;0.00075
3;7;3;6;2500;16;0.00075;0.00075;0.00075
4;5;2;6;2000;21;0.00075;0.00075;0.00075
5;2;9;6;1000;24;0.00075;0.00075;0.00075
6;7;10;3;500;22;0.000375;0.000375;0.000375
7;9;8;6;2000;21;0.00075;0.00075;0.00075
8;5;6;3;5000;13;0.000375;0.000375;0.000375
9;5;7;4;1000;16;0.0005;0.0005;0.0005
10;9;4;3;500;22;0.000375;0.000375;0.000375
11;1;9;3;5000;13;0.000375;0.000375;0.000375
12;4;2;3;2000;15;0.000375;0.000375;0.000375
13;9;6;6;1000;24;0.00075;0.00075;0.00075
14;10;3;6;2500;16;0.00075;0.00075;0.00075
15;10;9;4;1000;16;0.0005;0.0005;0.0005
16;5;9;4;1000;16;0.0005;0.0005;0.0005
17;9;8;6;1000;24;0.00075;0.00075;0.00075
18;10;8;3;2000;15;0.000375;0.000375;0.000375
19;5;4;6;2000;21;0.00075;0.00075;0.00075
20;1;8;4;1000;16;0.0005;0.0005;0.0005
21;2;10;6;1000;24;0.00075;0.00075;0.00075
22;5;10;6;1000;24;0.00075;0.00075;0.00075
23;3;10;3;5000;13;0.000375;0.000375;0.000375
24;8;4;3;2000;15;0.000375;0.000375;0.000375
25;8;1;3;2000;15;0.000375;0.000375;0.000375
26;1;7;3;2000;15;0.000375;0.000375;0.000375
27;3;1;3;500;22;0.000375;0.000375;0.000375
28;9;10;4;1000;16;0.0005;0.0005;0.0005
29;7;3;4;1000;16;0.0005;0.0005;0.0005
30;7;2;3;5000;13;0.000375;0.000375;0.000375
31;7;8;6;1000;24;0.00075;0.00075;0.00075
32;10;8;6;2000;21;0.00075;0.00075;0.00075
33;7;5;6;2500;16;0.00075;0.00075;0.00075
34;3;2;3;500;22;0.000375;0.000375;0.000375
35;7;8;6;1000;24;0.00075;0.00075;0.00075
36;1;5;4;1000;16;0.0005;0.0005;0.0005
37;10;8;4;1000;16;0.0005;0.0005;0.0005
38;1;9;3;5000;13;0.000375;0.000375;0.000375
39;2;1;3;2000;15;0.000375;0.000375;0.000375
40;9;10;6;1000;24;0.00075;0.00075;0.00075
41;8;4;6;2500;16;0.00075;0.00075;0.00075
42;8;6;3;5000;13;0.000375;0.000375;0.000375
43;7;5;6;2000;21;0.00075;0.00075;0.00075
44;3;9;3;500;22;0.000375;0.000375;0.000375
45;2;5;6;2000;21;0.00075;0.00075;0.00075
46;5;1;3;500;22;0.000375;0.000375;0.000375
47;5;3;6;2000;21;0.00075;0.00075;0.00075
48;9;5;3;500;22;0.000375;0.000375;0.000375
49;9;7;3;500;22;0.000375;0.000375;0.000375
50;1;8;4;1000;16;0.0005;0.0005;0.0005
