index;origin;destination;slots;max_length;osnr_limit;pchC;pchL;pchS
1;1;4;3;2000;15;0.000375;0.000375;0.000375
2;1;9;6;2500;16;0.00075;0.00075;0.00075
3;1;8;3;2000;15;0.000375;0.000375;0.000375
4;1;2;3;5000;13;0.000375;0.000375;0.000375
5;1;5;6;2000;21;0.00075;0.00075;0.00075
6;1;7;3;500;22;0.000375;0.000375;0.000375
7;1;10;6;1000;24;0.00075;0.00075;0.00075
8;1;3;3;500;22;0.000375;0.000375;0.000375
9;2;1;3;500;22;0.000375;0.000375;0.000375
10;2;7;4;1000;16;0.0005;0.0005;0.0005
11;2;3;3;500;22;0.000375;0.000375;0.000375
12;2;9;4;1000;16;0.0005;0.0005;0.0005
13;2;10;4;1000;16;0.0005;0.0005;0.0005
14;2;8;6;2000;21;0.00075;0.00075;0.00075
15;2;5;3;5000;13;0.000375;0.000375;0.000375
16;2;6;3;500;22;0.000375;0.000375;0.000375
17;3;4;6;1000;24;0.00075;0.00075;0.00075
18;3;1;6;1000;24;0.00075;0.00075;0.00075
19;3;2;6;1000;24;0.00075;0.00075;0.00075
20;3;7;4;1000;16;0.0005;0.0005;0.0005
21;3;10;6;1000;24;0.00075;0.00075;0.00075
22;3;5;6;2000;21;0.00075;0.00075;0.00075
23;3;6;6;1000;24;0.00075;0.00075;0.00075
24;3;8;6;2500;16;0.00075;0.00075;0.00075
25;4;5;6;2000;21;0.00075;0.00075;0.00075
26;4;9;3;5000;13;0.000375;0.000375;0.000375
27;4;3;6;2500;16;0.00075;0.00075;0.00075
28;4;1;6;2000;21;0.00075;0.00075;0.00075
29;4;8;6;1000;24;0.00075;0.00075;0.00075
30;4;7;6;2500;16;0.00075;0.00075;0.00075
31;4;2;6;2000;21;0.00075;0.00075;0.00075
32;4;6;3;2000;15;0.000375;0.000375;0.000375
33;5;2;6;2500;16;0.00075;0.00075;0.00075
34;5;1;3;2000;15;0.000375;0.000375;0.000375
35;5;9;3;2000;15;0.000375;0.000375;0.000375
36;5;3;3;500;22;0.000375;0.000375;0.000375
37;5;4;4;1000;16;0.0005;0.0005;0.0005
38;5;6;6;2500;16;0.00075;0.00075;0.00075
39;5;10;3;2000;15;0.000375;0.000375;0.000375
40;5;8;6;2500;16;0.00075;0.00075;0.00075
41;6;10;6;2000;21;0.00075;0.00075;0.00075
42;6;1;3;5000;13;0.000375;0.000375;0.000375
43;6;5;3;500;22;0.000375;0.000375;0.000375
44;6;3;6;1000;24;0.00075;0.00075;0.00075
45;6;8;4;1000;16;0.0005;0.0005;0.0005
46;6;9;3;5000;13;0.000375;0.000375;0.000375
47;6;7;6;2500;16;0.00075;0.00075;0.00075
48;6;4;3;2000;15;0.000375;0.000375;0.000375
49;7;9;6;1000;24;0.00075;0.00075;0.00075
50;7;5;3;500;22;0.000375;0.000375;0.000375
51;7;3;3;5000;13;0.000375;0.000375;0.000375
52;7;8;3;2000;15;0.000375;0.000375;0.000375
53;7;2;3;5000;13;0.000375;0.000375;0.000375
54;7;1;6;1000;24;0.00075;0.00075;0.00075
55;7;4;4;1000;16;0.0005;0.0005;0.0005
56;7;10;6;2500;16;0.00075;0.00075;0.00075
57;8;10;3;5000;13;0.000375;0.000375;0.000375
58;8;2;3;5000;13;0.000375;0.000375;0.000375
59;8;9;3;5000;13;0.000375;0.000375;0.000375
60;8;4;6;2500;16;0.00075;0.00075;0.00075
61;8;1;6;2500;16;0.00075;0.00075;0.00075
62;8;3;3;5000;13;0.000375;0.000375;0.000375
63;8;6;4;1000;16;0.0005;0.0005;0.0005
64;8;7;3;2000;15;0.000375;0.000375;0.000375
65;9;8;4;1000;16;0.0005;0.0005;0.0005
66;9;4;3;5000;13;0.000375;0.000375;0.000375
67;9;7;3;5000;13;0.000375;0.000375;0.000375
68;9;1;6;2000;21;0.00075;0.00075;0.00075
69;9;2;3;2000;15;0.000375;0.000375;0.000375
70;9;5;6;2000;21;0.00075;0.00075;0.00075
71;9;3;3;500;22;0.000375;0.000375;0.000375
72;9;6;3;2000;15;0.000375;0.000375;0.000375
73;10;7;6;1000;24;0.00075;0.00075;0.00075
74;10;3;3;2000;15;0.000375;0.000375;0.000375
75;10;5;3;5000;13;0.000375;0.000375;0.000375
76;10;1;3;500;22;0.000375;0.000375;0.000375
77;10;6;4;1000;16;0.0005;0.0005;0.0005
78;10;9;4;1000;16;0.0005;0.0005;0.0005
79;10;2;3;500;22;0.000375;0.000375;0.000375
80;10;8;3;500;22;0.000375;0.000375;0.000375
