index;origin;destination;slots;max_length;osnr_limit;pchC;pchL;pchS
1;8;17;6;2000;21;0.00075;0.00075;0.00075
2;11;2;3;5000;13;0.000375;0.000375;0.000375
3;3;9;3;5000;13;0.000375;0.000375;0.000375
4;10;5;6;2000;21;0.00075;0.00075;0.00075
5;8;14;6;2500;16;0.00075;0.00075;0.00075
6;8;18;3;5000;13;0.000375;0.000375;0.000375
7;2;15;6;2000;21;0.00075;0.00075;0.00075
8;8;13;3;5000;13;0.000375;0.000375;0.000375
9;15;18;4;1000;16;0.0005;0.0005;0.0005
10;13;16;3;5000;13;0.000375;0.000375;0.000375
11;4;10;6;1000;24;0.00075;0.00075;0.00075
12;13;18;6;2500;16;0.00075;0.00075;0.00075
13;6;7;3;5000;13;0.000375;0.000375;0.000375
14;1;3;4;1000;16;0.0005;0.0005;0.0005
15;9;10;3;500;22;0.000375;0.000375;0.000375
16;14;2;3;5000;13;0.000375;0.000375;0.000375
17;8;14;6;2000;21;0.00075;0.00075;0.00075
18;17;1;6;1000;24;0.00075;0.00075;0.00075
19;18;9;6;2500;16;0.00075;0.00075;0.00075
20;2;11;6;2000;21;0.00075;0.00075;0.00075
21;14;12;3;5000;13;0.000375;0.000375;0.000375
22;13;12;3;5000;13;0.000375;0.000375;0.000375
23;14;8;6;2500;16;0.00075;0.00075;0.00075
24;18;15;3;5000;13;0.000375;0.000375;0.000375
25;9;18;3;5000;13;0.000375;0.000375;0.000375
26;18;12;3;5000;13;0.000375;0.000375;0.000375
27;3;8;3;2000;15;0.000375;0.000375;0.000375
28;18;8;3;5000;13;0.000375;0.000375;0.000375
29;8;13;3;2000;15;0.000375;0.000375;0.000375
30;18;17;6;1000;24;0.00075;0.00075;0.00075
31;5;3;4;1000;16;0.0005;0.0005;0.0005
32;12;17;6;2500;16;0.00075;0.00075;0.00075
33;18;17;3;2000;15;0.000375;0.000375;0.000375
34;12;15;6;2000;21;0.00075;0.00075;0.00075
35;6;9;6;2500;16;0.00075;0.00075;0.00075
36;2;14;3;5000;13;0.000375;0.000375;0.000375
37;2;11;6;2500;16;0.00075;0.00075;0.00075
38;10;15;3;2000;15;0.000375;0.000375;0.000375
39;2;3;3;2000;15;0.000375;0.000375;0.000375
40;11;8;3;2000;15;0.000375;0.000375;0.000375
41;5;3;3;2000;15;0.000375;0.000375;0.000375
42;10;14;6;2500;16;0.00075;0.00075;0.00075
43;11;13;3;5000;13;0.000375;0.000375;0.000375
44;10;12;3;5000;13;0.000375;0.000375;0.000375
45;15;2;6;2000;21;0.00075;0.00075;0.00075
46;11;15;3;5000;13;0.000375;0.000375;0.000375
47;7;10;6;2500;16;0.00075;0.00075;0.00075
48;14;2;3;5000;13;0.000375;0.000375;0.000375
49;13;6;3;5000;13;0.000375;0.000375;0.000375
50;6;15;6;2500;16;0.00075;0.00075;0.00075
51;18;17;6;2500;16;0.00075;0.00075;0.00075
52;4;10;3;2000;15;0.000375;0.000375;0.000375
53;17;8;6;2500;16;0.00075;0.00075;0.00075
54;8;12;3;5000;13;0.000375;0.000375;0.000375
55;9;3;3;5000;13;0.000375;0.000375;0.000375
56;9;3;6;2000;21;0.00075;0.00075;0.00075
57;5;7;6;2000;21;0.00075;0.00075;0.00075
58;8;6;3;2000;15;0.000375;0.000375;0.000375
