index;origin;destination;slots;max_length;osnr_limit;pchC;pchL;pchS
1;2;9;3;5000;13;0.000375;0.000375;0.000375
2;2;17;6;2000;21;0.00075;0.00075;0.00075
3;3;14;6;2500;16;0.00075;0.00075;0.00075
4;7;10;3;2000;15;0.000375;0.000375;0.000375
5;11;16;6;2000;21;0.00075;0.00075;0.00075
6;3;5;3;500;22;0.000375;0.000375;0.000375
7;13;6;3;5000;13;0.000375;0.000375;0.000375
8;13;17;3;2000;15;0.000375;0.000375;0.000375
9;4;2;6;1000;24;0.00075;0.00075;0.00075
10;12;13;3;2000;15;0.000375;0.000375;0.000375
11;16;6;6;2000;21;0.00075;0.00075;0.00075
12;11;15;6;2500;16;0.00075;0.00075;0.00075
13;13;15;6;2000;21;0.00075;0.00075;0.00075
14;9;13;6;2500;16;0.00075;0.00075;0.00075
15;12;4;6;2500;16;0.00075;0.00075;0.00075
16;2;4;3;500;22;0.000375;0.000375;0.000375
17;8;10;3;5000;13;0.000375;0.000375;0.000375
18;12;18;3;5000;13;0.000375;0.000375;0.000375
19;9;3;3;5000;13;0.000375;0.000375;0.000375
20;12;17;6;2500;16;0.00075;0.00075;0.00075
21;5;10;6;2000;21;0.00075;0.00075;0.00075
22;12;15;3;5000;13;0.000375;0.000375;0.000375
23;10;2;6;1000;24;0.00075;0.00075;0.00075
24;18;3;3;5000;13;0.000375;0.000375;0.000375
25;12;17;6;2500;16;0.00075;0.00075;0.00075
26;1;7;6;2500;16;0.00075;0.00075;0.00075
27;1;12;3;5000;13;0.000375;0.000375;0.000375
28;13;3;3;5000;13;0.000375;0.000375;0.000375
29;2;4;6;2000;21;0.00075;0.00075;0.00075
30;11;3;6;2000;21;0.00075;0.00075;0.00075
