index;origin;destination;slotsC;max_cdC;osnr_limitC;slotsL;max_cdL;osnr_limitL;Gbits/s;pchC;pchL;pchS
1;8;17;4;20000;16;4;20000;16;200;0.0005;0.0005;0.0005
2;9;17;4;20000;16;4;20000;16;200;0.0005;0.0005;0.0005
3;11;3;6;20000;24;6;20000;24;400;0.00075;0.00075;0.00075
4;5;15;3;40000;15;3;100000;13;100;0.000375;0.000375;0.000375
5;9;8;6;40000;21;6;40000;21;300;0.00075;0.00075;0.00075
6;2;1;3;40000;15;3;100000;13;100;0.000375;0.000375;0.000375
7;15;18;4;20000;16;4;20000;16;200;0.0005;0.0005;0.0005
8;3;10;6;40000;21;6;40000;21;300;0.00075;0.00075;0.00075
9;2;8;3;40000;15;3;100000;13;100;0.000375;0.000375;0.000375
10;11;15;6;50000;16;6;50000;16;200;0.00075;0.00075;0.00075
11;16;6;6;50000;16;6;50000;16;200;0.00075;0.00075;0.00075
12;9;2;6;20000;24;6;20000;24;400;0.00075;0.00075;0.00075
13;15;17;3;40000;15;3;100000;13;100;0.000375;0.000375;0.000375
14;11;16;3;40000;15;3;100000;13;100;0.000375;0.000375;0.000375
15;17;4;6;40000;21;0;0;0;300;0.00075;0.00075;0.00075
16;2;6;6;40000;21;0;0;0;300;0.00075;0.00075;0.00075
17;15;4;6;20000;24;0;0;0;400;0.00075;0.00075;0.00075
18;1;15;4;20000;16;4;20000;16;200;0.0005;0.0005;0.0005
19;18;9;6;40000;21;6;40000;21;300;0.00075;0.00075;0.00075
20;12;10;6;50000;16;6;50000;16;200;0.00075;0.00075;0.00075
21;18;17;4;20000;16;4;20000;16;200;0.0005;0.0005;0.0005
22;5;13;6;50000;16;6;50000;16;200;0.00075;0.00075;0.00075
23;10;13;6;50000;16;6;50000;16;200;0.00075;0.00075;0.00075
24;10;5;4;20000;16;4;20000;16;200;0.0005;0.0005;0.0005
25;12;16;6;50000;16;6;50000;16;200;0.00075;0.00075;0.00075
26;1;8;4;20000;16;4;20000;16;200;0.0005;0.0005;0.0005
27;10;11;6;50000;16;6;50000;16;200;0.00075;0.00075;0.00075
28;1;11;6;40000;21;0;0;0;300;0.00075;0.00075;0.00075
29;9;15;6;40000;21;6;40000;21;300;0.00075;0.00075;0.00075
30;5;10;6;40000;21;6;40000;21;300;0.00075;0.00075;0.00075
31;18;9;4;20000;16;4;20000;16;200;0.0005;0.0005;0.0005
32;1;12;6;50000;16;0;0;0;200;0.00075;0.00075;0.00075
33;2;11;6;50000;16;6;50000;16;200;0.00075;0.00075;0.00075
34;15;4;4;20000;16;4;20000;16;200;0.0005;0.0005;0.0005
35;18;5;6;20000;24;6;20000;24;400;0.00075;0.00075;0.00075
36;9;13;3;40000;15;3;100000;13;100;0.000375;0.000375;0.000375
37;10;17;3;40000;15;3;100000;13;100;0.000375;0.000375;0.000375
38;11;2;3;40000;15;3;100000;13;100;0.000375;0.000375;0.000375
39;7;8;3;40000;15;3;100000;13;100;0.000375;0.000375;0.000375
40;5;3;3;40000;15;3;100000;13;100;0.000375;0.000375;0.000375
