index;origin;destination;slots;max_length;osnr_limit;pchC;pchL;pchS
1;5;4;6;2500;16;0.00075;0.00075;0.00075
2;1;8;6;2500;16;0.00075;0.00075;0.00075
3;4;14;3;5000;13;0.000375;0.000375;0.000375
4;15;8;6;1000;24;0.00075;0.00075;0.00075
5;16;18;3;5000;13;0.000375;0.000375;0.000375
6;6;12;3;5000;13;0.000375;0.000375;0.000375
7;10;7;4;1000;16;0.0005;0.0005;0.0005
8;2;17;6;2500;16;0.00075;0.00075;0.00075
9;9;5;6;1000;24;0.00075;0.00075;0.00075
10;6;8;3;5000;13;0.000375;0.000375;0.000375
11;12;8;3;5000;13;0.000375;0.000375;0.000375
12;15;4;3;5000;13;0.000375;0.000375;0.000375
13;9;10;6;2000;21;0.00075;0.00075;0.00075
14;16;12;3;5000;13;0.000375;0.000375;0.000375
15;2;15;6;2000;21;0.00075;0.00075;0.00075
16;5;14;6;2500;16;0.00075;0.00075;0.00075
17;13;3;3;5000;13;0.000375;0.000375;0.000375
18;17;12;6;2500;16;0.00075;0.00075;0.00075
19;1;7;3;2000;15;0.000375;0.000375;0.000375
20;1;7;3;2000;15;0.000375;0.000375;0.000375
21;2;7;3;2000;15;0.000375;0.000375;0.000375
22;8;16;6;2000;21;0.00075;0.00075;0.00075
23;9;3;3;2000;15;0.000375;0.000375;0.000375
24;5;16;3;2000;15;0.000375;0.000375;0.000375
25;5;3;6;1000;24;0.00075;0.00075;0.00075
26;5;9;3;2000;15;0.000375;0.000375;0.000375
27;12;9;6;2000;21;0.00075;0.00075;0.00075
28;10;6;6;2000;21;0.00075;0.00075;0.00075
29;5;1;6;2000;21;0.00075;0.00075;0.00075
30;18;17;6;2000;21;0.00075;0.00075;0.00075
31;12;11;3;5000;13;0.000375;0.000375;0.000375
32;7;13;3;2000;15;0.000375;0.000375;0.000375
33;13;10;3;5000;13;0.000375;0.000375;0.000375
34;4;18;6;2500;16;0.00075;0.00075;0.00075
35;9;14;6;2500;16;0.00075;0.00075;0.00075
36;16;6;6;2000;21;0.00075;0.00075;0.00075
37;2;11;6;2000;21;0.00075;0.00075;0.00075
38;14;5;3;2000;15;0.000375;0.000375;0.000375
39;16;3;3;5000;13;0.000375;0.000375;0.000375
40;2;11;6;2500;16;0.00075;0.00075;0.00075
41;6;16;3;2000;15;0.000375;0.000375;0.000375
42;2;7;3;2000;15;0.000375;0.000375;0.000375
43;13;7;6;2500;16;0.00075;0.00075;0.00075
44;17;12;6;2500;16;0.00075;0.00075;0.00075
45;6;3;3;2000;15;0.000375;0.000375;0.000375
46;13;16;6;2000;21;0.00075;0.00075;0.00075
47;8;10;6;2000;21;0.00075;0.00075;0.00075
48;5;11;3;5000;13;0.000375;0.000375;0.000375
49;13;3;6;2500;16;0.00075;0.00075;0.00075
50;17;5;4;1000;16;0.0005;0.0005;0.0005
51;16;4;6;1000;24;0.00075;0.00075;0.00075
52;1;10;3;2000;15;0.000375;0.000375;0.000375
53;15;2;6;2000;21;0.00075;0.00075;0.00075
54;7;13;3;5000;13;0.000375;0.000375;0.000375
55;10;1;6;2000;21;0.00075;0.00075;0.00075
56;2;6;3;2000;15;0.000375;0.000375;0.000375
57;4;14;3;5000;13;0.000375;0.000375;0.000375
58;8;13;6;2000;21;0.00075;0.00075;0.00075
59;14;4;6;2500;16;0.00075;0.00075;0.00075
60;6;16;6;2000;21;0.00075;0.00075;0.00075
