index;origin;destination;slots;max_length;osnr_limit;pchC;pchL;pchS
1;8;16;6;2000;21;0.00075;0.00075;0.00075
2;11;9;3;500;22;0.000375;0.000375;0.000375
3;17;12;4;1000;16;0.0005;0.0005;0.0005
4;9;14;3;2000;15;0.000375;0.000375;0.000375
5;5;7;6;1000;24;0.00075;0.00075;0.00075
6;13;9;4;1000;16;0.0005;0.0005;0.0005
7;13;1;3;5000;13;0.000375;0.000375;0.000375
8;8;17;3;2000;15;0.000375;0.000375;0.000375
9;2;9;3;2000;15;0.000375;0.000375;0.000375
10;12;9;4;1000;16;0.0005;0.0005;0.0005
11;15;12;4;1000;16;0.0005;0.0005;0.0005
12;7;15;6;2500;16;0.00075;0.00075;0.00075
13;5;15;4;1000;16;0.0005;0.0005;0.0005
14;5;15;3;5000;13;0.000375;0.000375;0.000375
15;5;13;6;1000;24;0.00075;0.00075;0.00075
16;16;1;3;5000;13;0.000375;0.000375;0.000375
17;6;16;3;2000;15;0.000375;0.000375;0.000375
18;16;8;6;2500;16;0.00075;0.00075;0.00075
19;9;7;3;2000;15;0.000375;0.000375;0.000375
20;1;13;3;5000;13;0.000375;0.000375;0.000375
21;14;4;6;2000;21;0.00075;0.00075;0.00075
22;14;5;6;2500;16;0.00075;0.00075;0.00075
23;16;11;3;2000;15;0.000375;0.000375;0.000375
24;12;13;3;2000;15;0.000375;0.000375;0.000375
25;4;11;6;1000;24;0.00075;0.00075;0.00075
26;12;2;4;1000;16;0.0005;0.0005;0.0005
27;16;1;3;2000;15;0.000375;0.000375;0.000375
28;6;11;3;5000;13;0.000375;0.000375;0.000375
29;17;3;3;2000;15;0.000375;0.000375;0.000375
30;12;15;6;2500;16;0.00075;0.00075;0.00075
31;12;10;6;1000;24;0.00075;0.00075;0.00075
32;16;11;4;1000;16;0.0005;0.0005;0.0005
33;9;5;3;2000;15;0.000375;0.000375;0.000375
34;3;7;3;5000;13;0.000375;0.000375;0.000375
35;9;6;6;2000;21;0.00075;0.00075;0.00075
36;13;14;3;2000;15;0.000375;0.000375;0.000375
37;17;13;4;1000;16;0.0005;0.0005;0.0005
38;15;9;3;5000;13;0.000375;0.000375;0.000375
39;1;7;6;1000;24;0.00075;0.00075;0.00075
40;5;11;3;500;22;0.000375;0.000375;0.000375
