index;origin;destination;slots;max_length;osnr_limit;pchC;pchL;pchS
1;15;6;6;2000;21;0.00075;0.00075;0.00075
2;16;1;3;2000;15;0.000375;0.000375;0.000375
3;12;1;6;2000;21;0.00075;0.00075;0.00075
4;8;14;6;1000;24;0.00075;0.00075;0.00075
5;9;11;6;1000;24;0.00075;0.00075;0.00075
6;8;12;3;2000;15;0.000375;0.000375;0.000375
7;2;15;6;2000;21;0.00075;0.00075;0.00075
8;15;16;6;1000;24;0.00075;0.00075;0.00075
9;4;14;6;2500;16;0.00075;0.00075;0.00075
10;6;5;6;2500;16;0.00075;0.00075;0.00075
11;1;7;6;2500;16;0.00075;0.00075;0.00075
12;9;1;3;500;22;0.000375;0.000375;0.000375
13;17;10;6;2000;21;0.00075;0.00075;0.00075
14;15;1;6;2500;16;0.00075;0.00075;0.00075
15;12;13;6;2500;16;0.00075;0.00075;0.00075
16;16;1;4;1000;16;0.0005;0.0005;0.0005
17;10;6;6;1000;24;0.00075;0.00075;0.00075
18;17;9;6;2500;16;0.00075;0.00075;0.00075
19;4;17;6;2000;21;0.00075;0.00075;0.00075
20;16;10;4;1000;16;0.0005;0.0005;0.0005
21;3;2;6;1000;24;0.00075;0.00075;0.00075
22;7;15;3;5000;13;0.000375;0.000375;0.000375
23;2;5;6;2500;16;0.00075;0.00075;0.00075
24;12;2;3;5000;13;0.000375;0.000375;0.000375
25;6;15;6;2500;16;0.00075;0.00075;0.00075
26;9;6;3;500;22;0.000375;0.000375;0.000375
27;1;2;3;5000;13;0.000375;0.000375;0.000375
28;17;10;6;2500;16;0.00075;0.00075;0.00075
29;9;8;4;1000;16;0.0005;0.0005;0.0005
30;17;12;3;5000;13;0.000375;0.000375;0.000375
31;2;7;6;2000;21;0.00075;0.00075;0.00075
32;13;3;3;2000;15;0.000375;0.000375;0.000375
33;8;15;3;5000;13;0.000375;0.000375;0.000375
34;15;8;6;2000;21;0.00075;0.00075;0.00075
35;8;1;6;2000;21;0.00075;0.00075;0.00075
36;4;12;4;1000;16;0.0005;0.0005;0.0005
37;14;7;6;2500;16;0.00075;0.00075;0.00075
38;2;1;6;1000;24;0.00075;0.00075;0.00075
39;9;8;3;500;22;0.000375;0.000375;0.000375
40;14;17;6;2500;16;0.00075;0.00075;0.00075
41;1;16;6;2500;16;0.00075;0.00075;0.00075
42;15;4;6;2500;16;0.00075;0.00075;0.00075
43;5;12;3;2000;15;0.000375;0.000375;0.000375
44;15;3;6;2000;21;0.00075;0.00075;0.00075
45;1;12;4;1000;16;0.0005;0.0005;0.0005
46;4;5;3;5000;13;0.000375;0.000375;0.000375
47;17;7;3;2000;15;0.000375;0.000375;0.000375
48;5;4;3;2000;15;0.000375;0.000375;0.000375
49;15;12;6;1000;24;0.00075;0.00075;0.00075
50;8;10;6;1000;24;0.00075;0.00075;0.00075
51;11;16;4;1000;16;0.0005;0.0005;0.0005
52;2;10;6;2500;16;0.00075;0.00075;0.00075
53;3;16;3;2000;15;0.000375;0.000375;0.000375
54;15;11;3;2000;15;0.000375;0.000375;0.000375
55;8;1;4;1000;16;0.0005;0.0005;0.0005
56;2;15;6;2500;16;0.00075;0.00075;0.00075
57;12;5;6;2500;16;0.00075;0.00075;0.00075
58;13;15;6;2500;16;0.00075;0.00075;0.00075
59;9;7;6;2500;16;0.00075;0.00075;0.00075
60;12;1;4;1000;16;0.0005;0.0005;0.0005
61;7;13;6;1000;24;0.00075;0.00075;0.00075
62;8;14;4;1000;16;0.0005;0.0005;0.0005
63;10;5;3;5000;13;0.000375;0.000375;0.000375
64;13;2;4;1000;16;0.0005;0.0005;0.0005
65;2;4;6;2500;16;0.00075;0.00075;0.00075
66;13;11;3;500;22;0.000375;0.000375;0.000375
67;12;6;6;2500;16;0.00075;0.00075;0.00075
68;12;13;6;1000;24;0.00075;0.00075;0.00075
69;9;11;6;1000;24;0.00075;0.00075;0.00075
70;10;2;4;1000;16;0.0005;0.0005;0.0005
71;12;3;3;2000;15;0.000375;0.000375;0.000375
72;10;6;6;2000;21;0.00075;0.00075;0.00075
73;8;10;3;2000;15;0.000375;0.000375;0.000375
74;9;11;3;500;22;0.000375;0.000375;0.000375
75;4;16;4;1000;16;0.0005;0.0005;0.0005
76;13;10;3;5000;13;0.000375;0.000375;0.000375
77;15;16;4;1000;16;0.0005;0.0005;0.0005
78;12;1;3;2000;15;0.000375;0.000375;0.000375
79;1;6;6;2000;21;0.00075;0.00075;0.00075
80;11;12;4;1000;16;0.0005;0.0005;0.0005
