index;origin;destination;slots;max_length;osnr_limit;pchC;pchL;pchS
1;2;8;3;2000;15;0.000375;0.000375;0.000375
2;6;2;3;2000;15;0.000375;0.000375;0.000375
3;4;1;3;5000;13;0.000375;0.000375;0.000375
4;3;1;6;1000;24;0.00075;0.00075;0.00075
5;2;8;3;5000;13;0.000375;0.000375;0.000375
6;5;2;3;5000;13;0.000375;0.000375;0.000375
7;9;5;6;2000;21;0.00075;0.00075;0.00075
8;4;7;6;2500;16;0.00075;0.00075;0.00075
9;3;4;3;2000;15;0.000375;0.000375;0.000375
10;1;6;6;2500;16;0.00075;0.00075;0.00075
11;9;6;6;2000;21;0.00075;0.00075;0.00075
12;4;7;6;2500;16;0.00075;0.00075;0.00075
13;9;2;3;5000;13;0.000375;0.000375;0.000375
14;9;2;3;5000;13;0.000375;0.000375;0.000375
15;9;6;6;1000;24;0.00075;0.00075;0.00075
16;6;4;6;2500;16;0.00075;0.00075;0.00075
17;8;1;6;2000;21;0.00075;0.00075;0.00075
18;2;9;3;5000;13;0.000375;0.000375;0.000375
19;8;2;6;2000;21;0.00075;0.00075;0.00075
20;3;7;3;5000;13;0.000375;0.000375;0.000375
21;2;8;6;2000;21;0.00075;0.00075;0.00075
22;2;7;6;2500;16;0.00075;0.00075;0.00075
23;4;6;3;5000;13;0.000375;0.000375;0.000375
24;3;1;6;2500;16;0.00075;0.00075;0.00075
25;4;7;3;5000;13;0.000375;0.000375;0.000375
26;1;5;3;5000;13;0.000375;0.000375;0.000375
27;8;4;4;1000;16;0.0005;0.0005;0.0005
28;1;8;6;2000;21;0.00075;0.00075;0.00075
29;2;1;6;1000;24;0.00075;0.00075;0.00075
30;5;3;3;2000;15;0.000375;0.000375;0.000375
31;1;7;3;5000;13;0.000375;0.000375;0.000375
32;8;7;6;1000;24;0.00075;0.00075;0.00075
33;6;1;3;2000;15;0.000375;0.000375;0.000375
34;5;1;3;5000;13;0.000375;0.000375;0.000375
35;1;8;3;2000;15;0.000375;0.000375;0.000375
36;8;4;4;1000;16;0.0005;0.0005;0.0005
37;7;6;6;2500;16;0.00075;0.00075;0.00075
38;6;1;6;2500;16;0.00075;0.00075;0.00075
39;2;6;6;2000;21;0.00075;0.00075;0.00075
40;8;3;3;2000;15;0.000375;0.000375;0.000375
41;6;8;4;1000;16;0.0005;0.0005;0.0005
42;6;8;4;1000;16;0.0005;0.0005;0.0005
43;5;9;6;2500;16;0.00075;0.00075;0.00075
44;4;6;3;500;22;0.000375;0.000375;0.000375
45;8;4;6;2000;21;0.00075;0.00075;0.00075
46;2;8;3;2000;15;0.000375;0.000375;0.000375
47;1;4;3;2000;15;0.000375;0.000375;0.000375
48;3;8;3;5000;13;0.000375;0.000375;0.000375
49;2;5;3;2000;15;0.000375;0.000375;0.000375
50;8;1;3;2000;15;0.000375;0.000375;0.000375
