index;origin;destination;slotsC;max_cdC;osnr_limitC;TranpCId;slotsL;max_cdL;osnr_limitL;TranspLId;Gbits/s;pchC;pchL;pchS
1;14;4;3;100000;13;2;3;100000;13;2;100;0.000375;0.000375;0.000375
2;4;13;3;100000;13;2;3;100000;13;2;100;0.000375;0.000375;0.000375
3;4;5;6;40000;21;6;6;40000;21;6;300;0.00075;0.00075;0.00075
4;12;10;6;50000;16;5;6;50000;16;5;200;0.00075;0.00075;0.00075
5;1;6;3;100000;13;2;3;100000;13;2;100;0.000375;0.000375;0.000375
6;14;3;3;100000;13;2;0;0;0;0;100;0.000375;0.000375;0.000375
7;5;9;6;50000;16;5;6;50000;16;5;200;0.00075;0.00075;0.00075
8;5;6;4;20000;16;3;6;50000;16;5;200;0.0005;0.0005;0.0005
9;8;4;6;50000;16;5;6;50000;16;5;200;0.00075;0.00075;0.00075
10;14;6;6;50000;16;5;6;50000;16;5;200;0.00075;0.00075;0.00075
11;6;7;3;40000;15;1;3;40000;15;1;100;0.000375;0.000375;0.000375
12;9;14;3;10000;22;4;3;10000;22;4;200;0.000375;0.000375;0.000375
13;11;3;3;100000;13;2;3;100000;13;2;100;0.000375;0.000375;0.000375
14;13;8;6;50000;16;5;6;50000;16;5;200;0.00075;0.00075;0.00075
15;13;3;3;100000;13;2;3;100000;13;2;100;0.000375;0.000375;0.000375
16;1;12;3;100000;13;2;3;100000;13;2;100;0.000375;0.000375;0.000375
17;5;10;6;50000;16;5;6;50000;16;5;200;0.00075;0.00075;0.00075
18;10;13;6;50000;16;5;6;50000;16;5;200;0.00075;0.00075;0.00075
19;5;6;4;20000;16;3;6;50000;16;5;200;0.0005;0.0005;0.0005
20;9;7;6;50000;16;5;6;50000;16;5;200;0.00075;0.00075;0.00075
