index;origin;destination;slotsC;max_cdC;osnr_limitC;slotsL;max_cdL;osnr_limitL;Gbits/s;pchC;pchL;pchS
1;6;12;3;100000;13;3;100000;13;100;0.000375;0.000375;0.000375
2;5;4;6;20000;24;0;0;0;400;0.00075;0.00075;0.00075
3;5;4;3;40000;15;3;100000;13;100;0.000375;0.000375;0.000375
4;8;13;6;50000;16;6;50000;16;200;0.00075;0.00075;0.00075
5;1;7;3;100000;13;3;100000;13;100;0.000375;0.000375;0.000375
6;7;2;3;100000;13;3;100000;13;100;0.000375;0.000375;0.000375
7;6;7;3;40000;15;3;100000;13;100;0.000375;0.000375;0.000375
8;2;11;3;100000;13;3;100000;13;100;0.000375;0.000375;0.000375
9;7;4;3;40000;15;3;100000;13;100;0.000375;0.000375;0.000375
10;3;12;3;100000;13;0;0;0;100;0.000375;0.000375;0.000375
11;3;13;3;100000;13;3;100000;13;100;0.000375;0.000375;0.000375
12;3;2;4;20000;16;4;20000;16;200;0.0005;0.0005;0.0005
13;5;2;6;40000;21;0;0;0;300;0.00075;0.00075;0.00075
14;8;7;6;20000;24;0;0;0;400;0.00075;0.00075;0.00075
15;2;9;3;100000;13;3;100000;13;100;0.000375;0.000375;0.000375
16;9;12;6;20000;24;6;20000;24;400;0.00075;0.00075;0.00075
17;1;8;3;100000;13;3;100000;13;100;0.000375;0.000375;0.000375
18;6;8;3;100000;13;3;100000;13;100;0.000375;0.000375;0.000375
19;11;10;3;100000;13;3;100000;13;100;0.000375;0.000375;0.000375
20;3;10;3;100000;13;3;100000;13;100;0.000375;0.000375;0.000375
21;12;3;3;100000;13;0;0;0;100;0.000375;0.000375;0.000375
22;11;13;3;40000;15;3;100000;13;100;0.000375;0.000375;0.000375
23;13;10;6;50000;16;6;50000;16;200;0.00075;0.00075;0.00075
24;14;7;6;50000;16;6;50000;16;200;0.00075;0.00075;0.00075
25;10;2;3;100000;13;3;100000;13;100;0.000375;0.000375;0.000375
26;1;7;3;100000;13;3;100000;13;100;0.000375;0.000375;0.000375
27;11;14;4;20000;16;4;20000;16;200;0.0005;0.0005;0.0005
28;13;8;6;40000;21;0;0;0;300;0.00075;0.00075;0.00075
29;3;7;3;100000;13;3;100000;13;100;0.000375;0.000375;0.000375
30;4;7;6;50000;16;6;50000;16;200;0.00075;0.00075;0.00075
31;6;12;3;100000;13;3;100000;13;100;0.000375;0.000375;0.000375
32;13;10;6;50000;16;6;50000;16;200;0.00075;0.00075;0.00075
33;6;14;3;100000;13;3;100000;13;100;0.000375;0.000375;0.000375
34;13;7;6;50000;16;6;50000;16;200;0.00075;0.00075;0.00075
35;3;9;3;100000;13;3;100000;13;100;0.000375;0.000375;0.000375
36;14;1;3;100000;13;3;100000;13;100;0.000375;0.000375;0.000375
37;3;12;3;100000;13;0;0;0;100;0.000375;0.000375;0.000375
38;4;9;3;100000;13;3;100000;13;100;0.000375;0.000375;0.000375
39;10;8;6;40000;21;0;0;0;300;0.00075;0.00075;0.00075
40;13;4;3;100000;13;3;100000;13;100;0.000375;0.000375;0.000375
41;9;3;3;100000;13;3;100000;13;100;0.000375;0.000375;0.000375
42;1;4;6;50000;16;6;50000;16;200;0.00075;0.00075;0.00075
43;14;5;3;100000;13;3;100000;13;100;0.000375;0.000375;0.000375
44;10;11;3;100000;13;3;100000;13;100;0.000375;0.000375;0.000375
45;13;1;3;100000;13;0;0;0;100;0.000375;0.000375;0.000375
46;12;2;3;100000;13;0;0;0;100;0.000375;0.000375;0.000375
47;11;5;3;100000;13;3;100000;13;100;0.000375;0.000375;0.000375
48;14;4;3;100000;13;3;100000;13;100;0.000375;0.000375;0.000375
49;2;4;6;40000;21;6;40000;21;300;0.00075;0.00075;0.00075
50;11;4;6;50000;16;0;0;0;200;0.00075;0.00075;0.00075
