index;origin;destination;slots;max_length;osnr_limit;pchC;pchL;pchS
1;1;11;3;5000;13;0.000375;0.000375;0.000375
2;8;10;6;2000;21;0.00075;0.00075;0.00075
3;4;13;3;5000;13;0.000375;0.000375;0.000375
4;11;9;6;2000;21;0.00075;0.00075;0.00075
5;5;14;3;5000;13;0.000375;0.000375;0.000375
6;9;8;6;2500;16;0.00075;0.00075;0.00075
7;8;9;6;2500;16;0.00075;0.00075;0.00075
8;4;9;3;5000;13;0.000375;0.000375;0.000375
9;14;1;3;5000;13;0.000375;0.000375;0.000375
10;9;6;3;5000;13;0.000375;0.000375;0.000375
11;10;5;3;5000;13;0.000375;0.000375;0.000375
12;13;4;3;5000;13;0.000375;0.000375;0.000375
13;6;8;3;5000;13;0.000375;0.000375;0.000375
14;1;6;3;5000;13;0.000375;0.000375;0.000375
15;12;2;3;5000;13;0.000375;0.000375;0.000375
16;2;13;3;5000;13;0.000375;0.000375;0.000375
17;13;2;3;5000;13;0.000375;0.000375;0.000375
18;11;5;3;5000;13;0.000375;0.000375;0.000375
19;8;13;6;2500;16;0.00075;0.00075;0.00075
20;4;13;3;5000;13;0.000375;0.000375;0.000375
21;6;8;3;5000;13;0.000375;0.000375;0.000375
22;4;12;3;5000;13;0.000375;0.000375;0.000375
23;6;5;3;2000;15;0.000375;0.000375;0.000375
24;11;7;3;5000;13;0.000375;0.000375;0.000375
25;7;11;3;5000;13;0.000375;0.000375;0.000375
26;5;10;6;2500;16;0.00075;0.00075;0.00075
27;10;6;3;2000;15;0.000375;0.000375;0.000375
28;1;5;3;5000;13;0.000375;0.000375;0.000375
29;13;10;6;2500;16;0.00075;0.00075;0.00075
30;11;3;3;5000;13;0.000375;0.000375;0.000375
31;13;2;3;5000;13;0.000375;0.000375;0.000375
32;4;1;6;2500;16;0.00075;0.00075;0.00075
33;7;10;6;2500;16;0.00075;0.00075;0.00075
34;6;12;3;5000;13;0.000375;0.000375;0.000375
35;10;8;6;2500;16;0.00075;0.00075;0.00075
36;8;4;3;5000;13;0.000375;0.000375;0.000375
37;4;7;6;2000;21;0.00075;0.00075;0.00075
38;7;8;6;2000;21;0.00075;0.00075;0.00075
39;10;13;6;2500;16;0.00075;0.00075;0.00075
40;7;5;3;5000;13;0.000375;0.000375;0.000375
41;6;14;6;2500;16;0.00075;0.00075;0.00075
42;7;8;6;2500;16;0.00075;0.00075;0.00075
43;3;5;3;5000;13;0.000375;0.000375;0.000375
44;6;3;6;2500;16;0.00075;0.00075;0.00075
45;4;6;6;2500;16;0.00075;0.00075;0.00075
46;6;5;3;2000;15;0.000375;0.000375;0.000375
47;14;13;6;2500;16;0.00075;0.00075;0.00075
48;14;9;6;1000;24;0.00075;0.00075;0.00075
49;7;11;3;5000;13;0.000375;0.000375;0.000375
50;2;9;3;5000;13;0.000375;0.000375;0.000375
51;5;13;3;5000;13;0.000375;0.000375;0.000375
52;12;6;3;5000;13;0.000375;0.000375;0.000375
53;6;4;3;2000;15;0.000375;0.000375;0.000375
54;6;14;6;2500;16;0.00075;0.00075;0.00075
55;10;11;6;2500;16;0.00075;0.00075;0.00075
56;4;7;3;2000;15;0.000375;0.000375;0.000375
57;12;4;3;5000;13;0.000375;0.000375;0.000375
58;12;6;6;2500;16;0.00075;0.00075;0.00075
59;9;2;3;5000;13;0.000375;0.000375;0.000375
60;9;1;3;5000;13;0.000375;0.000375;0.000375
