index;origin;destination;slots;max_length;osnr_limit;pchC;pchL;pchS
1;3;26;6;2000;21;0.00075;0.00075;0.00075
2;29;28;6;2000;21;0.00075;0.00075;0.00075
3;19;23;3;5000;13;0.000375;0.000375;0.000375
4;27;12;6;2500;16;0.00075;0.00075;0.00075
5;4;1;4;1000;16;0.0005;0.0005;0.0005
6;3;1;3;500;22;0.000375;0.000375;0.000375
7;24;5;3;5000;13;0.000375;0.000375;0.000375
8;25;12;4;1000;16;0.0005;0.0005;0.0005
9;13;21;6;2000;21;0.00075;0.00075;0.00075
10;16;1;3;5000;13;0.000375;0.000375;0.000375
11;4;21;4;1000;16;0.0005;0.0005;0.0005
12;7;5;4;1000;16;0.0005;0.0005;0.0005
13;20;14;6;2000;21;0.00075;0.00075;0.00075
14;25;6;3;2000;15;0.000375;0.000375;0.000375
15;9;23;4;1000;16;0.0005;0.0005;0.0005
16;19;5;4;1000;16;0.0005;0.0005;0.0005
17;14;29;6;2000;21;0.00075;0.00075;0.00075
18;24;15;3;2000;15;0.000375;0.000375;0.000375
19;25;13;6;2500;16;0.00075;0.00075;0.00075
20;22;25;6;2500;16;0.00075;0.00075;0.00075
21;19;18;4;1000;16;0.0005;0.0005;0.0005
22;29;13;6;2000;21;0.00075;0.00075;0.00075
23;24;5;3;2000;15;0.000375;0.000375;0.000375
24;6;23;6;2500;16;0.00075;0.00075;0.00075
25;22;17;4;1000;16;0.0005;0.0005;0.0005
26;19;12;6;2000;21;0.00075;0.00075;0.00075
27;10;3;6;1000;24;0.00075;0.00075;0.00075
28;22;16;4;1000;16;0.0005;0.0005;0.0005
29;27;25;6;1000;24;0.00075;0.00075;0.00075
30;24;14;3;5000;13;0.000375;0.000375;0.000375
31;5;11;4;1000;16;0.0005;0.0005;0.0005
32;30;20;3;5000;13;0.000375;0.000375;0.000375
33;8;11;3;5000;13;0.000375;0.000375;0.000375
34;26;19;4;1000;16;0.0005;0.0005;0.0005
35;14;1;6;2000;21;0.00075;0.00075;0.00075
36;27;2;3;5000;13;0.000375;0.000375;0.000375
37;30;6;6;2500;16;0.00075;0.00075;0.00075
38;3;19;6;2000;21;0.00075;0.00075;0.00075
39;9;17;4;1000;16;0.0005;0.0005;0.0005
40;16;8;3;2000;15;0.000375;0.000375;0.000375
41;12;28;4;1000;16;0.0005;0.0005;0.0005
42;20;1;6;2500;16;0.00075;0.00075;0.00075
43;3;16;3;2000;15;0.000375;0.000375;0.000375
44;26;23;6;2000;21;0.00075;0.00075;0.00075
45;2;30;3;2000;15;0.000375;0.000375;0.000375
46;22;13;6;2000;21;0.00075;0.00075;0.00075
47;16;5;6;2000;21;0.00075;0.00075;0.00075
48;7;2;6;2000;21;0.00075;0.00075;0.00075
49;10;30;3;5000;13;0.000375;0.000375;0.000375
50;29;10;6;2000;21;0.00075;0.00075;0.00075
