index;origin;destination;slotsC;max_cdC;osnr_limitC;slotsL;max_cdL;osnr_limitL;Gbits/s;pchC;pchL;pchS
1;16;10;3;10000;22;3;10000;22;200;0.000375;0.000375;0.000375
2;10;14;6;50000;16;0;0;0;200;0.00075;0.00075;0.00075
3;8;4;4;20000;16;4;20000;16;200;0.0005;0.0005;0.0005
4;1;5;4;20000;16;4;20000;16;200;0.0005;0.0005;0.0005
5;16;7;3;10000;22;4;20000;16;200;0.000375;0.000375;0.000375
6;16;3;6;50000;16;6;50000;16;200;0.00075;0.00075;0.00075
7;13;12;4;20000;16;4;20000;16;200;0.0005;0.0005;0.0005
8;4;17;6;50000;16;6;50000;16;200;0.00075;0.00075;0.00075
9;1;12;6;50000;16;0;0;0;200;0.00075;0.00075;0.00075
10;12;3;3;100000;13;3;100000;13;100;0.000375;0.000375;0.000375
11;11;8;6;50000;16;6;50000;16;200;0.00075;0.00075;0.00075
12;5;4;4;20000;16;4;20000;16;200;0.0005;0.0005;0.0005
13;14;7;3;100000;13;3;100000;13;100;0.000375;0.000375;0.000375
14;10;14;6;50000;16;0;0;0;200;0.00075;0.00075;0.00075
15;10;1;6;50000;16;6;50000;16;200;0.00075;0.00075;0.00075
16;10;5;4;20000;16;4;20000;16;200;0.0005;0.0005;0.0005
17;7;9;4;20000;16;6;50000;16;200;0.0005;0.0005;0.0005
18;6;12;3;100000;13;3;100000;13;100;0.000375;0.000375;0.000375
19;11;5;4;20000;16;4;20000;16;200;0.0005;0.0005;0.0005
20;14;3;6;50000;16;6;50000;16;200;0.00075;0.00075;0.00075
21;8;7;6;50000;16;6;50000;16;200;0.00075;0.00075;0.00075
22;9;2;3;10000;22;3;10000;22;200;0.000375;0.000375;0.000375
23;10;8;4;20000;16;4;20000;16;200;0.0005;0.0005;0.0005
24;3;17;6;50000;16;6;50000;16;200;0.00075;0.00075;0.00075
25;18;7;6;50000;16;6;50000;16;200;0.00075;0.00075;0.00075
26;8;18;6;50000;16;6;50000;16;200;0.00075;0.00075;0.00075
27;5;13;6;50000;16;6;50000;16;200;0.00075;0.00075;0.00075
28;13;17;6;50000;16;6;50000;16;200;0.00075;0.00075;0.00075
29;1;4;6;50000;16;6;50000;16;200;0.00075;0.00075;0.00075
30;7;12;6;50000;16;6;50000;16;200;0.00075;0.00075;0.00075
31;16;9;4;20000;16;4;20000;16;200;0.0005;0.0005;0.0005
32;13;15;6;50000;16;6;50000;16;200;0.00075;0.00075;0.00075
33;12;13;4;20000;16;4;20000;16;200;0.0005;0.0005;0.0005
34;5;10;4;20000;16;4;20000;16;200;0.0005;0.0005;0.0005
35;6;8;6;50000;16;6;50000;16;200;0.00075;0.00075;0.00075
36;16;4;3;10000;22;3;10000;22;200;0.000375;0.000375;0.000375
37;14;9;6;50000;16;6;50000;16;200;0.00075;0.00075;0.00075
38;8;6;6;50000;16;6;50000;16;200;0.00075;0.00075;0.00075
39;11;16;6;50000;16;6;50000;16;200;0.00075;0.00075;0.00075
40;10;7;4;20000;16;4;20000;16;200;0.0005;0.0005;0.0005
