index;origin;destination;slots;max_length;osnr_limit;pchC;pchL;pchS
1;1;2;6;2000;26;0.00075;0.00075;0.00075
2;1;3;6;2000;24;0.00075;0.00075;0.00075
3;1;4;4;2000;21;0.0005;0.0005;0.0005
4;1;5;4;2000;20;0.0005;0.0005;0.0005
5;1;6;6;2000;21;0.00075;0.00075;0.00075
6;2;1;4;2000;24;0.0005;0.0005;0.0005
7;2;3;3;2000;23;0.000375;0.000375;0.000375
8;2;4;3;2000;21;0.000375;0.000375;0.000375
9;2;5;4;2000;21;0.0005;0.0005;0.0005
10;2;6;6;2000;21;0.00075;0.00075;0.00075
11;3;1;6;2000;24;0.00075;0.00075;0.00075
12;3;2;6;2000;26;0.00075;0.00075;0.00075
13;3;4;4;2000;24;0.0005;0.0005;0.0005
14;3;5;3;2000;21;0.000375;0.000375;0.000375
15;3;6;4;2000;21;0.0005;0.0005;0.0005
16;4;1;6;2000;23;0.00075;0.00075;0.00075
17;4;2;4;2000;22;0.0005;0.0005;0.0005
18;4;3;6;2000;26;0.00075;0.00075;0.00075
19;4;5;3;2000;23;0.000375;0.000375;0.000375
20;4;6;3;2000;21;0.000375;0.000375;0.000375
21;5;1;3;2000;19;0.000375;0.000375;0.000375
22;5;2;3;2000;20;0.000375;0.000375;0.000375
23;5;3;6;2000;24;0.00075;0.00075;0.00075
24;5;4;3;2000;23;0.000375;0.000375;0.000375
25;5;6;4;2000;22;0.0005;0.0005;0.0005
26;6;1;4;2000;19;0.0005;0.0005;0.0005
27;6;2;3;2000;18;0.000375;0.000375;0.000375
28;6;3;6;2000;23;0.00075;0.00075;0.00075
29;6;4;6;2000;24;0.00075;0.00075;0.00075
30;6;5;6;2000;24;0.00075;0.00075;0.00075
