Index;Origin;Destination;length;slices;cost;lineAmps;pnli;pase
1;1;5;50;20;1;1;1.810527423798467e-08;4.573021917301748e-08
2;1;6;30;20;1;1;1.2533285523435051e-08;1.5147229162732814e-08
3;1;8;25;20;1;1;1.0450642976522152e-08;1.0986825701379934e-08
4;2;3;30;20;1;1;1.2533285523435051e-08;1.5147229162732814e-08
5;2;5;10;20;1;1;3.0442002819690756e-09;2.971921542672514e-09
6;2;7;20;20;1;1;8.097639294776067e-09;7.68209976418271e-09
7;3;6;40;20;1;1;1.582848516971792e-08;2.6978661927336208e-08
8;3;7;60;20;1;1;1.96205203482933e-08;7.544943459974261e-08
9;4;6;30;20;1;1;1.2533285523435051e-08;1.5147229162732814e-08
10;4;7;30;20;1;1;1.2533285523435051e-08;1.5147229162732814e-08
11;4;8;40;20;1;1;1.582848516971792e-08;2.6978661927336208e-08
12;4;10;25;20;1;1;1.0450642976522152e-08;1.0986825701379934e-08
13;4;11;30;20;1;1;1.2533285523435051e-08;1.5147229162732814e-08
14;8;10;25;20;1;1;1.0450642976522152e-08;1.0986825701379934e-08
15;9;10;30;20;1;1;1.2533285523435051e-08;1.5147229162732814e-08
16;10;11;10;20;1;1;3.0442002819690756e-09;2.971921542672514e-09
17;11;12;25;20;1;1;1.0450642976522152e-08;1.0986825701379934e-08
18;9;12;60;20;1;1;1.96205203482933e-08;7.544943459974261e-08
19;6;8;25;20;1;1;1.0450642976522152e-08;1.0986825701379934e-08
20;5;6;35;20;1;1;1.4322350506218578e-08;2.0384866803546362e-08
