index;origin;destination;slots;max_length;osnr_limit;pchC;pchL;pchS
1;4;5;6;2000;21;0.00075;0.00075;0.00075
2;4;8;6;2000;21;0.00075;0.00075;0.00075
3;4;16;6;1000;24;0.00075;0.00075;0.00075
4;5;8;6;2000;21;0.00075;0.00075;0.00075
5;5;16;6;2000;21;0.00075;0.00075;0.00075
6;8;16;6;2000;21;0.00075;0.00075;0.00075
7;1;8;4;1000;16;0.0005;0.0005;0.0005
8;1;16;6;2500;16;0.00075;0.00075;0.00075
9;1;5;4;1000;16;0.0005;0.0005;0.0005
10;1;4;6;2500;16;0.00075;0.00075;0.00075
11;2;16;3;500;22;0.000375;0.000375;0.000375
12;2;5;4;1000;16;0.0005;0.0005;0.0005
13;2;8;4;1000;16;0.0005;0.0005;0.0005
14;2;4;3;500;22;0.000375;0.000375;0.000375
15;3;4;6;2500;16;0.00075;0.00075;0.00075
16;3;5;3;500;22;0.000375;0.000375;0.000375
17;3;8;6;2500;16;0.00075;0.00075;0.00075
18;3;16;6;2500;16;0.00075;0.00075;0.00075
19;6;8;6;2500;16;0.00075;0.00075;0.00075
20;5;6;4;1000;16;0.0005;0.0005;0.0005
21;4;6;6;2500;16;0.00075;0.00075;0.00075
22;6;16;6;2500;16;0.00075;0.00075;0.00075
23;7;16;3;500;22;0.000375;0.000375;0.000375
24;7;8;6;2500;16;0.00075;0.00075;0.00075
25;4;7;4;1000;16;0.0005;0.0005;0.0005
26;5;7;6;2500;16;0.00075;0.00075;0.00075
27;5;9;4;1000;16;0.0005;0.0005;0.0005
28;8;9;4;1000;16;0.0005;0.0005;0.0005
29;4;9;3;500;22;0.000375;0.000375;0.000375
30;9;16;4;1000;16;0.0005;0.0005;0.0005
31;5;10;4;1000;16;0.0005;0.0005;0.0005
32;8;10;4;1000;16;0.0005;0.0005;0.0005
33;4;10;3;500;22;0.000375;0.000375;0.000375
34;10;16;3;500;22;0.000375;0.000375;0.000375
35;4;11;6;2500;16;0.00075;0.00075;0.00075
36;5;11;4;1000;16;0.0005;0.0005;0.0005
37;8;11;6;2500;16;0.00075;0.00075;0.00075
38;11;16;6;2500;16;0.00075;0.00075;0.00075
39;5;12;6;2500;16;0.00075;0.00075;0.00075
40;8;12;6;2500;16;0.00075;0.00075;0.00075
41;4;12;6;2500;16;0.00075;0.00075;0.00075
42;12;16;6;2500;16;0.00075;0.00075;0.00075
43;5;13;6;2500;16;0.00075;0.00075;0.00075
44;8;13;6;2500;16;0.00075;0.00075;0.00075
45;13;16;6;2500;16;0.00075;0.00075;0.00075
46;4;13;6;2500;16;0.00075;0.00075;0.00075
47;14;16;6;2500;16;0.00075;0.00075;0.00075
48;8;14;6;2500;16;0.00075;0.00075;0.00075
49;4;14;6;2500;16;0.00075;0.00075;0.00075
50;5;14;6;2500;16;0.00075;0.00075;0.00075
51;8;15;3;500;22;0.000375;0.000375;0.000375
52;15;16;4;1000;16;0.0005;0.0005;0.0005
53;5;15;4;1000;16;0.0005;0.0005;0.0005
54;4;15;4;1000;16;0.0005;0.0005;0.0005
55;8;17;4;1000;16;0.0005;0.0005;0.0005
56;5;17;4;1000;16;0.0005;0.0005;0.0005
57;4;17;6;2500;16;0.00075;0.00075;0.00075
58;16;17;6;2500;16;0.00075;0.00075;0.00075
59;4;18;6;2500;16;0.00075;0.00075;0.00075
60;8;18;6;2500;16;0.00075;0.00075;0.00075
61;5;18;3;500;22;0.000375;0.000375;0.000375
62;16;18;6;2500;16;0.00075;0.00075;0.00075
