Index;Origin;Destination;length;slices;cost;lineAmps;pnliC;paseC;pnliL;paseL;pnliS;paseS
1;1;14;122;120;88;2;4.456840818242956e-08;1.5848944688108493e-07;2.9631523456739307e-08;2.3390453487300695e-07;7.861555628740713e-08;3.503559201595425e-07
2;2;14;111;120;66;2;4.293616782946556e-08;1.2075313873592623e-07;2.8730836592968106e-08;1.7431541236067954e-07;7.573639841356575e-08;2.610998402778888e-07
3;3;14;96;120;58;2;4.00065973089717e-08;8.251874145469258e-08;2.70572588097835e-08;1.1569205875504358e-07;7.056884081965084e-08;1.7329034566295103e-07
4;3;4;255;120;153;4;9.050171106270648e-08;3.62518505733874e-07;6.000002335376242e-08;5.410686348717761e-07;1.5963869140297858e-07;8.104443102947512e-07
5;2;3;138;120;83;2;4.634712260180383e-08;2.336136293975753e-07;3.058024529051967e-08;3.5635440687716385e-07;8.175308417449618e-08;5.337685145443703e-07
6;2;4;241;120;144;4;8.873556502624817e-08;3.055277386092618e-07;5.9044465998529947e-08;4.495378342975972e-07;1.565233332647064e-07;6.733441130902941e-07
7;4;7;146;120;88;2;4.7027972136374594e-08;2.829208240501446e-07;3.093224025183126e-08;4.3890177671763736e-07;8.295405515576189e-08;6.574128027276289e-07
8;2;7;204;120;122;3;6.923592633120944e-08;3.339628598004822e-07;4.572133787600031e-08;5.073022004618953e-07;1.2212733381282844e-07;7.598669659751823e-07
9;7;15;296;120;177;4;9.436029690537162e-08;5.93466809549394e-07;6.201983484396402e-08;9.245745868180639e-07;1.6644496707838903e-07;1.3848820002427145e-06
10;6;7;232;120;139;3;7.14617021419639e-08;5.214777255502197e-07;4.6864138103470514e-08;8.240639800913551e-07;1.2605344674056144e-07;1.2343313231271604e-06
11;6;15;181;120;108;3;6.658559298482926e-08;2.3008548413605556e-07;4.430185848047447e-08;3.3865039549927985e-07;1.1745233107277355e-07;5.072504087702296e-07
12;13;15;68;120;40;1;2.3078642110403144e-08;1.1132095326682739e-07;1.524044595866677e-08;1.691007334872984e-07;4.0709111270942814e-08;2.532889886583941e-07
13;10;15;154;120;92;2;4.759806006884345e-08;3.422011105516863e-07;3.122116708964727e-08;5.399906230310049e-07;8.395965041418633e-08;8.088296009834444e-07
14;10;16;69;120;41;1;2.3173561300901915e-08;1.1680681469878764e-07;1.5290122645259835e-08;1.7817720343858192e-07;4.087654208724809e-08;2.6688425727218515e-07
15;9;10;36;120;21;1;1.6533402398504387e-08;2.1585042515061122e-08;1.1435195935480158e-08;2.8957993008961875e-08;2.91637659923065e-08;4.337497899361703e-08
16;8;9;27;120;16;1;1.277750323154613e-08;1.2537033610282567e-08;9.033437786966727e-09;1.6314478003413698e-08;2.2538622434088976e-08;2.443678125313784e-08
17;8;16;25;120;15;1;1.1797796172714462e-08;1.0986825701379934e-08;8.38717146512875e-09;1.420543098738398e-08;2.081048767294856e-08;2.1277727033167262e-08
18;1;16;234;120;140;3;7.158807281639556e-08;5.38211227660647e-07;4.6927327449344813e-08;8.529433583992038e-07;1.2627635577577297e-07;1.2775885484142855e-06
19;2;16;193;120;116;3;6.807816799745694e-08;2.7970679347382866e-07;4.510808555780255e-08;4.1847335628049524e-07;1.200851290501684e-07;6.268139174022685e-07
20;13;17;50;120;30;1;2.0439157245224888e-08;4.573021917301748e-08;1.3781040355332739e-08;6.460820212895765e-08;3.605324449331834e-08;9.677395147141673e-08
21;12;17;65;120;39;1;2.276756685370277e-08;9.63008456154304e-08;1.5075965134628566e-08;1.444738399317076e-07;4.0160396265178055e-08;2.1640138424736977e-07
22;11;12;74;120;44;1;2.3590074226342905e-08;1.483667023873485e-07;1.5504958710991004e-08;2.3114364670451598e-07;4.1611241769597257e-08;3.4622050006067863e-07
23;6;12;154;120;92;2;4.759806006884345e-08;3.422011105516863e-07;3.122116708964727e-08;5.399906230310049e-07;8.395965041418633e-08;8.088296009834444e-07
24;5;11;121;120;72;2;4.443537855267952e-08;1.5465046509318886e-07;2.9559102896296198e-08;2.2777564033250202e-07;7.838090132053689e-08;3.411757027368012e-07
25;5;6;151;120;90;2;4.739608840313999e-08;3.186823702813325e-07;3.111946378434817e-08;4.996635901611824e-07;8.360338651558403e-08;7.484254078108681e-07
