index;origin;destination;slots;max_length;osnr_limit;pchC;pchL;pchS
1;2;4;6;1000;24;0.00075;0.00075;0.00075
2;2;11;6;1000;24;0.00075;0.00075;0.00075
3;2;17;6;2000;21;0.00075;0.00075;0.00075
4;4;11;6;1000;24;0.00075;0.00075;0.00075
5;4;17;6;2000;21;0.00075;0.00075;0.00075
6;11;17;6;1000;24;0.00075;0.00075;0.00075
7;1;4;6;2000;21;0.00075;0.00075;0.00075
8;1;11;6;2000;21;0.00075;0.00075;0.00075
9;1;17;6;2000;21;0.00075;0.00075;0.00075
10;2;3;6;1000;24;0.00075;0.00075;0.00075
11;3;11;6;1000;24;0.00075;0.00075;0.00075
12;3;4;6;1000;24;0.00075;0.00075;0.00075
13;4;5;6;1000;24;0.00075;0.00075;0.00075
14;5;17;6;2000;21;0.00075;0.00075;0.00075
15;5;11;6;1000;24;0.00075;0.00075;0.00075
16;6;17;6;2000;21;0.00075;0.00075;0.00075
17;6;11;6;1000;24;0.00075;0.00075;0.00075
18;4;6;6;2000;21;0.00075;0.00075;0.00075
19;4;7;6;2000;21;0.00075;0.00075;0.00075
20;7;17;6;2000;21;0.00075;0.00075;0.00075
21;2;7;6;2000;21;0.00075;0.00075;0.00075
22;8;17;6;2000;21;0.00075;0.00075;0.00075
23;4;8;6;2000;21;0.00075;0.00075;0.00075
24;2;8;6;1000;24;0.00075;0.00075;0.00075
25;2;9;6;1000;24;0.00075;0.00075;0.00075
26;4;9;6;1000;24;0.00075;0.00075;0.00075
27;9;17;6;2000;21;0.00075;0.00075;0.00075
28;10;17;6;1000;24;0.00075;0.00075;0.00075
29;2;10;6;1000;24;0.00075;0.00075;0.00075
30;4;10;6;1000;24;0.00075;0.00075;0.00075
31;12;17;6;2000;21;0.00075;0.00075;0.00075
32;2;12;6;2000;21;0.00075;0.00075;0.00075
33;4;12;6;2000;21;0.00075;0.00075;0.00075
34;2;13;6;2000;21;0.00075;0.00075;0.00075
35;11;13;6;1000;24;0.00075;0.00075;0.00075
36;4;13;6;1000;24;0.00075;0.00075;0.00075
37;11;14;6;1000;24;0.00075;0.00075;0.00075
38;14;17;6;1000;24;0.00075;0.00075;0.00075
39;2;14;6;2000;21;0.00075;0.00075;0.00075
40;2;15;6;2000;21;0.00075;0.00075;0.00075
41;4;15;6;2000;21;0.00075;0.00075;0.00075
42;11;15;6;1000;24;0.00075;0.00075;0.00075
43;16;17;6;1000;24;0.00075;0.00075;0.00075
44;4;16;6;2000;21;0.00075;0.00075;0.00075
45;2;16;6;2000;21;0.00075;0.00075;0.00075
