index;origin;destination;slots;max_length;osnr_limit;pch
1;1;2;3;500;22;0.000375
2;1;3;3;500;22;0.000375
3;1;4;6;2500;16;0.00075
4;1;5;4;1000;16;0.0005
5;1;6;6;2500;16;0.00075
6;1;7;4;1000;16;0.0005
7;1;8;6;2500;16;0.00075
8;1;9;6;2500;16;0.00075
9;2;3;3;500;22;0.000375
10;2;4;4;1000;16;0.0005
11;2;5;4;1000;16;0.0005
12;2;6;6;2500;16;0.00075
13;2;7;6;2500;16;0.00075
14;2;8;6;2500;16;0.00075
15;2;9;6;2500;16;0.00075
16;3;4;4;1000;16;0.0005
17;3;5;3;500;22;0.000375
18;3;6;6;2500;16;0.00075
19;3;7;4;1000;16;0.0005
20;3;8;4;1000;16;0.0005
21;3;9;6;2500;16;0.00075
22;4;5;3;500;22;0.000375
23;4;6;3;500;22;0.000375
24;4;7;4;1000;16;0.0005
25;4;8;4;1000;16;0.0005
26;4;9;4;1000;16;0.0005
27;5;6;4;1000;16;0.0005
28;5;7;3;500;22;0.000375
29;5;8;4;1000;16;0.0005
30;5;9;4;1000;16;0.0005
31;6;7;3;500;22;0.000375
32;6;8;3;500;22;0.000375
33;6;9;3;500;22;0.000375
34;7;8;3;500;22;0.000375
35;7;9;3;500;22;0.000375
36;8;9;3;500;22;0.000375
