Var1;Var2;Var3;Var4;Var5;osnr_limit;pchC;pchL;pchS
1;6;2;3;3000;18;0.000375;0.000375;0.000375
2;7;5;6;600;26;0.00075;0.00075;0.00075
3;1;7;3;3000;18;0.000375;0.000375;0.000375
4;3;6;3;3000;18;0.000375;0.000375;0.000375
5;6;9;5;1500;23;0.000625;0.000625;0.000625
6;2;3;3;3000;21;0.000375;0.000375;0.000375
7;2;9;5;1500;19;0.000625;0.000625;0.000625
8;2;8;5;1500;19;0.000625;0.000625;0.000625
9;6;1;5;1500;19;0.000625;0.000625;0.000625
10;6;1;5;1500;19;0.000625;0.000625;0.000625
11;3;6;3;3000;18;0.000375;0.000375;0.000375
12;4;1;5;1500;21;0.000625;0.000625;0.000625
13;4;1;5;1500;21;0.000625;0.000625;0.000625
14;1;9;5;1500;19;0.000625;0.000625;0.000625
15;1;9;5;1500;19;0.000625;0.000625;0.000625
16;6;7;3;3000;22;0.000375;0.000375;0.000375
17;2;1;3;3000;21;0.000375;0.000375;0.000375
18;8;2;3;3000;17;0.000375;0.000375;0.000375
19;5;1;5;1500;21;0.000625;0.000625;0.000625
20;2;5;3;3000;19;0.000375;0.000375;0.000375
21;4;5;3;3000;23;0.000375;0.000375;0.000375
22;3;2;5;1500;24;0.000625;0.000625;0.000625
23;8;3;3;3000;18;0.000375;0.000375;0.000375
24;7;4;6;600;23;0.00075;0.00075;0.00075
25;6;4;3;3000;21;0.000375;0.000375;0.000375
26;5;1;3;3000;19;0.000375;0.000375;0.000375
27;3;2;5;1500;24;0.000625;0.000625;0.000625
28;2;3;5;1500;24;0.000625;0.000625;0.000625
29;5;9;5;1500;21;0.000625;0.000625;0.000625
30;2;9;3;3000;17;0.000375;0.000375;0.000375
31;6;5;5;1500;22;0.000625;0.000625;0.000625
32;3;1;3;3000;22;0.000375;0.000375;0.000375
33;9;3;5;1500;20;0.000625;0.000625;0.000625
34;9;3;5;1500;20;0.000625;0.000625;0.000625
35;9;2;5;1500;19;0.000625;0.000625;0.000625
36;9;2;5;1500;19;0.000625;0.000625;0.000625
37;8;7;3;3000;22;0.000375;0.000375;0.000375
38;4;2;5;1500;23;0.000625;0.000625;0.000625
39;2;5;5;1500;21;0.000625;0.000625;0.000625
40;2;5;5;1500;21;0.000625;0.000625;0.000625
