 index	; origin ; destination; slots ; max_length ;osnr_limit;pchC;pchL;pchS
1; 1 ; 9; 3 ; 6000;13;0.000375;0.000375;0.000375
2; 3 ; 10; 3 ; 6000;13;0.000375;0.000375;0.000375
3; 3 ; 14; 3 ; 6000;12;0.000375;0.000375;0.000375
4; 10 ; 12; 5 ; 3000;19;0.000625;0.000625;0.000625
5; 5 ; 11; 3 ; 6000;14;0.000375;0.000375;0.000375
6; 3 ; 13; 3 ; 6000;13;0.000375;0.000375;0.000375
7; 7 ; 8; 5 ; 3000;22;0.000625;0.000625;0.000625
8; 1 ; 10; 3 ; 6000;12;0.000375;0.000375;0.000375
9; 7 ; 8; 5 ; 3000;22;0.000625;0.000625;0.000625
10; 2 ; 8; 3 ; 6000;14;0.000375;0.000375;0.000375
11; 2 ; 14; 3 ; 6000;12;0.000375;0.000375;0.000375
12; 9 ; 13; 5 ; 3000;21;0.000625;0.000625;0.000625
13; 1 ; 10; 3 ; 6000;12;0.000375;0.000375;0.000375
14; 3 ; 13; 3 ; 6000;13;0.000375;0.000375;0.000375
15; 1 ; 4; 5 ; 3000;18;0.000625;0.000625;0.000625
16; 9 ; 13; 5 ; 3000;21;0.000625;0.000625;0.000625
17; 3 ; 12; 3 ; 6000;12;0.000375;0.000375;0.000375
18; 5 ; 6; 5 ; 3000;20;0.000625;0.000625;0.000625
19; 6 ; 12; 3 ; 6000;15;0.000375;0.000375;0.000375
20; 8 ; 10; 5 ; 3000;19;0.000625;0.000625;0.000625
21; 4 ; 14; 3 ; 6000;13;0.000375;0.000375;0.000375
22; 3 ; 12; 3 ; 6000;12;0.000375;0.000375;0.000375
23; 1 ; 8; 3 ; 6000;14;0.000375;0.000375;0.000375
24; 2 ; 10; 3 ; 6000;13;0.000375;0.000375;0.000375
25; 4 ; 12; 3 ; 6000;13;0.000375;0.000375;0.000375
26; 3 ; 9; 3 ; 6000;13;0.000375;0.000375;0.000375
27; 4 ; 10; 3 ; 6000;14;0.000375;0.000375;0.000375
28; 8 ; 13; 5 ; 3000;19;0.000625;0.000625;0.000625
29; 5 ; 10; 3 ; 6000;15;0.000375;0.000375;0.000375
30; 11 ; 14; 3 ; 3000;19;0.000375;0.000375;0.000375
31; 8 ; 14; 5 ; 3000;20;0.000625;0.000625;0.000625
32; 2 ; 11; 3 ; 6000;13;0.000375;0.000375;0.000375
33; 6 ; 9; 5 ; 3000;18;0.000625;0.000625;0.000625
34; 9 ; 11; 3 ; 6000;17;0.000375;0.000375;0.000375
35; 3 ; 9; 3 ; 6000;13;0.000375;0.000375;0.000375
36; 1 ; 3; 5 ; 3000;19;0.000625;0.000625;0.000625
37; 3 ; 12; 3 ; 6000;12;0.000375;0.000375;0.000375
38; 4 ; 13; 3 ; 6000;13;0.000375;0.000375;0.000375
39; 7 ; 13; 3 ; 6000;15;0.000375;0.000375;0.000375
40; 9 ; 13; 5 ; 3000;21;0.000625;0.000625;0.000625
41; 10 ; 11; 5 ; 3000;17;0.000625;0.000625;0.000625
42; 1 ; 8; 3 ; 6000;14;0.000375;0.000375;0.000375
43; 5 ; 9; 5 ; 3000;17;0.000625;0.000625;0.000625
44; 8 ; 14; 5 ; 3000;20;0.000625;0.000625;0.000625
45; 11 ; 12; 5 ; 3000;21;0.000625;0.000625;0.000625
46; 3 ; 13; 3 ; 6000;13;0.000375;0.000375;0.000375
47; 3 ; 9; 3 ; 6000;13;0.000375;0.000375;0.000375
48; 10 ; 13; 3 ; 6000;16;0.000375;0.000375;0.000375
49; 1 ; 10; 3 ; 6000;12;0.000375;0.000375;0.000375
50; 3 ; 12; 3 ; 6000;12;0.000375;0.000375;0.000375
