index;origin;destination;slots;max_length;osnr_limit;pch
1;1;2;3;500;22;0.000375
2;1;3;3;500;22;0.000375
3;1;4;3;500;22;0.000375
4;1;5;3;500;22;0.000375
5;1;6;3;500;22;0.000375
6;1;7;3;500;22;0.000375
7;1;8;3;500;22;0.000375
8;1;9;4;1000;16;0.0005
9;1;10;4;1000;16;0.0005
10;1;11;4;1000;16;0.0005
11;1;12;3;500;22;0.000375
12;1;13;4;1000;16;0.0005
13;1;14;4;1000;16;0.0005
14;1;15;4;1000;16;0.0005
15;1;16;4;1000;16;0.0005
16;1;17;4;1000;16;0.0005
17;1;18;4;1000;16;0.0005
18;1;19;4;1000;16;0.0005
19;1;20;4;1000;16;0.0005
20;1;21;4;1000;16;0.0005
21;1;22;4;1000;16;0.0005
22;1;23;4;1000;16;0.0005
23;1;24;4;1000;16;0.0005
24;1;25;3;500;22;0.000375
25;1;26;4;1000;16;0.0005
26;1;27;4;1000;16;0.0005
27;1;28;4;1000;16;0.0005
28;1;29;4;1000;16;0.0005
29;1;30;4;1000;16;0.0005
30;2;3;3;500;22;0.000375
31;2;4;3;500;22;0.000375
32;2;5;3;500;22;0.000375
33;2;6;3;500;22;0.000375
34;2;7;4;1000;16;0.0005
35;2;8;4;1000;16;0.0005
36;2;9;3;500;22;0.000375
37;2;10;3;500;22;0.000375
38;2;11;3;500;22;0.000375
39;2;12;3;500;22;0.000375
40;2;13;4;1000;16;0.0005
41;2;14;4;1000;16;0.0005
42;2;15;4;1000;16;0.0005
43;2;16;4;1000;16;0.0005
44;2;17;4;1000;16;0.0005
45;2;18;4;1000;16;0.0005
46;2;19;4;1000;16;0.0005
47;2;20;4;1000;16;0.0005
48;2;21;4;1000;16;0.0005
49;2;22;4;1000;16;0.0005
50;2;23;4;1000;16;0.0005
51;2;24;4;1000;16;0.0005
52;2;25;4;1000;16;0.0005
53;2;26;4;1000;16;0.0005
54;2;27;4;1000;16;0.0005
55;2;28;4;1000;16;0.0005
56;2;29;4;1000;16;0.0005
57;2;30;4;1000;16;0.0005
58;3;4;3;500;22;0.000375
59;3;5;4;1000;16;0.0005
60;3;6;3;500;22;0.000375
61;3;7;3;500;22;0.000375
62;3;8;3;500;22;0.000375
63;3;9;3;500;22;0.000375
64;3;10;3;500;22;0.000375
65;3;11;3;500;22;0.000375
66;3;12;3;500;22;0.000375
67;3;13;4;1000;16;0.0005
68;3;14;4;1000;16;0.0005
69;3;15;4;1000;16;0.0005
70;3;16;3;500;22;0.000375
71;3;17;4;1000;16;0.0005
72;3;18;3;500;22;0.000375
73;3;19;4;1000;16;0.0005
74;3;20;3;500;22;0.000375
75;3;21;4;1000;16;0.0005
76;3;22;4;1000;16;0.0005
77;3;23;4;1000;16;0.0005
78;3;24;4;1000;16;0.0005
79;3;25;3;500;22;0.000375
80;3;26;4;1000;16;0.0005
81;3;27;4;1000;16;0.0005
82;3;28;4;1000;16;0.0005
83;3;29;4;1000;16;0.0005
84;3;30;4;1000;16;0.0005
85;4;5;3;500;22;0.000375
86;4;6;3;500;22;0.000375
87;4;7;3;500;22;0.000375
88;4;8;3;500;22;0.000375
89;4;9;3;500;22;0.000375
90;4;10;3;500;22;0.000375
91;4;11;3;500;22;0.000375
92;4;12;3;500;22;0.000375
93;4;13;4;1000;16;0.0005
94;4;14;4;1000;16;0.0005
95;4;15;4;1000;16;0.0005
96;4;16;3;500;22;0.000375
97;4;17;4;1000;16;0.0005
98;4;18;4;1000;16;0.0005
99;4;19;4;1000;16;0.0005
100;4;20;3;500;22;0.000375
101;4;21;4;1000;16;0.0005
102;4;22;4;1000;16;0.0005
103;4;23;4;1000;16;0.0005
104;4;24;4;1000;16;0.0005
105;4;25;3;500;22;0.000375
106;4;26;3;500;22;0.000375
107;4;27;3;500;22;0.000375
108;4;28;3;500;22;0.000375
109;4;29;4;1000;16;0.0005
110;4;30;4;1000;16;0.0005
111;5;6;3;500;22;0.000375
112;5;7;3;500;22;0.000375
113;5;8;3;500;22;0.000375
114;5;9;3;500;22;0.000375
115;5;10;3;500;22;0.000375
116;5;11;3;500;22;0.000375
117;5;12;3;500;22;0.000375
118;5;13;4;1000;16;0.0005
119;5;14;4;1000;16;0.0005
120;5;15;4;1000;16;0.0005
121;5;16;3;500;22;0.000375
122;5;17;4;1000;16;0.0005
123;5;18;3;500;22;0.000375
124;5;19;3;500;22;0.000375
125;5;20;3;500;22;0.000375
126;5;21;3;500;22;0.000375
127;5;22;3;500;22;0.000375
128;5;23;3;500;22;0.000375
129;5;24;4;1000;16;0.0005
130;5;25;3;500;22;0.000375
131;5;26;3;500;22;0.000375
132;5;27;3;500;22;0.000375
133;5;28;3;500;22;0.000375
134;5;29;3;500;22;0.000375
135;5;30;3;500;22;0.000375
136;6;7;3;500;22;0.000375
137;6;8;3;500;22;0.000375
138;6;9;3;500;22;0.000375
139;6;10;3;500;22;0.000375
140;6;11;3;500;22;0.000375
141;6;12;3;500;22;0.000375
142;6;13;3;500;22;0.000375
143;6;14;4;1000;16;0.0005
144;6;15;3;500;22;0.000375
145;6;16;3;500;22;0.000375
146;6;17;3;500;22;0.000375
147;6;18;3;500;22;0.000375
