Index;Origin;Destination;length;slices;cost;lineAmps;pnli;pase
1;1;2;135;80;0;2;0;2.1734263648154598e-07
2;1;3;290;80;0;4;0;5.524988766351696e-07
3;1;4;142;80;0;2;0;2.5713268852410374e-07
4;2;3;176;80;0;3;0;2.1196027367716423e-07
5;2;12;313;80;0;4;0;7.261599070407689e-07
6;3;6;152;80;0;2;0;3.2634214597057323e-07
7;4;5;157;80;0;2;0;3.6740189478623976e-07
8;4;6;267;80;0;4;0;4.1923808969902113e-07
9;5;8;143;80;0;2;0;2.633587879512906e-07
10;5;25;110;80;0;2;0;1.1777314019228181e-07
11;5;27;263;80;0;4;0;3.9945451237117667e-07
12;6;9;114;80;0;2;0;1.3011611787993946e-07
13;6;10;102;80;0;2;0;9.624976908308769e-08
14;6;12;111;80;0;2;0;1.2075313873592623e-07
15;7;8;52;80;0;1;0;5.0632407011956625e-08
16;7;9;89;80;0;2;0;6.872206413011376e-08
17;7;20;138;80;0;2;0;2.336136293975753e-07
18;7;25;110;80;0;2;0;1.1777314019228181e-07
19;8;9;99;80;0;2;0;8.914722306897331e-08
20;9;10;107;80;0;2;0;1.0923400172427845e-07
21;9;18;194;80;0;3;0;2.842693758836734e-07
22;10;11;114;80;0;2;0;1.3011611787993946e-07
23;10;16;126;80;0;2;0;1.7476066039169098e-07
24;11;12;101;80;0;2;0;9.3827535328689e-08
25;11;13;154;80;0;2;0;3.422011105516863e-07
26;11;16;142;80;0;2;0;2.5713268852410374e-07
27;13;14;214;80;0;3;0;3.9190120834388754e-07
28;13;15;145;80;0;2;0;2.762494383175848e-07
29;13;16;133;80;0;2;0;2.0710322893163947e-07
30;14;15;84;80;0;2;0;6.014346669667268e-08
31;14;17;193;80;0;3;0;2.7970679347382866e-07
32;15;17;133;80;0;2;0;2.0710322893163947e-07
33;16;17;129;80;0;2;0;1.8798621996212937e-07
34;17;18;140;80;0;2;0;2.451024336296891e-07
35;17;19;154;80;0;2;0;3.422011105516863e-07
36;18;19;81;80;0;2;0;5.545086108097483e-08
37;18;20;129;80;0;2;0;1.8798621996212937e-07
38;19;20;142;80;0;2;0;2.5713268852410374e-07
39;19;21;102;80;0;2;0;9.624976908308769e-08
40;20;21;137;80;0;2;0;2.2806461244218097e-07
41;20;26;156;80;0;2;0;3.58807485107098e-07
42;21;22;119;80;0;2;0;1.4723267005417313e-07
43;22;23;130;80;0;2;0;1.926016912308608e-07
44;22;24;141;80;0;2;0;2.5104831242248503e-07
45;23;24;152;80;0;2;0;3.2634214597057323e-07
46;23;26;92;80;0;2;0;7.436381696755323e-08
47;23;28;114;80;0;2;0;1.3011611787993946e-07
48;24;30;224;80;0;3;0;4.594523632912212e-07
49;25;26;156;80;0;2;0;3.58807485107098e-07
50;25;27;226;80;0;3;0;4.7425208365076524e-07
51;25;28;223;80;0;3;0;4.522211574898154e-07
52;27;28;197;80;0;3;0;2.983849784349643e-07
53;27;28;155;80;0;2;0;3.504087080764976e-07
54;28;29;125;80;0;2;0;1.7055130056587204e-07
55;28;30;156;80;0;2;0;3.58807485107098e-07
56;29;30;129;80;0;2;0;1.8798621996212937e-07
