Index;Origin;Destination;length;slices;cost;lineAmps;pnli;pase
1;1;5;10;120;1;1;3.0442002819690756e-09;2.971921542672514e-09
2;1;16;358;120;7;5;1.0364734086595059e-07;6.615532594894971e-07
3;1;31;223;120;5;3;6.275462058592462e-08;4.522211574898154e-07
4;2;12;278;120;5;4;8.227247004596362e-08;4.785837991241548e-07
5;2;14;10;120;1;1;3.0442002819690756e-09;2.971921542672514e-09
6;2;16;199;120;8;3;6.088426957950453e-08;3.0816305670885985e-07
7;3;7;602;120;6;8;1.678123150739353e-07;1.2596724672033753e-06
8;3;9;10;120;1;1;3.0442002819690756e-09;2.971921542672514e-09
9;3;14;220;120;2;3;6.25553946768921e-08;4.3118178634292213e-07
10;3;18;10;120;2;1;3.0442002819690756e-09;2.971921542672514e-09
11;4;5;934;120;5;12;2.535439326360649e-07;2.1359182669337777e-06
12;4;11;10;120;1;1;3.0442002819690756e-09;2.971921542672514e-09
13;5;15;227;120;3;3;6.300683033165285e-08;4.818240856822485e-07
14;5;22;333;120;3;5;1.0159634774286549e-07;5.202652022842981e-07
15;6;9;10;120;2;1;3.0442002819690756e-09;2.971921542672514e-09
16;6;18;10;120;6;1;3.0442002819690756e-09;2.971921542672514e-09
17;6;22;315;120;9;4;8.471421557020179e-08;7.435477635465936e-07
18;7;26;601;120;7;8;1.6774979596354252e-07;1.2522087176637592e-06
19;8;10;618;120;2;8;1.6876663116617863e-07;1.3851251448415438e-06
20;8;25;10;120;1;1;3.0442002819690756e-09;2.971921542672514e-09
21;9;26;583;120;5;8;1.6656288472517382e-07;1.1249541950373404e-06
22;10;19;211;120;9;3;6.19018281060039e-08;3.7357668211937153e-07
23;11;32;331;120;4;5;1.0141196141196873e-07;5.103055862974557e-07
24;12;17;406;120;4;6;1.224870363657656e-07;6.572865585245493e-07
25;12;24;10;120;0;1;3.0442002819690756e-09;2.971921542672514e-09
26;13;30;289;120;9;4;8.310578932370308e-08;5.459418211854278e-07
27;13;32;476;120;3;6;1.2725552306671827e-07;1.1465192243836754e-06
28;14;24;278;120;6;4;8.227247004596362e-08;4.785837991241548e-07
29;15;31;10;120;5;1;3.0442002819690756e-09;2.971921542672514e-09
30;15;32;510;120;9;7;1.4573385926576698e-07;9.834965464448284e-07
31;16;18;143;120;7;2;4.144423958339199e-08;2.633587879512906e-07
32;17;20;206;120;6;3;6.149948551007544e-08;3.448501594511498e-07
33;19;27;258;120;8;4;8.047307042296361e-08;3.7597243992425875e-07
34;19;29;158;120;3;2;4.238361866959582e-08;3.761964939836955e-07
35;20;24;190;120;0;3;5.999516153148144e-08;2.66431847725452e-07
36;21;28;283;120;7;4;8.266383192226612e-08;5.081459768491714e-07
37;21;31;555;120;1;7;1.4844744389672178e-07;1.3345977760880276e-06
38;22;27;506;120;0;7;1.454529271185795e-07;9.57029373723854e-07
39;23;28;319;120;1;4;8.49227843533836e-08;7.795479561964491e-07
40;23;30;10;120;3;1;3.0442002819690756e-09;2.971921542672514e-09
41;25;26;691;120;3;9;1.89617546063558e-07;1.523760812455144e-06
42;26;29;244;120;2;4;7.895856397717623e-08;3.1697889376216986e-07
