index;origin;destination;slotsC;max_cdC;osnr_limitC;TranpCId;slotsL;max_cdL;osnr_limitL;TranspLId;Gbits/s;pchC;pchL;pchS
1;3;1;6;20000;24;7;6;20000;24;7;400;0.00075;0.00075;0.00075
2;5;6;6;20000;24;7;6;20000;24;7;400;0.00075;0.00075;0.00075
3;3;6;6;20000;24;7;0;0;0;0;400;0.00075;0.00075;0.00075
4;4;2;6;20000;24;7;6;20000;24;7;400;0.00075;0.00075;0.00075
5;6;2;6;20000;24;7;0;0;0;0;400;0.00075;0.00075;0.00075
6;6;2;6;20000;24;7;0;0;0;0;400;0.00075;0.00075;0.00075
7;3;6;6;20000;24;7;0;0;0;0;400;0.00075;0.00075;0.00075
8;2;6;6;20000;24;7;0;0;0;0;400;0.00075;0.00075;0.00075
9;6;2;6;20000;24;7;0;0;0;0;400;0.00075;0.00075;0.00075
10;2;1;6;20000;24;7;6;20000;24;7;400;0.00075;0.00075;0.00075
11;5;1;6;20000;24;7;0;0;0;0;400;0.00075;0.00075;0.00075
12;6;5;6;20000;24;7;6;20000;24;7;400;0.00075;0.00075;0.00075
13;3;4;6;20000;24;7;6;20000;24;7;400;0.00075;0.00075;0.00075
14;2;6;6;20000;24;7;0;0;0;0;400;0.00075;0.00075;0.00075
15;5;6;6;20000;24;7;6;20000;24;7;400;0.00075;0.00075;0.00075
16;5;3;6;20000;24;7;6;20000;24;7;400;0.00075;0.00075;0.00075
17;3;1;6;20000;24;7;6;20000;24;7;400;0.00075;0.00075;0.00075
18;1;3;6;20000;24;7;6;20000;24;7;400;0.00075;0.00075;0.00075
19;4;2;6;20000;24;7;6;20000;24;7;400;0.00075;0.00075;0.00075
20;3;6;6;20000;24;7;0;0;0;0;400;0.00075;0.00075;0.00075
21;6;3;6;20000;24;7;0;0;0;0;400;0.00075;0.00075;0.00075
22;5;3;6;20000;24;7;6;20000;24;7;400;0.00075;0.00075;0.00075
23;6;5;6;20000;24;7;6;20000;24;7;400;0.00075;0.00075;0.00075
24;1;4;6;20000;24;7;0;0;0;0;400;0.00075;0.00075;0.00075
25;4;5;6;20000;24;7;6;20000;24;7;400;0.00075;0.00075;0.00075
26;2;1;6;20000;24;7;6;20000;24;7;400;0.00075;0.00075;0.00075
27;3;6;6;20000;24;7;0;0;0;0;400;0.00075;0.00075;0.00075
28;6;3;6;20000;24;7;0;0;0;0;400;0.00075;0.00075;0.00075
29;3;1;6;20000;24;7;6;20000;24;7;400;0.00075;0.00075;0.00075
30;3;4;6;20000;24;7;6;20000;24;7;400;0.00075;0.00075;0.00075
31;2;3;6;20000;24;7;6;20000;24;7;400;0.00075;0.00075;0.00075
32;4;6;6;20000;24;7;6;20000;24;7;400;0.00075;0.00075;0.00075
33;6;1;6;40000;21;6;6;40000;21;6;300;0.00075;0.00075;0.00075
34;4;1;6;20000;24;7;0;0;0;0;400;0.00075;0.00075;0.00075
35;4;1;6;20000;24;7;0;0;0;0;400;0.00075;0.00075;0.00075
36;4;6;6;20000;24;7;6;20000;24;7;400;0.00075;0.00075;0.00075
37;3;5;6;20000;24;7;6;20000;24;7;400;0.00075;0.00075;0.00075
38;2;4;6;20000;24;7;6;20000;24;7;400;0.00075;0.00075;0.00075
39;4;5;6;20000;24;7;6;20000;24;7;400;0.00075;0.00075;0.00075
40;6;4;6;20000;24;7;6;20000;24;7;400;0.00075;0.00075;0.00075
41;1;4;6;20000;24;7;0;0;0;0;400;0.00075;0.00075;0.00075
42;3;1;6;20000;24;7;6;20000;24;7;400;0.00075;0.00075;0.00075
43;4;6;6;20000;24;7;6;20000;24;7;400;0.00075;0.00075;0.00075
44;2;4;6;20000;24;7;6;20000;24;7;400;0.00075;0.00075;0.00075
45;3;4;6;20000;24;7;6;20000;24;7;400;0.00075;0.00075;0.00075
46;5;1;6;20000;24;7;0;0;0;0;400;0.00075;0.00075;0.00075
47;4;3;6;20000;24;7;6;20000;24;7;400;0.00075;0.00075;0.00075
48;6;1;6;40000;21;6;6;40000;21;6;300;0.00075;0.00075;0.00075
49;1;4;6;20000;24;7;0;0;0;0;400;0.00075;0.00075;0.00075
50;5;6;6;20000;24;7;6;20000;24;7;400;0.00075;0.00075;0.00075
51;4;3;6;20000;24;7;6;20000;24;7;400;0.00075;0.00075;0.00075
52;5;4;6;20000;24;7;6;20000;24;7;400;0.00075;0.00075;0.00075
53;2;4;6;20000;24;7;6;20000;24;7;400;0.00075;0.00075;0.00075
54;4;6;6;20000;24;7;6;20000;24;7;400;0.00075;0.00075;0.00075
55;6;3;6;20000;24;7;0;0;0;0;400;0.00075;0.00075;0.00075
56;1;3;6;20000;24;7;6;20000;24;7;400;0.00075;0.00075;0.00075
57;1;4;6;20000;24;7;0;0;0;0;400;0.00075;0.00075;0.00075
58;6;4;6;20000;24;7;6;20000;24;7;400;0.00075;0.00075;0.00075
59;6;4;6;20000;24;7;6;20000;24;7;400;0.00075;0.00075;0.00075
60;6;5;6;20000;24;7;6;20000;24;7;400;0.00075;0.00075;0.00075
