index;origin;destination;slotsC;max_cdC;osnr_limitC;TranpCId;slotsL;max_cdL;osnr_limitL;TranspLId;Gbits/s;pchC;pchL;pchS
1;3;4;6;40000;21;6;6;40000;21;6;300;0.00075;0.00075;0.00075
2;3;1;6;40000;21;6;6;40000;21;6;300;0.00075;0.00075;0.00075
3;2;3;6;40000;21;6;6;40000;21;6;300;0.00075;0.00075;0.00075
4;2;1;6;20000;24;7;6;20000;24;7;400;0.00075;0.00075;0.00075
5;3;5;6;40000;21;6;6;40000;21;6;300;0.00075;0.00075;0.00075
6;4;5;6;20000;24;7;6;20000;24;7;400;0.00075;0.00075;0.00075
7;3;6;6;40000;21;6;6;40000;21;6;300;0.00075;0.00075;0.00075
8;4;5;3;40000;15;1;3;40000;15;1;100;0.000375;0.000375;0.000375
9;3;5;3;40000;15;1;3;40000;15;1;100;0.000375;0.000375;0.000375
10;6;5;3;40000;15;1;3;40000;15;1;100;0.000375;0.000375;0.000375
11;2;5;4;20000;16;3;4;20000;16;3;200;0.0005;0.0005;0.0005
12;5;1;6;20000;24;7;0;0;0;0;400;0.00075;0.00075;0.00075
13;1;5;3;40000;15;1;3;40000;15;1;100;0.000375;0.000375;0.000375
14;1;3;6;20000;24;7;6;20000;24;7;400;0.00075;0.00075;0.00075
15;1;2;3;10000;22;4;3;10000;22;4;200;0.000375;0.000375;0.000375
16;1;3;3;40000;15;1;3;40000;15;1;100;0.000375;0.000375;0.000375
17;2;1;6;40000;21;6;6;40000;21;6;300;0.00075;0.00075;0.00075
18;5;4;3;40000;15;1;3;40000;15;1;100;0.000375;0.000375;0.000375
19;4;5;6;40000;21;6;6;40000;21;6;300;0.00075;0.00075;0.00075
20;5;1;6;40000;21;6;6;40000;21;6;300;0.00075;0.00075;0.00075
21;4;5;6;20000;24;7;6;20000;24;7;400;0.00075;0.00075;0.00075
22;1;5;4;20000;16;3;4;20000;16;3;200;0.0005;0.0005;0.0005
23;1;4;3;40000;15;1;3;40000;15;1;100;0.000375;0.000375;0.000375
24;5;1;3;40000;15;1;3;40000;15;1;100;0.000375;0.000375;0.000375
25;1;4;4;20000;16;3;4;20000;16;3;200;0.0005;0.0005;0.0005
26;2;4;6;40000;21;6;6;40000;21;6;300;0.00075;0.00075;0.00075
27;4;6;3;40000;15;1;3;40000;15;1;100;0.000375;0.000375;0.000375
28;1;3;3;40000;15;1;3;40000;15;1;100;0.000375;0.000375;0.000375
29;4;6;3;40000;15;1;3;40000;15;1;100;0.000375;0.000375;0.000375
30;2;4;6;40000;21;6;6;40000;21;6;300;0.00075;0.00075;0.00075
31;5;6;3;10000;22;4;3;10000;22;4;200;0.000375;0.000375;0.000375
32;4;6;3;10000;22;4;3;10000;22;4;200;0.000375;0.000375;0.000375
33;2;5;6;40000;21;6;6;40000;21;6;300;0.00075;0.00075;0.00075
34;4;5;6;20000;24;7;6;20000;24;7;400;0.00075;0.00075;0.00075
35;3;4;6;20000;24;7;6;20000;24;7;400;0.00075;0.00075;0.00075
36;3;5;3;10000;22;4;3;10000;22;4;200;0.000375;0.000375;0.000375
37;5;1;4;20000;16;3;4;20000;16;3;200;0.0005;0.0005;0.0005
38;4;6;3;40000;15;1;3;40000;15;1;100;0.000375;0.000375;0.000375
39;3;2;6;40000;21;6;6;40000;21;6;300;0.00075;0.00075;0.00075
40;3;1;3;40000;15;1;3;40000;15;1;100;0.000375;0.000375;0.000375
41;5;4;6;40000;21;6;6;40000;21;6;300;0.00075;0.00075;0.00075
42;3;4;3;10000;22;4;4;20000;16;3;200;0.000375;0.000375;0.000375
43;2;3;3;40000;15;1;3;40000;15;1;100;0.000375;0.000375;0.000375
44;6;5;6;40000;21;6;6;40000;21;6;300;0.00075;0.00075;0.00075
45;6;3;3;40000;15;1;3;40000;15;1;100;0.000375;0.000375;0.000375
46;3;1;3;10000;22;4;3;10000;22;4;200;0.000375;0.000375;0.000375
47;5;4;3;10000;22;4;3;10000;22;4;200;0.000375;0.000375;0.000375
48;4;3;6;40000;21;6;6;40000;21;6;300;0.00075;0.00075;0.00075
49;6;1;4;20000;16;3;4;20000;16;3;200;0.0005;0.0005;0.0005
50;2;3;6;40000;21;6;6;40000;21;6;300;0.00075;0.00075;0.00075
51;6;3;3;40000;15;1;3;40000;15;1;100;0.000375;0.000375;0.000375
52;5;2;3;40000;15;1;3;40000;15;1;100;0.000375;0.000375;0.000375
53;1;4;3;40000;15;1;3;40000;15;1;100;0.000375;0.000375;0.000375
54;5;1;4;20000;16;3;4;20000;16;3;200;0.0005;0.0005;0.0005
55;1;3;6;40000;21;6;6;40000;21;6;300;0.00075;0.00075;0.00075
56;2;1;6;40000;21;6;6;40000;21;6;300;0.00075;0.00075;0.00075
57;3;4;6;40000;21;6;6;40000;21;6;300;0.00075;0.00075;0.00075
58;4;5;3;40000;15;1;3;40000;15;1;100;0.000375;0.000375;0.000375
59;1;3;6;40000;21;6;6;40000;21;6;300;0.00075;0.00075;0.00075
60;4;3;6;20000;24;7;6;20000;24;7;400;0.00075;0.00075;0.00075
61;4;6;3;40000;15;1;3;40000;15;1;100;0.000375;0.000375;0.000375
62;3;2;6;40000;21;6;6;40000;21;6;300;0.00075;0.00075;0.00075
63;3;6;3;40000;15;1;3;40000;15;1;100;0.000375;0.000375;0.000375
64;1;6;3;40000;15;1;3;40000;15;1;100;0.000375;0.000375;0.000375
65;6;4;3;40000;15;1;3;40000;15;1;100;0.000375;0.000375;0.000375
66;1;4;3;40000;15;1;3;40000;15;1;100;0.000375;0.000375;0.000375
67;3;2;3;10000;22;4;3;10000;22;4;200;0.000375;0.000375;0.000375
68;1;5;6;40000;21;6;6;40000;21;6;300;0.00075;0.00075;0.00075
69;4;1;6;20000;24;7;0;0;0;0;400;0.00075;0.00075;0.00075
70;6;2;6;40000;21;6;6;40000;21;6;300;0.00075;0.00075;0.00075
71;6;3;3;40000;15;1;3;40000;15;1;100;0.000375;0.000375;0.000375
72;5;3;6;20000;24;7;6;20000;24;7;400;0.00075;0.00075;0.00075
73;4;3;3;40000;15;1;3;40000;15;1;100;0.000375;0.000375;0.000375
74;2;3;6;40000;21;6;6;40000;21;6;300;0.00075;0.00075;0.00075
75;4;3;6;20000;24;7;6;20000;24;7;400;0.00075;0.00075;0.00075
76;4;5;6;40000;21;6;6;40000;21;6;300;0.00075;0.00075;0.00075
77;2;3;3;40000;15;1;3;40000;15;1;100;0.000375;0.000375;0.000375
78;5;4;3;10000;22;4;3;10000;22;4;200;0.000375;0.000375;0.000375
79;6;1;3;40000;15;1;3;40000;15;1;100;0.000375;0.000375;0.000375
80;1;2;3;10000;22;4;3;10000;22;4;200;0.000375;0.000375;0.000375
