index;origin;destination;slotsC;max_cdC;osnr_limitC;TranpCId;slotsL;max_cdL;osnr_limitL;TranspLId;Gbits/s;pchC;pchL;pchS
1;15;10;6;20000;24;7;0;0;0;0;400;0.00075;0.00075;0.00075
2;13;15;3;40000;15;1;3;40000;15;1;100;0.000375;0.000375;0.000375
3;8;15;6;40000;21;6;6;40000;21;6;300;0.00075;0.00075;0.00075
4;8;4;3;40000;15;1;3;40000;15;1;100;0.000375;0.000375;0.000375
5;8;1;6;40000;21;6;6;40000;21;6;300;0.00075;0.00075;0.00075
6;3;1;6;40000;21;6;6;40000;21;6;300;0.00075;0.00075;0.00075
7;7;6;6;40000;21;6;0;0;0;0;300;0.00075;0.00075;0.00075
8;16;7;3;40000;15;1;3;40000;15;1;100;0.000375;0.000375;0.000375
9;4;12;6;50000;16;5;6;50000;16;5;200;0.00075;0.00075;0.00075
10;16;1;6;50000;16;5;6;50000;16;5;200;0.00075;0.00075;0.00075
11;7;16;3;10000;22;4;3;10000;22;4;200;0.000375;0.000375;0.000375
12;1;7;3;40000;15;1;3;40000;15;1;100;0.000375;0.000375;0.000375
13;16;3;3;40000;15;1;3;40000;15;1;100;0.000375;0.000375;0.000375
14;18;15;6;40000;21;6;6;40000;21;6;300;0.00075;0.00075;0.00075
15;8;12;6;40000;21;6;0;0;0;0;300;0.00075;0.00075;0.00075
16;1;10;3;40000;15;1;3;40000;15;1;100;0.000375;0.000375;0.000375
17;9;11;3;40000;15;1;3;40000;15;1;100;0.000375;0.000375;0.000375
18;13;8;6;50000;16;5;6;50000;16;5;200;0.00075;0.00075;0.00075
19;3;7;6;40000;21;6;0;0;0;0;300;0.00075;0.00075;0.00075
20;10;17;6;50000;16;5;6;50000;16;5;200;0.00075;0.00075;0.00075
