index;origin;destination;slotsC;max_cdC;osnr_limitC;TranpCId;slotsL;max_cdL;osnr_limitL;TranspLId;Gbits/s;pchC;pchL;pchS
1;16;15;3;10000;22;4;3;10000;22;4;200;0.000375;0.000375;0.000375
2;15;5;6;40000;21;6;6;40000;21;6;300;0.00075;0.00075;0.00075
3;11;10;6;40000;21;6;6;40000;21;6;300;0.00075;0.00075;0.00075
4;7;17;3;40000;15;1;3;40000;15;1;100;0.000375;0.000375;0.000375
5;2;12;6;40000;21;6;6;40000;21;6;300;0.00075;0.00075;0.00075
6;2;16;6;40000;21;6;6;40000;21;6;300;0.00075;0.00075;0.00075
7;6;3;3;40000;15;1;3;40000;15;1;100;0.000375;0.000375;0.000375
8;6;17;3;40000;15;1;3;40000;15;1;100;0.000375;0.000375;0.000375
9;9;6;6;40000;21;6;6;40000;21;6;300;0.00075;0.00075;0.00075
10;15;16;6;40000;21;6;6;40000;21;6;300;0.00075;0.00075;0.00075
11;15;16;3;40000;15;1;3;40000;15;1;100;0.000375;0.000375;0.000375
12;11;15;3;40000;15;1;3;40000;15;1;100;0.000375;0.000375;0.000375
13;12;14;3;10000;22;4;3;10000;22;4;200;0.000375;0.000375;0.000375
14;14;16;6;20000;24;7;6;20000;24;7;400;0.00075;0.00075;0.00075
15;11;16;6;20000;24;7;0;0;0;0;400;0.00075;0.00075;0.00075
16;14;13;3;40000;15;1;3;40000;15;1;100;0.000375;0.000375;0.000375
17;4;8;4;20000;16;3;4;20000;16;3;200;0.0005;0.0005;0.0005
18;12;16;6;40000;21;6;6;40000;21;6;300;0.00075;0.00075;0.00075
19;3;16;6;40000;21;6;6;40000;21;6;300;0.00075;0.00075;0.00075
20;14;11;3;10000;22;4;3;10000;22;4;200;0.000375;0.000375;0.000375
21;8;11;3;10000;22;4;3;10000;22;4;200;0.000375;0.000375;0.000375
22;16;4;3;40000;15;1;3;40000;15;1;100;0.000375;0.000375;0.000375
23;4;3;3;40000;15;1;3;40000;15;1;100;0.000375;0.000375;0.000375
24;9;11;6;20000;24;7;6;20000;24;7;400;0.00075;0.00075;0.00075
25;4;5;6;20000;24;7;6;20000;24;7;400;0.00075;0.00075;0.00075
26;11;16;3;40000;15;1;3;40000;15;1;100;0.000375;0.000375;0.000375
27;16;9;6;40000;21;6;6;40000;21;6;300;0.00075;0.00075;0.00075
28;4;14;3;40000;15;1;3;40000;15;1;100;0.000375;0.000375;0.000375
29;5;2;6;40000;21;6;6;40000;21;6;300;0.00075;0.00075;0.00075
30;7;2;6;40000;21;6;6;40000;21;6;300;0.00075;0.00075;0.00075
31;9;17;4;20000;16;3;4;20000;16;3;200;0.0005;0.0005;0.0005
32;17;9;3;40000;15;1;3;40000;15;1;100;0.000375;0.000375;0.000375
33;13;8;3;40000;15;1;3;40000;15;1;100;0.000375;0.000375;0.000375
34;4;13;3;10000;22;4;4;20000;16;3;200;0.000375;0.000375;0.000375
35;3;9;6;20000;24;7;6;20000;24;7;400;0.00075;0.00075;0.00075
36;4;1;4;20000;16;3;4;20000;16;3;200;0.0005;0.0005;0.0005
37;8;12;6;40000;21;6;6;40000;21;6;300;0.00075;0.00075;0.00075
38;7;6;3;40000;15;1;3;40000;15;1;100;0.000375;0.000375;0.000375
39;17;11;6;20000;24;7;6;20000;24;7;400;0.00075;0.00075;0.00075
40;4;6;4;20000;16;3;4;20000;16;3;200;0.0005;0.0005;0.0005
