index;origin;destination;slotsC;max_cdC;osnr_limitC;TranpCId;slotsL;max_cdL;osnr_limitL;TranspLId;Gbits/s;pchC;pchL;pchS
1;13;2;6;40000;21;6;6;40000;21;6;300;0.00075;0.00075;0.00075
2;3;17;3;40000;15;1;3;40000;15;1;100;0.000375;0.000375;0.000375
3;14;13;3;40000;15;1;3;40000;15;1;100;0.000375;0.000375;0.000375
4;17;2;3;40000;15;1;3;40000;15;1;100;0.000375;0.000375;0.000375
5;6;10;3;40000;15;1;3;40000;15;1;100;0.000375;0.000375;0.000375
6;14;2;4;20000;16;3;4;20000;16;3;200;0.0005;0.0005;0.0005
7;7;8;6;20000;24;7;6;20000;24;7;400;0.00075;0.00075;0.00075
8;13;11;3;40000;15;1;3;40000;15;1;100;0.000375;0.000375;0.000375
9;11;7;3;10000;22;4;3;10000;22;4;200;0.000375;0.000375;0.000375
10;14;12;6;40000;21;6;6;40000;21;6;300;0.00075;0.00075;0.00075
11;3;4;6;20000;24;7;6;20000;24;7;400;0.00075;0.00075;0.00075
12;6;3;6;20000;24;7;6;20000;24;7;400;0.00075;0.00075;0.00075
13;4;5;3;40000;15;1;3;40000;15;1;100;0.000375;0.000375;0.000375
14;14;1;4;20000;16;3;4;20000;16;3;200;0.0005;0.0005;0.0005
15;1;2;6;20000;24;7;6;20000;24;7;400;0.00075;0.00075;0.00075
16;1;17;6;40000;21;6;6;40000;21;6;300;0.00075;0.00075;0.00075
17;3;9;6;40000;21;6;6;40000;21;6;300;0.00075;0.00075;0.00075
18;7;17;3;40000;15;1;3;40000;15;1;100;0.000375;0.000375;0.000375
19;3;1;3;10000;22;4;3;10000;22;4;200;0.000375;0.000375;0.000375
20;7;16;3;40000;15;1;3;40000;15;1;100;0.000375;0.000375;0.000375
