index;origin;destination;slotsC;max_cdC;osnr_limitC;TranpCId;slotsL;max_cdL;osnr_limitL;TranspLId;Gbits/s;pchC;pchL;pchS
1;5;2;6;20000;24;7;0;0;0;0;400;0.00075;0.00075;0.00075
2;4;6;6;20000;24;7;6;20000;24;7;400;0.00075;0.00075;0.00075
3;4;6;6;20000;24;7;6;20000;24;7;400;0.00075;0.00075;0.00075
4;4;1;6;20000;24;7;0;0;0;0;400;0.00075;0.00075;0.00075
5;1;6;6;40000;21;6;6;40000;21;6;300;0.00075;0.00075;0.00075
6;3;6;6;20000;24;7;0;0;0;0;400;0.00075;0.00075;0.00075
7;1;4;6;20000;24;7;0;0;0;0;400;0.00075;0.00075;0.00075
8;6;3;6;20000;24;7;0;0;0;0;400;0.00075;0.00075;0.00075
9;4;6;6;20000;24;7;6;20000;24;7;400;0.00075;0.00075;0.00075
10;2;5;6;20000;24;7;0;0;0;0;400;0.00075;0.00075;0.00075
11;4;3;6;20000;24;7;6;20000;24;7;400;0.00075;0.00075;0.00075
12;5;3;6;20000;24;7;6;20000;24;7;400;0.00075;0.00075;0.00075
13;1;6;6;40000;21;6;6;40000;21;6;300;0.00075;0.00075;0.00075
14;5;3;6;20000;24;7;6;20000;24;7;400;0.00075;0.00075;0.00075
15;2;4;6;20000;24;7;6;20000;24;7;400;0.00075;0.00075;0.00075
16;5;6;6;20000;24;7;6;20000;24;7;400;0.00075;0.00075;0.00075
17;4;2;6;20000;24;7;6;20000;24;7;400;0.00075;0.00075;0.00075
18;5;4;6;20000;24;7;6;20000;24;7;400;0.00075;0.00075;0.00075
19;2;3;6;20000;24;7;6;20000;24;7;400;0.00075;0.00075;0.00075
20;5;2;6;20000;24;7;0;0;0;0;400;0.00075;0.00075;0.00075
21;6;2;6;20000;24;7;0;0;0;0;400;0.00075;0.00075;0.00075
22;4;1;6;20000;24;7;0;0;0;0;400;0.00075;0.00075;0.00075
23;1;2;6;20000;24;7;6;20000;24;7;400;0.00075;0.00075;0.00075
24;4;2;6;20000;24;7;6;20000;24;7;400;0.00075;0.00075;0.00075
25;6;5;6;20000;24;7;6;20000;24;7;400;0.00075;0.00075;0.00075
26;6;2;6;20000;24;7;0;0;0;0;400;0.00075;0.00075;0.00075
27;3;2;6;20000;24;7;6;20000;24;7;400;0.00075;0.00075;0.00075
28;5;3;6;20000;24;7;6;20000;24;7;400;0.00075;0.00075;0.00075
29;2;6;6;20000;24;7;0;0;0;0;400;0.00075;0.00075;0.00075
30;2;6;6;20000;24;7;0;0;0;0;400;0.00075;0.00075;0.00075
31;2;3;6;20000;24;7;6;20000;24;7;400;0.00075;0.00075;0.00075
32;5;6;6;20000;24;7;6;20000;24;7;400;0.00075;0.00075;0.00075
33;3;5;6;20000;24;7;6;20000;24;7;400;0.00075;0.00075;0.00075
34;6;2;6;20000;24;7;0;0;0;0;400;0.00075;0.00075;0.00075
35;3;4;6;20000;24;7;6;20000;24;7;400;0.00075;0.00075;0.00075
36;1;5;6;20000;24;7;0;0;0;0;400;0.00075;0.00075;0.00075
37;6;1;6;40000;21;6;6;40000;21;6;300;0.00075;0.00075;0.00075
38;3;6;6;20000;24;7;0;0;0;0;400;0.00075;0.00075;0.00075
39;3;4;6;20000;24;7;6;20000;24;7;400;0.00075;0.00075;0.00075
40;2;6;6;20000;24;7;0;0;0;0;400;0.00075;0.00075;0.00075
