index;origin;destination;slotsC;max_cdC;osnr_limitC;TranpCId;slotsL;max_cdL;osnr_limitL;TranspLId;Gbits/s;pchC;pchL;pchS
1;17;2;6;40000;21;6;6;40000;21;6;300;0.00075;0.00075;0.00075
2;4;15;6;20000;24;7;0;0;0;0;400;0.00075;0.00075;0.00075
3;10;4;6;20000;24;7;6;20000;24;7;400;0.00075;0.00075;0.00075
4;8;9;6;20000;24;7;6;20000;24;7;400;0.00075;0.00075;0.00075
5;6;5;6;40000;21;6;6;40000;21;6;300;0.00075;0.00075;0.00075
6;5;9;6;20000;24;7;6;20000;24;7;400;0.00075;0.00075;0.00075
7;15;13;6;40000;21;6;6;40000;21;6;300;0.00075;0.00075;0.00075
8;18;3;6;20000;24;7;0;0;0;0;400;0.00075;0.00075;0.00075
9;12;11;3;100000;13;2;3;100000;13;2;100;0.000375;0.000375;0.000375
10;4;8;6;40000;21;6;6;40000;21;6;300;0.00075;0.00075;0.00075
11;14;8;6;40000;21;6;0;0;0;0;300;0.00075;0.00075;0.00075
12;8;14;6;40000;21;6;0;0;0;0;300;0.00075;0.00075;0.00075
13;7;10;6;40000;21;6;6;40000;21;6;300;0.00075;0.00075;0.00075
14;17;4;6;40000;21;6;6;40000;21;6;300;0.00075;0.00075;0.00075
15;8;17;6;20000;24;7;6;20000;24;7;400;0.00075;0.00075;0.00075
16;3;13;6;50000;16;5;6;50000;16;5;200;0.00075;0.00075;0.00075
17;18;5;6;20000;24;7;6;20000;24;7;400;0.00075;0.00075;0.00075
18;15;10;6;20000;24;7;0;0;0;0;400;0.00075;0.00075;0.00075
19;10;15;6;20000;24;7;0;0;0;0;400;0.00075;0.00075;0.00075
20;14;1;6;40000;21;6;6;40000;21;6;300;0.00075;0.00075;0.00075
21;18;17;6;20000;24;7;6;20000;24;7;400;0.00075;0.00075;0.00075
22;7;5;6;40000;21;6;0;0;0;0;300;0.00075;0.00075;0.00075
23;2;1;6;40000;21;6;6;40000;21;6;300;0.00075;0.00075;0.00075
24;18;3;6;20000;24;7;0;0;0;0;400;0.00075;0.00075;0.00075
25;12;7;6;50000;16;5;6;50000;16;5;200;0.00075;0.00075;0.00075
26;3;12;6;50000;16;5;0;0;0;0;200;0.00075;0.00075;0.00075
27;7;11;6;40000;21;6;6;40000;21;6;300;0.00075;0.00075;0.00075
28;5;11;6;20000;24;7;0;0;0;0;400;0.00075;0.00075;0.00075
29;10;16;6;20000;24;7;6;20000;24;7;400;0.00075;0.00075;0.00075
30;18;4;6;40000;21;6;6;40000;21;6;300;0.00075;0.00075;0.00075
31;18;14;6;40000;21;6;0;0;0;0;300;0.00075;0.00075;0.00075
32;1;2;6;40000;21;6;6;40000;21;6;300;0.00075;0.00075;0.00075
33;11;13;6;50000;16;5;0;0;0;0;200;0.00075;0.00075;0.00075
34;2;10;6;20000;24;7;6;20000;24;7;400;0.00075;0.00075;0.00075
35;2;5;6;20000;24;7;6;20000;24;7;400;0.00075;0.00075;0.00075
36;16;3;6;40000;21;6;6;40000;21;6;300;0.00075;0.00075;0.00075
37;6;9;6;40000;21;6;0;0;0;0;300;0.00075;0.00075;0.00075
38;16;6;6;40000;21;6;0;0;0;0;300;0.00075;0.00075;0.00075
39;8;15;6;20000;24;7;6;20000;24;7;400;0.00075;0.00075;0.00075
40;2;10;6;20000;24;7;6;20000;24;7;400;0.00075;0.00075;0.00075
41;18;13;6;50000;16;5;6;50000;16;5;200;0.00075;0.00075;0.00075
42;6;14;6;50000;16;5;0;0;0;0;200;0.00075;0.00075;0.00075
43;3;2;6;40000;21;6;6;40000;21;6;300;0.00075;0.00075;0.00075
44;13;3;6;50000;16;5;6;50000;16;5;200;0.00075;0.00075;0.00075
45;12;13;6;20000;24;7;6;20000;24;7;400;0.00075;0.00075;0.00075
46;1;16;6;40000;21;6;0;0;0;0;300;0.00075;0.00075;0.00075
47;10;12;6;50000;16;5;6;50000;16;5;200;0.00075;0.00075;0.00075
48;16;5;6;40000;21;6;6;40000;21;6;300;0.00075;0.00075;0.00075
49;15;7;6;40000;21;6;0;0;0;0;300;0.00075;0.00075;0.00075
50;4;7;6;20000;24;7;0;0;0;0;400;0.00075;0.00075;0.00075
51;1;8;6;20000;24;7;0;0;0;0;400;0.00075;0.00075;0.00075
52;15;6;6;50000;16;5;6;50000;16;5;200;0.00075;0.00075;0.00075
53;13;7;6;40000;21;6;0;0;0;0;300;0.00075;0.00075;0.00075
54;2;16;6;20000;24;7;6;20000;24;7;400;0.00075;0.00075;0.00075
55;18;16;6;40000;21;6;6;40000;21;6;300;0.00075;0.00075;0.00075
56;15;9;6;20000;24;7;6;20000;24;7;400;0.00075;0.00075;0.00075
57;17;4;6;40000;21;6;6;40000;21;6;300;0.00075;0.00075;0.00075
58;2;3;6;40000;21;6;6;40000;21;6;300;0.00075;0.00075;0.00075
59;5;2;6;20000;24;7;6;20000;24;7;400;0.00075;0.00075;0.00075
60;6;13;6;50000;16;5;0;0;0;0;200;0.00075;0.00075;0.00075
