index;origin;destination;slotsC;max_cdC;osnr_limitC;TranpCId;slotsL;max_cdL;osnr_limitL;TranspLId;Gbits/s;pchC;pchL;pchS
1;15;9;6;40000;21;6;6;40000;21;6;300;0.00075;0.00075;0.00075
2;16;3;6;40000;21;6;6;40000;21;6;300;0.00075;0.00075;0.00075
3;3;15;6;40000;21;6;6;40000;21;6;300;0.00075;0.00075;0.00075
4;5;16;6;40000;21;6;6;40000;21;6;300;0.00075;0.00075;0.00075
5;12;14;6;20000;24;7;6;20000;24;7;400;0.00075;0.00075;0.00075
6;14;12;6;20000;24;7;6;20000;24;7;400;0.00075;0.00075;0.00075
7;16;6;6;40000;21;6;6;40000;21;6;300;0.00075;0.00075;0.00075
8;5;15;6;40000;21;6;6;40000;21;6;300;0.00075;0.00075;0.00075
9;14;9;6;20000;24;7;0;0;0;0;400;0.00075;0.00075;0.00075
10;5;10;6;20000;24;7;6;20000;24;7;400;0.00075;0.00075;0.00075
11;3;10;6;20000;24;7;6;20000;24;7;400;0.00075;0.00075;0.00075
12;13;17;6;20000;24;7;6;20000;24;7;400;0.00075;0.00075;0.00075
13;3;11;6;20000;24;7;6;20000;24;7;400;0.00075;0.00075;0.00075
14;2;7;6;20000;24;7;0;0;0;0;400;0.00075;0.00075;0.00075
15;5;12;6;20000;24;7;6;20000;24;7;400;0.00075;0.00075;0.00075
16;1;13;6;40000;21;6;6;40000;21;6;300;0.00075;0.00075;0.00075
17;4;1;6;20000;24;7;0;0;0;0;400;0.00075;0.00075;0.00075
18;16;3;6;40000;21;6;6;40000;21;6;300;0.00075;0.00075;0.00075
19;17;10;6;20000;24;7;6;20000;24;7;400;0.00075;0.00075;0.00075
20;12;8;6;20000;24;7;6;20000;24;7;400;0.00075;0.00075;0.00075
