index;origin;destination;slotsC;max_cdC;osnr_limitC;TranpCId;slotsL;max_cdL;osnr_limitL;TranspLId;Gbits/s;pchC;pchL;pchS
1;12;8;6;40000;21;6;6;40000;21;6;300;0.00075;0.00075;0.00075
2;2;13;3;100000;13;2;0;0;0;0;100;0.000375;0.000375;0.000375
3;4;8;6;50000;16;5;6;50000;16;5;200;0.00075;0.00075;0.00075
4;3;13;3;100000;13;2;3;100000;13;2;100;0.000375;0.000375;0.000375
5;4;5;6;20000;24;7;6;20000;24;7;400;0.00075;0.00075;0.00075
6;5;7;6;20000;24;7;0;0;0;0;400;0.00075;0.00075;0.00075
7;12;8;6;40000;21;6;6;40000;21;6;300;0.00075;0.00075;0.00075
8;9;5;6;50000;16;5;6;50000;16;5;200;0.00075;0.00075;0.00075
9;12;13;6;20000;24;7;6;20000;24;7;400;0.00075;0.00075;0.00075
10;3;11;3;100000;13;2;3;100000;13;2;100;0.000375;0.000375;0.000375
11;6;14;6;50000;16;5;6;50000;16;5;200;0.00075;0.00075;0.00075
12;14;2;3;100000;13;2;0;0;0;0;100;0.000375;0.000375;0.000375
13;8;9;6;20000;24;7;0;0;0;0;400;0.00075;0.00075;0.00075
14;10;7;6;50000;16;5;6;50000;16;5;200;0.00075;0.00075;0.00075
15;2;7;6;50000;16;5;6;50000;16;5;200;0.00075;0.00075;0.00075
16;8;7;6;20000;24;7;0;0;0;0;400;0.00075;0.00075;0.00075
17;1;12;3;100000;13;2;3;100000;13;2;100;0.000375;0.000375;0.000375
18;7;2;6;50000;16;5;6;50000;16;5;200;0.00075;0.00075;0.00075
19;9;12;6;20000;24;7;6;20000;24;7;400;0.00075;0.00075;0.00075
20;9;8;6;20000;24;7;0;0;0;0;400;0.00075;0.00075;0.00075
21;6;12;6;50000;16;5;6;50000;16;5;200;0.00075;0.00075;0.00075
22;11;8;6;50000;16;5;6;50000;16;5;200;0.00075;0.00075;0.00075
23;5;7;6;20000;24;7;0;0;0;0;400;0.00075;0.00075;0.00075
24;9;1;3;100000;13;2;3;100000;13;2;100;0.000375;0.000375;0.000375
25;10;2;3;100000;13;2;3;100000;13;2;100;0.000375;0.000375;0.000375
26;8;13;6;40000;21;6;0;0;0;0;300;0.00075;0.00075;0.00075
27;2;11;3;100000;13;2;3;100000;13;2;100;0.000375;0.000375;0.000375
28;7;6;6;50000;16;5;6;50000;16;5;200;0.00075;0.00075;0.00075
29;14;1;3;100000;13;2;3;100000;13;2;100;0.000375;0.000375;0.000375
30;2;14;3;100000;13;2;0;0;0;0;100;0.000375;0.000375;0.000375
31;13;12;6;20000;24;7;6;20000;24;7;400;0.00075;0.00075;0.00075
32;13;12;6;20000;24;7;6;20000;24;7;400;0.00075;0.00075;0.00075
33;2;7;6;50000;16;5;6;50000;16;5;200;0.00075;0.00075;0.00075
34;10;11;6;50000;16;5;6;50000;16;5;200;0.00075;0.00075;0.00075
35;3;1;6;40000;21;6;0;0;0;0;300;0.00075;0.00075;0.00075
36;14;5;6;50000;16;5;0;0;0;0;200;0.00075;0.00075;0.00075
37;1;4;6;50000;16;5;6;50000;16;5;200;0.00075;0.00075;0.00075
38;4;12;3;100000;13;2;3;100000;13;2;100;0.000375;0.000375;0.000375
39;10;9;6;20000;24;7;0;0;0;0;400;0.00075;0.00075;0.00075
40;6;5;6;40000;21;6;6;40000;21;6;300;0.00075;0.00075;0.00075
