index;origin;destination;slotsC;max_cdC;osnr_limitC;TranpCId;slotsL;max_cdL;osnr_limitL;TranspLId;Gbits/s;pchC;pchL;pchS
1;1;2;4;20000;16;3;6;50000;16;5;200;0.0005;0.0005;0.0005
2;6;3;3;10000;22;4;4;20000;16;3;200;0.000375;0.000375;0.000375
3;7;16;3;40000;15;1;3;40000;15;1;100;0.000375;0.000375;0.000375
4;11;8;6;50000;16;5;6;50000;16;5;200;0.00075;0.00075;0.00075
5;8;16;3;40000;15;1;3;40000;15;1;100;0.000375;0.000375;0.000375
6;12;3;3;100000;13;2;3;100000;13;2;100;0.000375;0.000375;0.000375
7;2;7;6;40000;21;6;6;40000;21;6;300;0.00075;0.00075;0.00075
8;2;7;3;40000;15;1;3;40000;15;1;100;0.000375;0.000375;0.000375
9;8;17;6;20000;24;7;6;20000;24;7;400;0.00075;0.00075;0.00075
10;18;6;3;40000;15;1;3;40000;15;1;100;0.000375;0.000375;0.000375
11;7;17;3;40000;15;1;3;40000;15;1;100;0.000375;0.000375;0.000375
12;6;9;3;40000;15;1;3;40000;15;1;100;0.000375;0.000375;0.000375
13;14;4;3;40000;15;1;3;100000;13;2;100;0.000375;0.000375;0.000375
14;6;4;3;40000;15;1;3;40000;15;1;100;0.000375;0.000375;0.000375
15;2;9;3;10000;22;4;3;10000;22;4;200;0.000375;0.000375;0.000375
16;14;13;3;100000;13;2;3;100000;13;2;100;0.000375;0.000375;0.000375
17;4;11;6;40000;21;6;0;0;0;0;300;0.00075;0.00075;0.00075
18;2;10;6;20000;24;7;6;20000;24;7;400;0.00075;0.00075;0.00075
19;11;13;3;100000;13;2;3;100000;13;2;100;0.000375;0.000375;0.000375
20;9;16;3;40000;15;1;3;40000;15;1;100;0.000375;0.000375;0.000375
