index;origin;destination;slotsC;max_cdC;osnr_limitC;TranpCId;slotsL;max_cdL;osnr_limitL;TranspLId;Gbits/s;pchC;pchL;pchS
1;18;13;6;50000;16;5;6;50000;16;5;200;0.00075;0.00075;0.00075
2;3;6;6;40000;21;6;6;40000;21;6;300;0.00075;0.00075;0.00075
3;16;13;3;40000;15;1;3;40000;15;1;100;0.000375;0.000375;0.000375
4;15;6;6;50000;16;5;6;50000;16;5;200;0.00075;0.00075;0.00075
5;15;10;6;20000;24;7;0;0;0;0;400;0.00075;0.00075;0.00075
6;12;3;6;50000;16;5;0;0;0;0;200;0.00075;0.00075;0.00075
7;2;12;6;50000;16;5;6;50000;16;5;200;0.00075;0.00075;0.00075
8;5;18;6;40000;21;6;6;40000;21;6;300;0.00075;0.00075;0.00075
9;11;5;4;20000;16;3;4;20000;16;3;200;0.0005;0.0005;0.0005
10;1;2;6;40000;21;6;6;40000;21;6;300;0.00075;0.00075;0.00075
11;16;12;6;50000;16;5;6;50000;16;5;200;0.00075;0.00075;0.00075
12;17;10;3;40000;15;1;3;40000;15;1;100;0.000375;0.000375;0.000375
13;8;18;6;40000;21;6;6;40000;21;6;300;0.00075;0.00075;0.00075
14;12;13;6;20000;24;7;6;20000;24;7;400;0.00075;0.00075;0.00075
15;15;6;6;50000;16;5;6;50000;16;5;200;0.00075;0.00075;0.00075
16;1;8;4;20000;16;3;4;20000;16;3;200;0.0005;0.0005;0.0005
17;17;16;6;50000;16;5;6;50000;16;5;200;0.00075;0.00075;0.00075
18;3;4;6;50000;16;5;6;50000;16;5;200;0.00075;0.00075;0.00075
19;11;8;6;50000;16;5;6;50000;16;5;200;0.00075;0.00075;0.00075
20;15;13;3;40000;15;1;3;40000;15;1;100;0.000375;0.000375;0.000375
21;1;5;6;20000;24;7;6;20000;24;7;400;0.00075;0.00075;0.00075
22;2;16;3;40000;15;1;3;40000;15;1;100;0.000375;0.000375;0.000375
23;6;14;6;50000;16;5;0;0;0;0;200;0.00075;0.00075;0.00075
24;10;18;3;40000;15;1;3;40000;15;1;100;0.000375;0.000375;0.000375
25;18;3;6;20000;24;7;0;0;0;0;400;0.00075;0.00075;0.00075
26;15;12;3;40000;15;1;3;40000;15;1;100;0.000375;0.000375;0.000375
27;5;6;4;20000;16;3;4;20000;16;3;200;0.0005;0.0005;0.0005
28;6;13;3;100000;13;2;3;100000;13;2;100;0.000375;0.000375;0.000375
29;13;17;6;50000;16;5;6;50000;16;5;200;0.00075;0.00075;0.00075
30;5;9;6;40000;21;6;6;40000;21;6;300;0.00075;0.00075;0.00075
31;17;12;3;40000;15;1;3;100000;13;2;100;0.000375;0.000375;0.000375
32;1;10;3;40000;15;1;3;40000;15;1;100;0.000375;0.000375;0.000375
33;11;6;3;10000;22;4;3;10000;22;4;200;0.000375;0.000375;0.000375
34;18;5;3;40000;15;1;3;40000;15;1;100;0.000375;0.000375;0.000375
35;9;1;6;40000;21;6;6;40000;21;6;300;0.00075;0.00075;0.00075
36;10;16;6;40000;21;6;6;40000;21;6;300;0.00075;0.00075;0.00075
37;6;15;3;40000;15;1;3;40000;15;1;100;0.000375;0.000375;0.000375
38;1;4;3;40000;15;1;3;40000;15;1;100;0.000375;0.000375;0.000375
39;11;17;6;50000;16;5;6;50000;16;5;200;0.00075;0.00075;0.00075
40;15;17;3;40000;15;1;3;40000;15;1;100;0.000375;0.000375;0.000375
41;16;13;3;40000;15;1;3;40000;15;1;100;0.000375;0.000375;0.000375
42;1;13;3;40000;15;1;3;40000;15;1;100;0.000375;0.000375;0.000375
43;8;16;4;20000;16;3;6;50000;16;5;200;0.0005;0.0005;0.0005
44;15;1;6;40000;21;6;6;40000;21;6;300;0.00075;0.00075;0.00075
45;11;16;3;40000;15;1;3;40000;15;1;100;0.000375;0.000375;0.000375
46;15;2;3;10000;22;4;4;20000;16;3;200;0.000375;0.000375;0.000375
47;8;9;3;40000;15;1;3;40000;15;1;100;0.000375;0.000375;0.000375
48;6;7;3;40000;15;1;3;40000;15;1;100;0.000375;0.000375;0.000375
49;3;5;3;40000;15;1;3;40000;15;1;100;0.000375;0.000375;0.000375
50;14;1;3;40000;15;1;3;40000;15;1;100;0.000375;0.000375;0.000375
51;13;2;6;50000;16;5;6;50000;16;5;200;0.00075;0.00075;0.00075
52;2;16;3;40000;15;1;3;40000;15;1;100;0.000375;0.000375;0.000375
53;12;14;3;100000;13;2;3;100000;13;2;100;0.000375;0.000375;0.000375
54;11;10;6;40000;21;6;0;0;0;0;300;0.00075;0.00075;0.00075
55;9;13;6;50000;16;5;6;50000;16;5;200;0.00075;0.00075;0.00075
56;11;10;6;40000;21;6;0;0;0;0;300;0.00075;0.00075;0.00075
57;2;10;6;40000;21;6;6;40000;21;6;300;0.00075;0.00075;0.00075
58;13;12;6;40000;21;6;6;40000;21;6;300;0.00075;0.00075;0.00075
59;14;15;6;40000;21;6;0;0;0;0;300;0.00075;0.00075;0.00075
60;3;9;3;40000;15;1;3;40000;15;1;100;0.000375;0.000375;0.000375
